word;quantity;frequency
book;37;0.0034
toothbrush;6;0.0006
brush;4;0.0004
banana;5;0.0005
flower;5;0.0005
represent;1;0.0001
car;11;0.001
noise;2;0.0002
Daddy;196;0.0182
spoon;11;0.001
cot;3;0.0003
door;13;0.0012
pig;9;0.0008
nose;9;0.0008
chair;13;0.0012
mouth;7;0.0007
paper;23;0.0021
byebye;7;0.0007
plane;1;0.0001
cow;5;0.0005
boy;23;0.0021
ball;15;0.0014
bus;10;0.0009
shoe;19;0.0018
teddy;49;0.0046
pram;9;0.0008
mug;5;0.0005
gate;2;0.0002
cake;16;0.0015
biscuit;25;0.0023
light;10;0.0009
baby;23;0.0021
fish;5;0.0005
hat;13;0.0012
down;62;0.0058
milk;15;0.0014
pencil;13;0.0012
rain;11;0.001
tea;54;0.005
woman;2;0.0002
birdie;17;0.0016
boat;4;0.0004
table;13;0.0012
train;5;0.0005
lady;6;0.0006
kiss;11;0.001
ring;4;0.0004
bucket;4;0.0004
all_gone;18;0.0017
tongue;4;0.0004
apple;19;0.0018
orange;16;0.0015
go;258;0.024
chocolate;9;0.0008
Marmite;9;0.0008
bib;4;0.0004
medicine;1;0.0001
up;63;0.0059
bottle;2;0.0002
mouse;2;0.0002
time;25;0.0023
cotton;1;0.0001
lap;2;0.0002
shop;14;0.0013
story;8;0.0007
cardigan;3;0.0003
parcel;2;0.0002
lunch;13;0.0012
balloon;3;0.0003
duck;7;0.0007
please;13;0.0012
mummie;16;0.0015
toast;30;0.0028
crispies;4;0.0004
lounge;4;0.0004
sweetie;14;0.0013
no;53;0.0049
crocodile;2;0.0002
supper;10;0.0009
ready;15;0.0014
pepper;3;0.0003
water;11;0.001
tree;4;0.0004
pen;11;0.001
beer;5;0.0005
Mummy;109;0.0101
be;669;0.0622
in;138;0.0128
the;140;0.013
Mini;3;0.0003
pocket;1;0.0001
Sally;3;0.0003
yellow;2;0.0002
one;177;0.0165
way;9;0.0008
toe;7;0.0007
away;15;0.0014
kakaka;1;0.0001
nice;12;0.0011
other;10;0.0009
bike;5;0.0005
glass;7;0.0007
Jenny;77;0.0072
another;64;0.006
buy;13;0.0012
grape;7;0.0007
piece;18;0.0017
more;69;0.0064
bread;10;0.0009
work;15;0.0014
kind;2;0.0002
lion;5;0.0005
ups_a_daisy;6;0.0006
there;134;0.0125
wipe;3;0.0003
yes;3;0.0003
dear;11;0.001
reindeer;2;0.0002
on;150;0.014
Lucky;36;0.0033
behind;3;0.0003
Suki;4;0.0004
where;21;0.002
pottie;3;0.0003
bear;13;0.0012
onion;2;0.0002
kitchen;2;0.0002
back;30;0.0028
top;7;0.0007
can;89;0.0083
hello;6;0.0006
like;152;0.0141
curler;3;0.0003
quack;8;0.0007
bacon;6;0.0006
Kipper;3;0.0003
come;130;0.0121
I;302;0.0281
some;68;0.0063
doggy;14;0.0013
bone;3;0.0003
prune;3;0.0003
we;44;0.0041
love;3;0.0003
God;2;0.0002
bless;2;0.0002
swim;12;0.0011
dummy;5;0.0005
a;311;0.0289
good;11;0.001
girl;17;0.0016
night_night;2;0.0002
give;14;0.0013
me;75;0.007
your;21;0.002
hand;8;0.0007
pudding;12;0.0011
run;1;0.0001
bum;1;0.0001
night;15;0.0014
umbrella;6;0.0006
clinic;1;0.0001
lawn;1;0.0001
grass;2;0.0002
wine;2;0.0002
rhubarb;6;0.0006
