word;quantity;frequency
mommy;18;0.0005
no;834;0.0211
yeah;1172;0.0296
take;66;0.0017
them;150;0.0038
off;67;0.0017
I;1276;0.0322
can;458;0.0116
the;1302;0.0329
heli;1;0.0
helicopter;52;0.0013
plane;13;0.0003
be;2662;0.0673
rescue;6;0.0002
there;629;0.0159
mom;100;0.0025
decide;2;0.0001
on;346;0.0087
a;962;0.0243
helicop;1;0.0
umm;11;0.0003
needle;4;0.0001
blue;36;0.0009
over;54;0.0014
have;640;0.0162
get;460;0.0116
wet;4;0.0001
sock;3;0.0001
they;265;0.0067
dirty;2;0.0001
ooh;7;0.0002
my;301;0.0076
its;15;0.0004
train;28;0.0007
airplane;10;0.0003
two;115;0.0029
plan;2;0.0001
horsie;43;0.0011
put;226;0.0057
in;562;0.0142
farm;27;0.0007
giraffe;32;0.0008
from;17;0.0004
big;126;0.0032
lip;2;0.0001
yes;206;0.0052
it;1163;0.0294
funny;19;0.0005
oh;277;0.007
well;27;0.0007
monkey;52;0.0013
dog;63;0.0016
woof;15;0.0004
uh;20;0.0005
scary;3;0.0001
ninja;5;0.0001
turtle;11;0.0003
cannot;172;0.0043
fit;39;0.001
and;718;0.0181
that;865;0.0219
house;159;0.004
pussy;14;0.0004
where;313;0.0079
lady;34;0.0009
do;776;0.0196
car;98;0.0025
go;808;0.0204
chair;53;0.0013
gotta;8;0.0002
poo;22;0.0006
bed;101;0.0026
this;661;0.0167
beddy;1;0.0
right;62;0.0016
door;67;0.0017
to;724;0.0183
fridge;11;0.0003
toilet;23;0.0006
bathroom;3;0.0001
melon;16;0.0004
some;191;0.0048
grape;65;0.0016
um;83;0.0021
flower;5;0.0001
cup;58;0.0015
of;128;0.0032
tea;62;0.0016
what;442;0.0112
one;480;0.0121
break;44;0.0011
table;19;0.0005
wake;25;0.0006
up;192;0.0049
wait;17;0.0004
with;121;0.0031
carpet;6;0.0002
he;392;0.0099
want;333;0.0084
you;908;0.0229
say;48;0.0012
knock;16;0.0004
kn;1;0.0
like;257;0.0065
look;307;0.0078
ah;35;0.0009
here;272;0.0069
me;250;0.0063
come;158;0.004
Daniel;9;0.0002
holiday;8;0.0002
need;167;0.0042
fire;30;0.0008
we;259;0.0065
coffee;3;0.0001
drink;47;0.0012
yours;49;0.0012
milk;22;0.0006
okay;94;0.0024
don;1;0.0
juice;36;0.0009
a_little;1;0.0
purple;3;0.0001
not;661;0.0167
know;147;0.0037
