word;quantity;frequency
yeah;994;0.0334
what;261;0.0088
be;1769;0.0595
that;744;0.025
toy;24;0.0008
in;458;0.0154
there;532;0.0179
bag;8;0.0003
look;222;0.0075
crisp;7;0.0002
Noddy;3;0.0001
I;1048;0.0353
take;60;0.002
my;274;0.0092
jumper;2;0.0001
off;48;0.0016
because;47;0.0016
it;882;0.0297
all;95;0.0032
wet;4;0.0001
now;168;0.0057
have;380;0.0128
get;444;0.0149
this;444;0.0149
one;370;0.0124
on;224;0.0075
cause;17;0.0006
do;659;0.0222
why;80;0.0027
and;604;0.0203
toast;6;0.0002
somebody;16;0.0005
at;72;0.0024
the;923;0.0311
door;40;0.0013
go;539;0.0181
to;489;0.0165
help;19;0.0006
them;163;0.0055
for;132;0.0044
no;622;0.0209
daddy;34;0.0011
too;59;0.002
hot;19;0.0006
uhhuh;32;0.0011
oh;199;0.0067
a;673;0.0226
fudge;2;0.0001
she;83;0.0028
where;212;0.0071
mummie;24;0.0008
buy;6;0.0002
me;256;0.0086
clown;6;0.0002
Santa;10;0.0003
baby;50;0.0017
another;46;0.0015
his;55;0.0019
hat;12;0.0004
sleep;28;0.0009
pinch;2;0.0001
with;95;0.0032
wee;77;0.0026
bird;6;0.0002
see;80;0.0027
basket;5;0.0002
color;22;0.0007
they;135;0.0045
not;576;0.0194
digger;1;0.0
he;330;0.0111
bed;56;0.0019
about;12;0.0004
teddy;16;0.0005
bear;30;0.001
sit;35;0.0012
behind;7;0.0002
blind;2;0.0001
out;123;0.0041
live;15;0.0005
room;9;0.0003
can;262;0.0088
birdie;2;0.0001
want;265;0.0089
you;586;0.0197
pacifier;7;0.0002
tire;6;0.0002
bath;10;0.0003
put;177;0.006
her;59;0.002
jammies;1;0.0
could;13;0.0004
come;144;0.0048
magical;1;0.0
sleigh;1;0.0
yo;1;0.0
ho;2;0.0001
boy;21;0.0007
gingerbread;1;0.0
snowman;2;0.0001
give;38;0.0013
some;138;0.0046
of;98;0.0033
book;20;0.0007
chimney;13;0.0004
block;2;0.0001
up;170;0.0057
table;11;0.0004
bobble;1;0.0
Christmas;2;0.0001
when;24;0.0008
house;72;0.0024
jump;29;0.001
fall;21;0.0007
chocolate;14;0.0005
ale;1;0.0
beer;5;0.0002
couple;3;0.0001
phone;7;0.0002
find;44;0.0015
our;9;0.0003
sofa;1;0.0
cow;37;0.0012
seal;3;0.0001
sea;3;0.0001
two;71;0.0024
sock;4;0.0001
eat;101;0.0034
sweetie;4;0.0001
him;102;0.0034
sore;4;0.0001
smoke;1;0.0
kick;3;0.0001
read;7;0.0002
again;29;0.001
stay;13;0.0004
know;150;0.005
bike;8;0.0003
scissor;7;0.0002
tractor;6;0.0002
three;38;0.0013
butterfly;2;0.0001
who;14;0.0005
man;13;0.0004
blow;13;0.0004
balloon;3;0.0001
yes;141;0.0047
Abbeycentre;2;0.0001
clock;4;0.0001
past;2;0.0001
eight;4;0.0001
let;72;0.0024
here;212;0.0071
blue;25;0.0008
trouser;1;0.0
big;86;0.0029
school;13;0.0004
high;9;0.0003
climb;5;0.0002
slide;25;0.0008
down;75;0.0025
whee;2;0.0001
ah;22;0.0007
bless;1;0.0
O;23;0.0008
uh;12;0.0004
huh;3;0.0001
then;59;0.002
well;26;0.0009
shop;7;0.0002
anyhow;1;0.0
so;36;0.0012
save;2;0.0001
any;19;0.0006
hassle;1;0.0
try;17;0.0006
em;16;0.0005
play;115;0.0039
yet;20;0.0007
black;27;0.0009
shoe;17;0.0006
will;126;0.0042
just;80;0.0027
like;154;0.0052
Rachel;4;0.0001
skip;2;0.0001
we;178;0.006
