word;quantity;frequency
soup;3;0.0
mummie;52;0.002
busy;1;0.0
tidy;7;0.0
dough;1;0.0
thank_you;5;0.0
monkey;20;0.001
c;32;0.001
t;22;0.001
Cathy;33;0.001
pram;8;0.0
doggie;6;0.0
Kilty;1;0.0
Duke;2;0.0
wee;168;0.005
build;36;0.001
picnic;2;0.0
teeth;9;0.0
Tyrannosaurus;2;0.0
Rex;2;0.0
Tyrannosaur;1;0.0
stink;6;0.0
stinky;5;0.0
winky;3;0.0
O;139;0.004
has_to;8;0.0
cowboy;3;0.0
giant;5;0.0
vacuum;1;0.0
agh;2;0.0
explosive;4;0.0
castle;34;0.001
r;9;0.0
robot;4;0.0
Conor;3;0.0
Craiglands;1;0.0
dinosaur;58;0.002
Daddy;21;0.001
nursery;7;0.0
bike;15;0.0
Matthew;1;0.0
bus;2;0.0
Playbus;1;0.0
snowy;3;0.0
jig;1;0.0
jigsaw;19;0.001
zoo;4;0.0
scar;7;0.0
tiger;11;0.0
Thomas;21;0.001
television;1;0.0
wonder;4;0.0
snow;4;0.0
kiss;1;0.0
d;31;0.001
sweet;11;0.0
noisy;3;0.0
tn;2;0.0
stair;10;0.0
til;3;0.0
have_to;56;0.002
sweetie;3;0.0
its;8;0.0
silly;22;0.001
uh;50;0.002
pretend;17;0.001
em;63;0.002
a_lot_of;6;0.0
across;2;0.0
chat;1;0.0
warm;1;0.0
chocolate;4;0.0
wah;5;0.0
near;3;0.0
w;23;0.001
settee;2;0.0
s;12;0.0
h;25;0.001
uhhuh;17;0.001
horn;6;0.0
Sebastian;4;0.0
handstand;2;0.0
Kitkat;3;0.0
th;24;0.001
m;13;0.0
floor;5;0.0
mhm;68;0.002
banana;5;0.0
Missus;2;0.0
Jack;4;0.0
Chloe;2;0.0
Indian;2;0.0
round;20;0.001
Bacchiosaurus;2;0.0
none;10;0.0
Diplocus;1;0.0
Stegosaurus;4;0.0
y;15;0.0
tail;5;0.0
monster;18;0.001
raptor;16;0.001
nuh;7;0.0
bar;1;0.0
nope;5;0.0
reason;1;0.0
Smarties;10;0.0
smack;8;0.0
behave;3;0.0
