word;relative_frequency;corpus_commonality
toothbrush;3.0000;5
brush;15.0000;7
banana;35.0000;7
flower;21.5714;7
represent;1.0000;1
noise;32.2857;7
Daddy;272.8750;8
spoon;24.0000;7
cot;10.4000;5
pig;66.0000;7
nose;37.2857;7
mouth;26.0000;7
byebye;62.5000;4
plane;21.4286;7
meow;6.8000;5
bus;50.6667;6
teddy;80.7143;7
pram;16.0000;7
mug;2.2000;5
gate;36.6667;6
biscuit;44.4286;7
pencil;7.2857;7
rain;31.4286;7
tea;102.0000;7
woman;3.4000;5
doggy;21.0000;7
comb;8.8000;5
pear;24.6000;5
piggy;21.0000;6
lady;83.3333;6
puppy;10.2857;7
mummie;85.1429;7
stair;9.3750;8
key;24.0000;7
tongue;3.2000;5
jam;11.2500;4
nail;16.7500;4
bag;53.1429;7
seesaw;23.3333;6
letter;19.4000;5
road;33.1429;7
all_gone;56.6667;6
bib;13.4000;5
birdie;15.3333;6
sheep;39.7143;7
sweetie;16.7143;7
Sandy;1.6667;3
jug;2.2500;4
Ribena;10.0000;4
scarf;3.6000;5
kiss;24.4000;5
ring;33.2000;5
bucket;15.4000;5
chocolate;33.1667;6
Marmite;6.6667;3
medicine;9.6000;5
bottle;35.4000;5
mouse;22.8333;6
cotton;2.0000;2
lap;5.0000;4
cardigan;1.7500;4
parcel;4.6667;3
balloon;21.1667;6
toast;25.0000;6
crispies;3.5000;2
lounge;2.3333;3
crocodile;8.5000;6
supper;4.3333;3
pepper;15.4000;5
beer;13.0000;4
Mini;4.5000;4
Sally;11.4000;5
toe;34.5000;6
kakaka;1.0000;1
bike;27.1667;6
glass;22.5000;6
Jenny;19.7500;4
grape;62.1667;6
bread;25.0000;6
lion;57.6667;6
ups_a_daisy;6.6667;3
wipe;23.7500;4
reindeer;8.3333;3
behind;15.1667;6
Suki;9.0000;2
pottie;19.2500;4
onion;11.8000;5
curler;6.5000;2
quack;13.6000;5
bacon;3.0000;5
Kipper;3.0000;1
bone;14.8000;5
prune;3.0000;1
bless;5.7500;4
swim;37.6667;6
dummy;6.2500;4
night_night;24.5000;4
pudding;9.5000;4
umbrella;6.8333;6
clinic;1.0000;1
lawn;1.5000;2
grass;35.5000;6
wine;4.8000;5
rhubarb;2.0000;3
dress;47.5000;6
gown;3.2500;4
doo;1.0000;1
Maria;1.5000;2
Lulu;23.3333;3
sunny;3.4000;5
mind;15.1667;6
sore;18.5000;6
map;2.5000;2
chin;5.5000;4
cushion;12.2000;5
John;36.0000;6
sugar;14.6000;5
window;36.5000;6
Tim;1.6667;3
climb;26.0000;6
belt;2.6667;3
lorry;59.5000;4
library;3.6667;3
boot;14.6667;6
cough;7.5000;4
upstairs;27.5000;6
tie;12.6667;6
moo;36.5000;6
dirty;30.6667;6
ear;30.6667;6
chicken;61.4000;5
kettle;5.3333;3
lolly;7.5000;6
tart;5.6667;3
dark;24.0000;5
handkerchief;2.0000;1
doggie;23.0000;6
dolly;209.4000;5
wireless;2.0000;1
truck;130.6667;6
Jaffa;2.0000;2
dustbin;4.2500;4
button;20.5000;6
holly;5.0000;5
gorilla;4.7500;4
pinkie;1.0000;1
pink;60.0000;7
Lucy;13.6000;5
own;17.0000;6
cuddle;25.5000;4
knife;15.6667;6
peg;3.0000;3
tit;4.0000;1
basket;24.2000;5
polar;12.5000;4
shy;2.0000;3
busy;10.2000;5
fight;11.2000;5
alone;6.7500;4
enough;14.5000;6
curtain;9.8000;5
heavy;30.6000;5
tin;23.0000;5
Lockett;1.0000;1
bark;2.6667;3
careful;12.6667;6
clip;7.8333;6
cupboard;6.0000;5
com;1.0000;1
course;13.6000;5
pip;3.6667;3
thank_you;65.2857;7
macaroni;1.5000;2
thumb;8.2500;4
tricycle;1.0000;1
peepo;5.5000;2
floor;48.0000;6
starling;2.5000;2
robin;2.0000;4
jelly;13.0000;4
boil;1.5000;4
cream;24.5000;6
poof;1.0000;1
goosie;1.5000;2
gander;1.0000;2
crumb;1.3333;3
round;155.8333;6
slipper;16.6667;6
Chandley;1.0000;2
foal;2.3333;3
crust;3.5000;2
carrot;21.8000;5
Jack;5.8333;6
slide;35.5000;6
afternoon;3.2500;4
ice;80.1667;6
nappie;10.0000;5
cornflakes;11.0000;3
nearly;18.6667;6
wake;31.5000;6
drop;43.8000;5
none;6.8000;5
mend;25.4000;5
tick;14.7500;4
fancy;1.5000;4
downstairs;21.6667;6
fit;125.0000;6
Anne;181.0000;3
choo;161.0000;6
tip;36.1667;6
sweep;5.0000;4
baa;22.4000;5
spade;8.6667;3
strawberry;42.5000;6
tummy;28.2000;5
teeth;13.1667;6
peekaboo;47.3333;3
reach;15.0000;5
mhm;666.6667;6
Ellie;10.6667;3
Alistair;5.0000;2
Davey;1.0000;1
lid;49.4000;5
pussy;10.2000;5
trouser;27.0000;6
quickly;3.0000;5
clothe;37.3333;6
Jill;3.5000;4
James;71.2500;4
whose;4.8000;5
cover;38.0000;4
ta;9.2500;4
tissue;12.0000;5
tower;82.6000;5
fishy;6.7500;4
Grandad;8.2000;5
whoops_a_daisy;18.6667;3
sky;20.5000;6
late;39.3333;6
hooray;16.0000;3
Humpty;5.6667;3
t;20.1667;6
Humpty_Dumpty;12.6667;3
Dumpty;5.3333;3
comfy;1.6667;3
clever;7.7500;4
wee;140.5714;7
toilet;14.1667;6
sleepy;6.8000;5
hiya;21.8000;5
paddle;3.5000;4
Pooh_Bear;26.3333;3
poly;1.0000;2
tiger;85.5000;6
whoopsie;5.0000;3
fishie;12.2500;4
whale;37.2500;4
giraffe;46.0000;6
uhoh;72.7500;4
penguin;39.6667;6
hippo;49.3333;3
soup;23.2000;5
