word;commonality
two;6
an;3
because;7
over;7
if;6
into;3
after;4
good;7
new;5
last;3
little;6
bird;2
ball;6
teacher;4
brown;1
first;6
best;1
game;3
frog;2
miss;1
field;2
cousin;1
friend;5
pool;1
school;4
home;8
lot;5
water;5
today;7
book;5
dad;7
jump;3
egg;2
family;2
time;7
trip;1
birthday;2
cat;3
saw;3
bunny;1
mom;6
love;4
rabbit;1
easter;1
Mrs.;1
am;5
people;6
see;7
she;8
her;8
his;8
our;7
sometimes;2
brother;3
pretty;2
really;3
so;7
too;7
sister;4
fun;3
bear;2
take;5
wa;7
said;6
playing;2
going;6
make;7
made;4
played;1
cool;3
are;6
ha;6
every;1
about;5
old;3
as;4
by;5
potato;2
dear;1
money;2
live;1
shopping;1
shop;1
great;2
anymore;1
collect;1
start;2
loneliness;1
full;1
celebrate;1
holiday;1
football;1
soon;1
usually;1
decide;1
decided;1
feast;1
together;2
bye;4
tomorrow;1
name;5
drainage;1
high;3
level;2
square;2
dry;1
rock;2
earth;1
forest;1
could;5
penpal;1
reading;1
read;3
hope;1
year;2
math;1
also;2
cello;1
middle;3
write;2
city;1
here;7
lucky;1
men;1
place;1
vacation;1
state;1
park;1
cant;1
lots;1
care;2
sock;2
soccer;1
meet;1
arm;1
chewing;1
chew;1
mother;1
carry;1
afraid;1
art;1
always;2
grandpa;2
mat;1
pilgrim;1
turkey;1
pen;1
corner;1
corn;2
something;6
slip;1
center;1
pie;1
drive;2
pumpkin;1
fourth;1
maybe;4
roll;2
dinner;2
change;1
food;4
stuff;3
race;1
glad;1
end;1
cute;1
watch;6
suddenly;1
doe;5
many;4
climate;1
above;1
butte;1
butt;1
call;3
mall;1
much;3
hill;2
kind;3
flow;1
fall;4
dust;1
bowl;1
area;1
grow;1
found;4
find;5
crop;1
circle;1
Lincoln;1
december;1
Mrs;2
november;1
thanksgiving;1
christmas;2
Meadow;1
Lane;1
Nebraska;1
Lancaster;1
Indians;1
Indianapolis;1
thursday;1
Nebraskas;1
beet;1
car;5
foot;3
mile;1
their;4
dentist;1
alot;1
long;3
ago;1
mix;1
china;1
elevation;1
fine;2
hobby;1
disadvantage;1
cranberry;1
summer;1
begin;1
flat;2
famous;1
coin;1
let;5
hey;3
okay;4
off;6
mine;6
need;5
Spiderman;1
turn;5
dwant;1
hello;3
sit;5
yep;1
spider;2
remember;3
hat;2
woh;1
than;3
yours;3
four;3
move;4
run;3
throw;3
coming;2
drink;3
five;4
gotta;1
leave;3
making;2
yummy;1
please;5
stay;4
those;5
hah;1
kick;2
push;3
sand;2
show;4
wait;3
again;4
bit;3
done;4
help;6
quick;1
hole;1
keep;2
naughty;1
way;4
apple;2
better;2
dig;1
shhh;1
yum;1
oow;1
seat;1
wash;4
around;4
bottom;1
boy;4
telling;1
bin;1
else;4
green;3
lunch;5
seven;2
step;1
still;3
three;5
us;5
broke;1
catch;3
man;3
shoe;3
stuck;1
beautiful;1
bum;1
everybody;2
finish;3
finished;2
funny;2
guy;5
hand;5
head;3
stop;5
which;3
Anna;1
lost;1
lose;2
policeman;1
thirsty;1
under;1
close;2
girl;4
grandma;1
happy;2
hug;1
hungry;1
peanut butter;1
potty;1
sick;1
table;3
bath;1
bathroom;2
bed;2
breakfast;1
cereal;1
chair;3
coat;1
cookie;2
door;3
eye;2
garage;1
good bye;1
hot;3
inside;2
leg;2
music;1
room;3
sad;1
store;1
story;1
thank you;1
TV;1
mad;1
pant;1
doll;1
kitchen;2
ride;2
work;2
cold;2
shirt;1
tire;1
tired;1
sleep;1
walk;2
all done;1
paint;2
Katie;1
boo;1
stomp;1
Aaron;1
another;3
Colby;1
whoa;1
doghouse;1
hair;2
use;3
yet;2
noodle;1
cracker;1
peanut;1
playhouse;1
butter;1
mommy;2
orange;1
sure;2
boat;1
cut;3
fish;2
glue;2
light;1
stand;1
tickle;1
train;1
already;3
Missy;1
real;2
Susie;1
tape;2
top;2
trying;2
whoop;1
cake;1
clean;1
color;1
gone;1
Jamie;1
party;1
wand;1
ate;1
bell;2
black;2
cow;1
farm;1
hide;1
line;2
ready;3
scissors;1
scissor;1
suppose;2
almost;3
Bobby;1
fence;1
fire;2
through;1
ant;1
different;1
hear;2
messy;1
ok;2
shut;1
used;1
bean;1
box;1
candy;1
cup;1
doctor;1
duck;1
finger;1
