word;commonality;cobertura;word_order
the;9;0.027;1
in;9;0.041;2
on;9;0.054;3
that;9;0.087;4
go;9;0.102;5
I;9;0.109;6
be;9;0.141;7
it;9;0.16;8
you;9;0.165;9
my;9;0.168;10
out;9;0.17;11
and;8;0.181;12
one;8;0.201;13
a;8;0.229;14
all;8;0.232;15
this;8;0.244;16
some;8;0.246;17
there;8;0.29;18
like;8;0.291;19
with;8;0.292;20
of;8;0.292;21
at;8;0.293;22
for;8;0.293;23
want;8;0.3;24
home;8;0.3;25
get;8;0.304;26
they;8;0.305;27
she;8;0.305;28
her;8;0.306;29
his;8;0.306;30
then;8;0.306;31
not;8;0.309;32
up;8;0.313;33
to;8;0.314;34
do;8;0.323;35
have;8;0.324;36
know;8;0.324;37
no;8;0.361;38
yes;8;0.366;39
over;7;0.367;40
good;7;0.367;41
big;7;0.369;42
will;7;0.369;43
can;7;0.37;44
eat;7;0.371;45
Dad;7;0.371;46
time;7;0.371;47
see;7;0.373;48
we;7;0.373;49
me;7;0.374;50
he;7;0.376;51
them;7;0.376;52
so;7;0.376;53
too;7;0.377;54
come;7;0.379;55
say;7;0.379;56
put;7;0.381;57
play;7;0.381;58
make;7;0.382;59
what;7;0.397;60
here;7;0.407;61
two;6;0.414;62
little;6;0.415;63
ball;6;0.417;64
first;6;0.417;65
house;6;0.42;66
people;6;0.42;67
back;6;0.422;68
give;6;0.422;69
ha;6;0.422;70
thing;6;0.422;71
how;6;0.422;72
your;6;0.423;73
something;6;0.423;74
watch;6;0.423;75
just;6;0.423;76
off;6;0.425;77
mine;6;0.428;78
more;6;0.436;79
help;6;0.437;80
new;5;0.437;81
lot;5;0.437;82
water;5;0.439;83
book;5;0.441;84
dog;5;0.443;85
very;5;0.443;86
take;5;0.443;87
by;5;0.443;88
think;5;0.443;89
now;5;0.445;90
name;5;0.445;91
tell;5;0.445;92
find;5;0.447;93
car;5;0.465;94
look;5;0.469;95
let;5;0.469;96
down;5;0.476;97
where;5;0.487;98
need;5;0.487;99
him;5;0.488;100
turn;5;0.488;101
away;5;0.491;102
sit;5;0.493;103
these;5;0.493;104
baby;5;0.501;105
who;5;0.502;106
why;5;0.502;107
other;5;0.503;108
please;5;0.504;109
those;5;0.505;110
right;5;0.508;111
open;5;0.508;112
lunch;5;0.508;113
three;5;0.512;114
hand;5;0.513;115
stop;5;0.514;116
outside;4;0.514;117
next;4;0.514;118
day;4;0.514;119
love;4;0.514;120
or;4;0.515;121
bye;4;0.515;122
food;4;0.515;123
well;4;0.516;124
fall;4;0.517;125
yeah;4;0.537;126
oh;4;0.577;127
okay;4;0.577;128
move;4;0.578;129
five;4;0.578;130
stay;4;0.578;131
show;4;0.578;132
again;4;0.583;133
bite;4;0.585;134
way;4;0.586;135
wash;4;0.587;136
around;4;0.588;137
boy;4;0.589;138
else;4;0.589;139
girl;4;0.589;140
juice;4;0.591;141
hi;4;0.591;142
an;3;0.592;143
into;3;0.592;144
last;3;0.592;145
nice;3;0.593;146
jump;3;0.594;147
cat;3;0.597;148
from;3;0.597;149
high;3;0.597;150
read;3;0.598;151
middle;3;0.598;152
call;3;0.598;153
much;3;0.598;154
kind;3;0.598;155
foot;3;0.599;156
