word;frequency;cobertura;word_order
there;0.0438;0.0438;1
oh;0.0402;0.084;2
no;0.0363;0.1203;3
that;0.0328;0.1531;4
be;0.0321;0.1853;5
a;0.0278;0.2131;6
the;0.0275;0.2406;7
one;0.0199;0.2605;8
it;0.0193;0.2798;9
car;0.0182;0.298;10
what;0.0156;0.3136;11
go;0.0155;0.3291;12
in;0.0134;0.3425;13
on;0.0129;0.3555;14
this;0.0128;0.3682;15
where;0.0116;0.3799;16
and;0.0113;0.3912;17
here;0.0102;0.4013;18
do;0.0090;0.4103;19
more;0.0081;0.4185;20
baby;0.0081;0.4265;21
two;0.0070;0.4335;22
want;0.0068;0.4403;23
I;0.0068;0.4471;24
down;0.0065;0.4537;25
train;0.0057;0.4593;26
yes;0.0052;0.4645;27
you;0.0045;0.469;28
again;0.0045;0.4735;29
up;0.0044;0.4779;30
look;0.0039;0.4818;31
fish;0.0039;0.4857;32
egg;0.0037;0.4894;33
three;0.0037;0.4931;34
another;0.0035;0.4966;35
hat;0.0034;0.5;36
not;0.0033;0.5033;37
get;0.0033;0.5066;38
blue;0.0032;0.5098;39
right;0.0029;0.5127;40
cat;0.0029;0.5156;41
whoop;0.0027;0.5182;42
red;0.0027;0.5209;43
my;0.0026;0.5235;44
cow;0.0026;0.5261;45
shoe;0.0026;0.5287;46
away;0.0025;0.5312;47
all;0.0025;0.5338;48
orange;0.0025;0.5363;49
out;0.0024;0.5387;50
house;0.0024;0.5412;51
big;0.0023;0.5434;52
yellow;0.0022;0.5457;53
boat;0.0022;0.5479;54
back;0.0022;0.5501;55
sit;0.0022;0.5523;56
come;0.0021;0.5544;57
mine;0.0021;0.5565;58
off;0.0020;0.5585;59
find;0.0020;0.5605;60
paint;0.0019;0.5625;61
door;0.0018;0.5642;62
please;0.0018;0.566;63
he;0.0018;0.5678;64
water;0.0017;0.5695;65
ball;0.0017;0.5712;66
cake;0.0017;0.5729;67
way;0.0017;0.5746;68
bite;0.0016;0.5762;69
juice;0.0016;0.5778;70
see;0.0016;0.5795;71
some;0.0016;0.5811;72
like;0.0016;0.5827;73
dog;0.0015;0.5842;74
green;0.0014;0.5856;75
put;0.0014;0.587;76
now;0.0013;0.5883;77
help;0.0013;0.5896;78
eat;0.0013;0.5909;79
hand;0.0013;0.5922;80
wash;0.0012;0.5933;81
foot;0.0012;0.5945;82
fall;0.0012;0.5957;83
have;0.0011;0.5968;84
hair;0.0011;0.5979;85
milk;0.0010;0.5989;86
chair;0.0009;0.5998;87
over;0.0009;0.6007;88
little;0.0009;0.6016;89
they;0.0009;0.6025;90
four;0.0009;0.6034;91
table;0.0009;0.6043;92
other;0.0008;0.6051;93
for;0.0008;0.6059;94
me;0.0008;0.6067;95
spider;0.0008;0.6076;96
white;0.0008;0.6084;97
she;0.0007;0.6091;98
leg;0.0007;0.6097;99
of;0.0007;0.6104;100
hey;0.0007;0.6111;101
turn;0.0006;0.6117;102
make;0.0006;0.6123;103
watch;0.0006;0.6129;104
too;0.0006;0.6135;105
color;0.0006;0.6142;106
open;0.0006;0.6148;107
to;0.0006;0.6154;108
hi;0.0006;0.616;109
stop;0.0006;0.6166;110
food;0.0005;0.6171;111
play;0.0005;0.6176;112
any;0.0005;0.6181;113
bit;0.0005;0.6186;114
top;0.0005;0.6191;115
hide;0.0004;0.6195;116
them;0.0004;0.6199;117
fence;0.0004;0.6203;118
light;0.0004;0.6207;119
stand;0.0004;0.6211;120
who;0.0004;0.6215;121
good;0.0004;0.6219;122
clean;0.0004;0.6224;123
black;0.0004;0.6227;124
money;0.0004;0.6231;125
with;0.0004;0.6235;126
move;0.0004;0.624;127
her;0.0003;0.6243;128
take;0.0003;0.6247;129
cut;0.0003;0.625;130
five;0.0003;0.6253;131
those;0.0003;0.6257;132
him;0.0003;0.626;133
these;0.0003;0.6263;134
thank;0.0003;0.6265;135
try;0.0002;0.6267;136
at;0.0002;0.6269;137
Dad;0.0002;0.6271;138
need;0.0002;0.6273;139
lot;0.0002;0.6275;140
butter;0.0002;0.6277;141
else;0.0002;0.6279;142
your;0.0002;0.6282;143
ready;0.0002;0.6283;144
okay;0.0002;0.6286;145
say;0.0002;0.6288;146
fire;0.0002;0.629;147
just;0.0002;0.6292;148
girl;0.0002;0.6295;149
name;0.0002;0.6297;150
tickle;0.0002;0.6299;151
will;0.0002;0.6301;152
we;0.0002;0.6303;153
party;0.0001;0.6304;154
lunch;0.0001;0.6306;155
sand;0.0001;0.6306;156
know;0.0001;0.6308;157
something;0.0001;0.6309;158
birthday;0.0001;0.631;159
boo;0.0001;0.6311;160
can;0.0001;0.6312;161
so;0.0001;0.6313;162
then;0.0001;0.6315;163
time;0.0001;0.6316;164
glue;0.0001;0.6317;165
sure;0.0001;0.6317;166
give;0.0001;0.6319;167
show;0.0001;0.632;168
thing;0.0001;0.6321;169
tell;0.0001;0.6322;170
think;0.0001;0.6324;171
farm;0.0001;0.6324;172
his;0.0001;0.6325;173
let;0.0001;0.6326;174
first;0.0000;0.6327;175
why;0.0000;0.6327;176
or;0.0000;0.6328;177
real;0.0000;0.6328;178
already;0.0000;0.6329;179
ha;0.0000;0.6329;180
how;0.0000;0.6329;181
by;0.0000;0.633;182
stay;0.0000;0.633;183
home;0.0000;0.633;184
an;0.0000;0.6331;185
new;0.0000;0.6331;186
line;0.0000;0.6331;187
middle;0.0000;0.6332;188
yet;0.0000;0.6332;189
