word;frequency;cobertura;word_order
there;0.0438;0.0438;1
no;0.0363;0.0801;2
that;0.0328;0.1129;3
be;0.0321;0.145;4
a;0.0278;0.1729;5
the;0.0275;0.2003;6
one;0.0199;0.2202;7
it;0.0193;0.2396;8
car;0.0182;0.2578;9
what;0.0156;0.2733;10
go;0.0155;0.2889;11
in;0.0134;0.3023;12
on;0.0129;0.3152;13
this;0.0128;0.328;14
where;0.0116;0.3396;15
and;0.0113;0.3509;16
here;0.0102;0.3611;17
do;0.0090;0.3701;18
more;0.0081;0.3782;19
baby;0.0081;0.3863;20
two;0.0070;0.3933;21
want;0.0068;0.4001;22
I;0.0068;0.4069;23
down;0.0065;0.4134;24
yes;0.0052;0.4186;25
you;0.0045;0.4231;26
up;0.0044;0.4275;27
look;0.0039;0.4314;28
three;0.0037;0.4351;29
not;0.0033;0.4384;30
get;0.0033;0.4416;31
right;0.0029;0.4445;32
cat;0.0029;0.4474;33
my;0.0026;0.45;34
shoe;0.0026;0.4526;35
away;0.0025;0.4551;36
all;0.0025;0.4577;37
toy;0.0025;0.4602;38
out;0.0024;0.4626;39
house;0.0024;0.4651;40
big;0.0023;0.4674;41
book;0.0023;0.4696;42
back;0.0022;0.4718;43
sit;0.0022;0.474;44
come;0.0021;0.4761;45
mine;0.0021;0.4782;46
off;0.0020;0.4802;47
drink;0.0019;0.4821;48
sleep;0.0018;0.484;49
door;0.0018;0.4857;50
please;0.0018;0.4875;51
he;0.0018;0.4893;52
water;0.0017;0.491;53
ball;0.0017;0.4927;54
juice;0.0016;0.4944;55
see;0.0016;0.496;56
some;0.0016;0.4976;57
like;0.0016;0.4992;58
dog;0.0015;0.5007;59
put;0.0014;0.5021;60
now;0.0013;0.5034;61
help;0.0013;0.5047;62
eat;0.0013;0.506;63
hand;0.0013;0.5073;64
wash;0.0012;0.5085;65
boy;0.0012;0.5097;66
have;0.0011;0.5108;67
under;0.0011;0.5119;68
eye;0.0011;0.5129;69
milk;0.0010;0.514;70
bed;0.0010;0.515;71
drive;0.0009;0.5159;72
chair;0.0009;0.5168;73
hot;0.0009;0.5177;74
over;0.0009;0.5186;75
little;0.0009;0.5195;76
they;0.0009;0.5205;77
head;0.0009;0.5213;78
table;0.0009;0.5222;79
other;0.0008;0.523;80
for;0.0008;0.5238;81
me;0.0008;0.5247;82
work;0.0007;0.5253;83
she;0.0007;0.526;84
leg;0.0007;0.5267;85
of;0.0007;0.5273;86
read;0.0007;0.5281;87
turn;0.0006;0.5286;88
make;0.0006;0.5292;89
watch;0.0006;0.5299;90
too;0.0006;0.5305;91
open;0.0006;0.5311;92
to;0.0006;0.5317;93
hi;0.0006;0.5324;94
stop;0.0006;0.5329;95
walk;0.0005;0.5335;96
food;0.0005;0.534;97
play;0.0005;0.5345;98
sock;0.0005;0.535;99
Grandpa;0.0005;0.5355;100
doll;0.0005;0.5361;101
them;0.0004;0.5364;102
who;0.0004;0.5369;103
good;0.0004;0.5372;104
with;0.0004;0.5376;105
her;0.0003;0.538;106
happy;0.0003;0.5383;107
ride;0.0003;0.5386;108
inside;0.0003;0.5389;109
take;0.0003;0.5392;110
pant;0.0003;0.5395;111
those;0.0003;0.5398;112
him;0.0003;0.5401;113
these;0.0003;0.5404;114
at;0.0002;0.5406;115
Dad;0.0002;0.5408;116
cold;0.0002;0.541;117
around;0.0002;0.5412;118
shirt;0.0002;0.5415;119
need;0.0002;0.5416;120
your;0.0002;0.5419;121
okay;0.0002;0.5421;122
say;0.0002;0.5423;123
dinner;0.0002;0.5425;124
just;0.0002;0.5427;125
girl;0.0002;0.543;126
bath;0.0002;0.5432;127
coat;0.0002;0.5434;128
will;0.0002;0.5436;129
people;0.0002;0.5438;130
we;0.0002;0.5441;131
tire;0.0001;0.5441;132
breakfast;0.0001;0.5443;133
lunch;0.0001;0.5444;134
know;0.0001;0.5445;135
hurt;0.0001;0.5447;136
something;0.0001;0.5448;137
sad;0.0001;0.5449;138
love;0.0001;0.5451;139
can;0.0001;0.5452;140
so;0.0001;0.5452;141
then;0.0001;0.5454;142
time;0.0001;0.5455;143
hungry;0.0001;0.5456;144
give;0.0001;0.5458;145
outside;0.0001;0.5459;146
garage;0.0001;0.546;147
Grandma;0.0001;0.5461;148
thing;0.0001;0.5463;149
kitchen;0.0001;0.5464;150
think;0.0001;0.5465;151
his;0.0001;0.5466;152
let;0.0001;0.5467;153
music;0.0000;0.5468;154
first;0.0000;0.5468;155
why;0.0000;0.5469;156
tv;0.0000;0.5469;157
story;0.0000;0.5469;158
hug;0.0000;0.547;159
close;0.0000;0.547;160
bad;0.0000;0.5471;161
sick;0.0000;0.5471;162
ha;0.0000;0.5471;163
how;0.0000;0.5472;164
by;0.0000;0.5472;165
stay;0.0000;0.5472;166
home;0.0000;0.5473;167
thirsty;0.0000;0.5473;168
