word;frequency;cobertura;word_order
be;0.0464;0.0464;1
there;0.0344;0.0808;2
no;0.0333;0.1141;3
it;0.0319;0.146;4
that;0.0315;0.1776;5
I;0.0296;0.2072;6
yeah;0.0278;0.2349;7
go;0.0260;0.261;8
a;0.0258;0.2868;9
the;0.0221;0.3089;10
oh;0.0205;0.3294;11
one;0.0184;0.3477;12
on;0.0183;0.3661;13
in;0.0166;0.3827;14
get;0.0150;0.3977;15
want;0.0126;0.4104;16
do;0.0125;0.4228;17
this;0.0115;0.4343;18
not;0.0113;0.4456;19
Mummy;0.0102;0.4558;20
and;0.0085;0.4643;21
my;0.0082;0.4724;22
you;0.0077;0.4802;23
me;0.0070;0.4872;24
yes;0.0069;0.4941;25
what;0.0066;0.5007;26
where;0.0064;0.5071;27
here;0.0062;0.5133;28
car;0.0061;0.5194;29
down;0.0060;0.5254;30
to;0.0058;0.5312;31
look;0.0057;0.5369;32
put;0.0056;0.5424;33
out;0.0054;0.5478;34
he;0.0054;0.5533;35
come;0.0052;0.5584;36
have;0.0052;0.5636;37
more;0.0049;0.5685;38
up;0.0048;0.5732;39
some;0.0041;0.5774;40
two;0.0041;0.5815;41
like;0.0040;0.5855;42
off;0.0039;0.5894;43
cannot;0.0038;0.5932;44
make;0.0035;0.5967;45
um;0.0035;0.6001;46
big;0.0034;0.6035;47
again;0.0033;0.6068;48
now;0.0032;0.61;49
sit;0.0032;0.6132;50
baby;0.0032;0.6164;51
back;0.0029;0.6193;52
play;0.0024;0.6217;53
need;0.0023;0.6239;54
eat;0.0023;0.6263;55
all;0.0022;0.6285;56
away;0.0022;0.6307;57
man;0.0021;0.6328;58
please;0.0021;0.6349;59
little;0.0021;0.6369;60
just;0.0020;0.6389;61
see;0.0020;0.6409;62
mine;0.0019;0.6428;63
bite;0.0019;0.6448;64
find;0.0019;0.6467;65
stick;0.0018;0.6485;66
over;0.0017;0.6502;67
break;0.0017;0.6519;68
take;0.0017;0.6536;69
for;0.0016;0.6552;70
green;0.0016;0.6568;71
Way;0.0016;0.6584;72
they;0.0016;0.66;73
three;0.0016;0.6616;74
know;0.0015;0.6631;75
house;0.0015;0.6646;76
too;0.0015;0.6661;77
these;0.0014;0.6675;78
your;0.0014;0.6689;79
those;0.0014;0.6703;80
can;0.0013;0.6716;81
other;0.0012;0.6727;82
drink;0.0012;0.6739;83
hat;0.0012;0.6751;84
stop;0.0012;0.6763;85
we;0.0012;0.6774;86
hello;0.0012;0.6786;87
Mum;0.0012;0.6797;88
open;0.0012;0.6809;89
them;0.0011;0.682;90
shoe;0.0011;0.683;91
right;0.0010;0.684;92
four;0.0010;0.685;93
of;0.0010;0.686;94
