word;frequency;cobertura;word_order
be;0.0562;0.0562;1
I;0.0395;0.0957;2
it;0.0316;0.1273;3
go;0.0304;0.1577;4
that;0.0253;0.183;5
no;0.0233;0.2063;6
do;0.0217;0.228;7
the;0.0207;0.2487;8
not;0.0192;0.2679;9
you;0.0189;0.2867;10
and;0.0185;0.3052;11
one;0.0176;0.3228;12
there;0.0169;0.3397;13
get;0.0158;0.3555;14
oh;0.0158;0.3713;15
this;0.0141;0.3854;16
want;0.0128;0.3981;17
to;0.0127;0.4108;18
in;0.0125;0.4233;19
on;0.0121;0.4355;20
my;0.0098;0.4453;21
have;0.0098;0.455;22
what;0.0093;0.4644;23
he;0.0089;0.4732;24
yes;0.0073;0.4806;25
can;0.0069;0.4874;26
here;0.0068;0.4942;27
where;0.0067;0.5009;28
look;0.0066;0.5075;29
me;0.0064;0.514;30
put;0.0063;0.5203;31
some;0.0060;0.5263;32
like;0.0059;0.5322;33
we;0.0051;0.5373;34
cannot;0.0049;0.5421;35
come;0.0046;0.5468;36
for;0.0040;0.5507;37
up;0.0040;0.5547;38
two;0.0039;0.5586;39
make;0.0038;0.5624;40
they;0.0038;0.5662;41
big;0.0037;0.5698;42
um;0.0036;0.5735;43
just;0.0034;0.5769;44
them;0.0034;0.5803;45
out;0.0033;0.5837;46
another;0.0033;0.587;47
all;0.0033;0.5902;48
why;0.0033;0.5935;49
car;0.0032;0.5967;50
will;0.0032;0.6;51
down;0.0029;0.6029;52
see;0.0029;0.6058;53
baby;0.0029;0.6087;54
because;0.0028;0.6115;55
little;0.0028;0.6143;56
play;0.0027;0.617;57
bite;0.0027;0.6196;58
off;0.0027;0.6224;59
know;0.0026;0.625;60
your;0.0024;0.6274;61
these;0.0023;0.6297;62
with;0.0022;0.6319;63
again;0.0021;0.634;64
more;0.0021;0.6362;65
of;0.0021;0.6382;66
eat;0.0021;0.6403;67
her;0.0020;0.6423;68
back;0.0019;0.6442;69
at;0.0018;0.646;70
him;0.0018;0.6477;71
let;0.0018;0.6495;72
