word;frequency;cobertura;word_order
be;0.0562;0.0562;1
I;0.0395;0.0957;2
it;0.0316;0.1273;3
go;0.0304;0.1577;4
yeah;0.0272;0.1849;5
a;0.0258;0.2106;6
that;0.0253;0.236;7
no;0.0233;0.2593;8
the;0.0207;0.2799;9
you;0.0189;0.2988;10
want;0.0128;0.3116;11
in;0.0125;0.3241;12
on;0.0121;0.3362;13
my;0.0098;0.346;14
what;0.0093;0.3554;15
yes;0.0073;0.3627;16
here;0.0068;0.3695;17
some;0.0060;0.3755;18
out;0.0033;0.3788;19
off;0.0027;0.3816;20
more;0.0021;0.3837;21
mine;0.0018;0.3855;22
help;0.0005;0.3861;23
finish;0.0005;0.3866;24
