word;frequency;cobertura;word_order
be;0.0595;0.0595;1
I;0.0353;0.0948;2
the;0.0311;0.1258;3
it;0.0297;0.1555;4
that;0.0250;0.1805;5
a;0.0226;0.2032;6
do;0.0222;0.2253;7
no;0.0209;0.2463;8
and;0.0203;0.2666;9
you;0.0197;0.2863;10
not;0.0194;0.3057;11
go;0.0181;0.3238;12
there;0.0179;0.3417;13
to;0.0165;0.3582;14
in;0.0154;0.3736;15
this;0.0149;0.3885;16
get;0.0149;0.4034;17
have;0.0128;0.4162;18
one;0.0124;0.4287;19
my;0.0092;0.4379;20
want;0.0089;0.4468;21
can;0.0088;0.4556;22
what;0.0088;0.4644;23
me;0.0086;0.473;24
on;0.0075;0.4806;25
here;0.0071;0.4877;26
put;0.0060;0.4936;27
we;0.0060;0.4996;28
now;0.0057;0.5053;29
up;0.0057;0.511;30
them;0.0055;0.5165;31
like;0.0052;0.5217;32
know;0.0050;0.5267;33
come;0.0048;0.5316;34
yes;0.0047;0.5363;35
some;0.0046;0.5409;36
they;0.0045;0.5455;37
for;0.0044;0.5499;38
will;0.0042;0.5542;39
out;0.0041;0.5583;40
play;0.0039;0.5622;41
mom;0.0034;0.5655;42
your;0.0034;0.5689;43
eat;0.0034;0.5723;44
of;0.0033;0.5756;45
all;0.0032;0.5788;46
with;0.0032;0.582;47
big;0.0029;0.5849;48
she;0.0028;0.5877;49
see;0.0027;0.5904;50
just;0.0027;0.5931;51
but;0.0025;0.5956;52
at;0.0024;0.598;53
make;0.0024;0.6004;54
house;0.0024;0.6028;55
her;0.0020;0.6048;56
too;0.0020;0.6067;57
then;0.0020;0.6087;58
his;0.0019;0.6106;59
over;0.0018;0.6124;60
car;0.0016;0.614;61
because;0.0016;0.6156;62
find;0.0015;0.6171;63
think;0.0015;0.6187;64
dog;0.0013;0.6199;65
so;0.0012;0.6211;66
lot;0.0011;0.6222;67
thing;0.0010;0.6233;68
well;0.0009;0.6241;69
when;0.0008;0.6249;70
something;0.0008;0.6258;71
time;0.0008;0.6266;72
call;0.0008;0.6274;73
book;0.0007;0.628;74
fall;0.0007;0.6288;75
how;0.0007;0.6294;76
very;0.0007;0.6302;77
good;0.0006;0.6308;78
home;0.0006;0.6314;79
if;0.0006;0.632;80
bye;0.0006;0.6326;81
dinner;0.0006;0.6333;82
watch;0.0005;0.6338;83
bowl;0.0005;0.6343;84
friend;0.0005;0.6347;85
people;0.0005;0.6352;86
name;0.0005;0.6357;87
live;0.0005;0.6363;88
from;0.0005;0.6368;89
their;0.0004;0.6372;90
today;0.0004;0.6376;91
about;0.0004;0.638;92
park;0.0004;0.6385;93
could;0.0004;0.6389;94
dear;0.0004;0.6393;95
school;0.0004;0.6397;96
food;0.0003;0.64;97
together;0.0003;0.6404;98
change;0.0003;0.6406;99
long;0.0003;0.6409;100
high;0.0003;0.6412;101
our;0.0003;0.6415;102
outside;0.0003;0.6418;103
maybe;0.0003;0.6421;104
shop;0.0002;0.6423;105
Mrs;0.0002;0.6425;106
picture;0.0002;0.6428;107
write;0.0002;0.6429;108
mat;0.0002;0.6432;109
day;0.0002;0.6434;110
or;0.0002;0.6436;111
would;0.0002;0.6438;112
tell;0.0002;0.644;113
dad;0.0002;0.6442;114
foot;0.0002;0.6444;115
much;0.0002;0.6445;116
rock;0.0002;0.6447;117
read;0.0002;0.6449;118
always;0.0001;0.645;119
sea;0.0001;0.6451;120
field;0.0001;0.6453;121
drive;0.0001;0.6454;122
fine;0.0001;0.6455;123
pie;0.0001;0.6455;124
love;0.0001;0.6456;125
after;0.0001;0.6457;126
sock;0.0001;0.6459;127
hill;0.0001;0.6459;128
by;0.0001;0.6461;129
circle;0.0001;0.6461;130
place;0.0001;0.6462;131
men;0.0001;0.6464;132
dry;0.0001;0.6465;133
money;0.0001;0.6466;134
old;0.0001;0.6466;135
anymore;0.0001;0.6468;136
football;0.0001;0.6468;137
arm;0.0001;0.6469;138
teacher;0.0001;0.647;139
holiday;0.0001;0.6471;140
as;0.0001;0.6471;141
ha;0.0001;0.6472;142
chew;0.0001;0.6473;143
soon;0.0001;0.6474;144
start;0.0001;0.6474;145
Christmas;0.0001;0.6475;146
decide;0.0001;0.6476;147
roll;0.0001;0.6477;148
lane;0.0001;0.6477;149
corner;0.0001;0.6478;150
potato;0.0001;0.6479;151
carry;0.0001;0.648;152
middle;0.0000;0.648;153
slip;0.0000;0.6481;154
mother;0.0000;0.6481;155
above;0.0000;0.6481;156
end;0.0000;0.6482;157
turkey;0.0000;0.6482;158
also;0.0000;0.6482;159
corn;0.0000;0.6483;160
full;0.0000;0.6483;161
Indians;0.0000;0.6483;162
stuff;0.0000;0.6484;163
many;0.0000;0.6484;164
cant;0.0000;0.6484;165
mix;0.0000;0.6485;166
