word;frequency;cobertura;word_order
be;0.0663;0.0663;1
I;0.0440;0.1103;2
do;0.0291;0.1395;3
the;0.0289;0.1683;4
it;0.0279;0.1963;5
you;0.0256;0.2219;6
that;0.0250;0.2469;7
a;0.0216;0.2684;8
not;0.0202;0.2886;9
and;0.0201;0.3087;10
yeah;0.0200;0.3287;11
go;0.0191;0.3478;12
no;0.0161;0.3639;13
there;0.0157;0.3797;14
in;0.0133;0.3929;15
one;0.0133;0.4063;16
he;0.0126;0.4189;17
get;0.0125;0.4314;18
this;0.0124;0.4438;19
to;0.0120;0.4558;20
have;0.0118;0.4675;21
my;0.0090;0.4765;22
on;0.0080;0.4845;23
know;0.0075;0.492;24
they;0.0072;0.4992;25
yes;0.0071;0.5063;26
all;0.0062;0.5125;27
up;0.0058;0.5184;28
like;0.0045;0.5229;29
she;0.0044;0.5273;30
of;0.0044;0.5317;31
for;0.0043;0.536;32
with;0.0038;0.5398;33
his;0.0032;0.5429;34
at;0.0027;0.5456;35
then;0.0026;0.5483;36
but;0.0025;0.5508;37
when;0.0022;0.553;38
out;0.0022;0.5552;39
her;0.0021;0.5573;40
say;0.0019;0.5592;41
Mum;0.0009;0.5601;42
home;0.0005;0.5606;43
Dad;0.0004;0.561;44
lose;0.0003;0.5613;45
wa;0.0001;0.5614;46
