word;frequency;cobertura;word_order
be;0.0727;0.0727;1
do;0.0450;0.1178;2
you;0.0439;0.1617;3
I;0.0312;0.1928;4
a;0.0266;0.2194;5
not;0.0266;0.246;6
go;0.0254;0.2714;7
that;0.0242;0.2956;8
it;0.0242;0.3199;9
and;0.0242;0.3441;10
in;0.0185;0.3626;11
they;0.0173;0.3799;12
big;0.0173;0.3972;13
the;0.0162;0.4134;14
there;0.0150;0.4284;15
know;0.0150;0.4434;16
get;0.0127;0.4561;17
them;0.0127;0.4688;18
have;0.0092;0.4781;19
then;0.0081;0.4861;20
he;0.0081;0.4942;21
on;0.0069;0.5012;22
like;0.0069;0.5081;23
one;0.0069;0.515;24
for;0.0069;0.5219;25
eat;0.0069;0.5289;26
all;0.0058;0.5346;27
of;0.0058;0.5404;28
my;0.0058;0.5462;29
out;0.0058;0.552;30
me;0.0058;0.5577;31
we;0.0058;0.5635;32
come;0.0046;0.5681;33
some;0.0046;0.5727;34
put;0.0046;0.5774;35
this;0.0035;0.5808;36
to;0.0035;0.5843;37
dog;0.0035;0.5878;38
can;0.0035;0.5912;39
will;0.0035;0.5947;40
next;0.0035;0.5982;41
up;0.0035;0.6016;42
day;0.0023;0.6039;43
but;0.0023;0.6062;44
back;0.0023;0.6085;45
say;0.0023;0.6109;46
play;0.0023;0.6132;47
when;0.0012;0.6143;48
house;0.0012;0.6155;49
Aunt;0.0012;0.6166;50
want;0.0012;0.6178;51
nice;0.0012;0.6189;52
favorite;0.0012;0.6201;53
give;0.0012;0.6212;54
buy;0.0012;0.6224;55
outside;0.0012;0.6236;56
at;0.0012;0.6247;57
with;0.0012;0.6259;58
very;0.0012;0.627;59
