word;frequency;cobertura;word_order
be;0.0727;0.0727;1
do;0.0450;0.1178;2
you;0.0439;0.1617;3
I;0.0312;0.1928;4
what;0.0300;0.2229;5
a;0.0266;0.2494;6
not;0.0266;0.276;7
go;0.0254;0.3014;8
that;0.0242;0.3256;9
it;0.0242;0.3499;10
and;0.0242;0.3741;11
in;0.0185;0.3926;12
they;0.0173;0.4099;13
big;0.0173;0.4273;14
the;0.0162;0.4434;15
no;0.0162;0.4596;16
there;0.0150;0.4746;17
know;0.0150;0.4896;18
get;0.0127;0.5023;19
yeah;0.0127;0.515;20
them;0.0127;0.5277;21
um;0.0115;0.5393;22
well;0.0104;0.5497;23
have;0.0092;0.5589;24
then;0.0081;0.567;25
he;0.0081;0.5751;26
on;0.0069;0.582;27
like;0.0069;0.5889;28
one;0.0069;0.5958;29
for;0.0069;0.6028;30
eat;0.0069;0.6097;31
where;0.0069;0.6166;32
how;0.0058;0.6224;33
all;0.0058;0.6282;34
of;0.0058;0.6339;35
yes;0.0058;0.6397;36
my;0.0058;0.6455;37
out;0.0058;0.6513;38
me;0.0058;0.657;39
we;0.0058;0.6628;40
come;0.0046;0.6674;41
some;0.0046;0.6721;42
only;0.0046;0.6767;43
why;0.0046;0.6813;44
put;0.0046;0.6859;45
this;0.0035;0.6894;46
him;0.0035;0.6928;47
these;0.0035;0.6963;48
to;0.0035;0.6998;49
now;0.0035;0.7032;50
mean;0.0035;0.7067;51
ah;0.0035;0.7102;52
can;0.0035;0.7136;53
who;0.0035;0.7171;54
will;0.0035;0.7206;55
next;0.0035;0.724;56
up;0.0035;0.7275;57
bring;0.0035;0.7309;58
day;0.0023;0.7333;59
but;0.0023;0.7356;60
any;0.0023;0.7379;61
thing;0.0023;0.7402;62
tell;0.0023;0.7425;63
back;0.0023;0.7448;64
more;0.0023;0.7471;65
look;0.0023;0.7494;66
say;0.0023;0.7517;67
bad;0.0023;0.754;68
wow;0.0023;0.7564;69
huh;0.0023;0.7587;70
play;0.0023;0.761;71
sorry;0.0023;0.7633;72
just;0.0023;0.7656;73
try;0.0012;0.7667;74
red;0.0012;0.7679;75
open;0.0012;0.7691;76
other;0.0012;0.7702;77
down;0.0012;0.7714;78
stick;0.0012;0.7725;79
when;0.0012;0.7737;80
or;0.0012;0.7748;81
want;0.0012;0.776;82
hold;0.0012;0.7771;83
away;0.0012;0.7783;84
nice;0.0012;0.7794;85
right;0.0012;0.7806;86
thank;0.0012;0.7818;87
feel;0.0012;0.7829;88
hi;0.0012;0.7841;89
break;0.0012;0.7852;90
bite;0.0012;0.7864;91
oh;0.0012;0.7875;92
think;0.0012;0.7887;93
give;0.0012;0.7898;94
your;0.0012;0.791;95
outside;0.0012;0.7921;96
at;0.0012;0.7933;97
hard;0.0012;0.7945;98
with;0.0012;0.7956;99
from;0.0012;0.7968;100
very;0.0012;0.7979;101
juice;0.0012;0.7991;102
pick;0.0012;0.8002;103
baby;0.0012;0.8014;104
sign;0.0012;0.8025;105
