word;quantity;frequency
book;8;0.0105
toothbrush;12;0.0158
brush;16;0.0211
banana;8;0.0105
flower;16;0.0211
represent;4;0.0053
car;16;0.0211
noise;4;0.0053
Daddy;12;0.0158
spoon;12;0.0158
cot;12;0.0158
door;16;0.0211
pig;4;0.0053
nose;8;0.0105
chair;32;0.0421
mouth;8;0.0105
paper;32;0.0421
byebye;4;0.0053
plane;4;0.0053
cow;8;0.0105
meow;4;0.0053
boy;28;0.0368
ball;24;0.0316
bus;16;0.0211
shoe;12;0.0158
teddy;12;0.0158
pram;8;0.0105
mug;8;0.0105
gate;4;0.0053
cake;24;0.0316
biscuit;4;0.0053
light;8;0.0105
baby;28;0.0368
fish;4;0.0053
hat;4;0.0053
down;4;0.0053
milk;4;0.0053
pencil;4;0.0053
rain;4;0.0053
tea;12;0.0158
woman;4;0.0053
doggy;20;0.0263
comb;12;0.0158
pear;4;0.0053
apple;24;0.0316
piggy;8;0.0105
lady;12;0.0158
horse;4;0.0053
tell;4;0.0053
puppy;4;0.0053
water;12;0.0158
duck;12;0.0158
mummie;8;0.0105
stair;4;0.0053
key;8;0.0105
tongue;12;0.0158
bed;4;0.0053
jam;8;0.0105
nail;4;0.0053
sun;12;0.0158
table;4;0.0053
tree;4;0.0053
bird;4;0.0053
rabbit;4;0.0053
cup;8;0.0105
of;4;0.0053
bath;4;0.0053
bag;8;0.0105
seesaw;12;0.0158
no;4;0.0053
egg;4;0.0053
man;4;0.0053
letter;4;0.0053
road;4;0.0053
all_gone;4;0.0053
sock;4;0.0053
eye;4;0.0053
bib;4;0.0053
birdie;8;0.0105
girl;4;0.0053
sheep;4;0.0053
pen;4;0.0053
sweetie;4;0.0053
Sandy;4;0.0053
jug;4;0.0053
Ribena;4;0.0053
scarf;4;0.0053
