word;quantity;frequency
book;10;0.0105
toothbrush;15;0.0158
brush;20;0.0211
banana;10;0.0105
flower;20;0.0211
represent;5;0.0053
car;20;0.0211
noise;5;0.0053
Daddy;15;0.0158
spoon;15;0.0158
cot;15;0.0158
door;20;0.0211
pig;5;0.0053
nose;10;0.0105
chair;40;0.0421
mouth;10;0.0105
paper;40;0.0421
byebye;5;0.0053
plane;5;0.0053
cow;10;0.0105
meow;5;0.0053
boy;35;0.0368
ball;30;0.0316
bus;20;0.0211
shoe;15;0.0158
teddy;15;0.0158
pram;10;0.0105
mug;10;0.0105
gate;5;0.0053
cake;30;0.0316
biscuit;5;0.0053
light;10;0.0105
baby;35;0.0368
fish;5;0.0053
hat;5;0.0053
down;5;0.0053
milk;5;0.0053
pencil;5;0.0053
rain;5;0.0053
tea;15;0.0158
woman;5;0.0053
doggy;25;0.0263
comb;15;0.0158
pear;5;0.0053
apple;30;0.0316
piggy;10;0.0105
lady;15;0.0158
horse;5;0.0053
tell;5;0.0053
puppy;5;0.0053
water;15;0.0158
duck;15;0.0158
mummie;10;0.0105
stair;5;0.0053
key;10;0.0105
tongue;15;0.0158
bed;5;0.0053
jam;10;0.0105
nail;5;0.0053
sun;15;0.0158
table;5;0.0053
tree;5;0.0053
bird;5;0.0053
rabbit;5;0.0053
cup;10;0.0105
of;5;0.0053
bath;5;0.0053
bag;10;0.0105
seesaw;15;0.0158
no;5;0.0053
egg;5;0.0053
man;5;0.0053
letter;5;0.0053
road;5;0.0053
all_gone;5;0.0053
sock;5;0.0053
eye;5;0.0053
bib;5;0.0053
birdie;10;0.0105
girl;5;0.0053
sheep;5;0.0053
pen;5;0.0053
sweetie;5;0.0053
Sandy;5;0.0053
jug;5;0.0053
Ribena;5;0.0053
scarf;5;0.0053
