word;quantity;frequency
cake;70;0.0017
birdie;28;0.0007
pencil;3;0.0001
boat;91;0.0022
bus;52;0.0013
chair;36;0.0009
table;35;0.0009
train;230;0.0057
lady;82;0.002
kiss;17;0.0004
down;265;0.0065
ring;15;0.0004
bucket;7;0.0002
all_gone;76;0.0019
teddy;139;0.0034
tea;63;0.0016
tongue;2;0.0
spoon;18;0.0004
apple;83;0.002
orange;102;0.0025
light;15;0.0004
go;630;0.0155
chocolate;22;0.0005
Marmite;5;0.0001
milk;42;0.001
biscuit;66;0.0016
bib;10;0.0002
medicine;1;0.0
up;177;0.0044
mug;2;0.0
bottle;11;0.0003
mouse;20;0.0005
time;5;0.0001
cotton;1;0.0
lap;1;0.0
shop;44;0.0011
story;2;0.0
cardigan;4;0.0001
toothbrush;2;0.0
parcel;5;0.0001
lunch;6;0.0001
shoe;105;0.0026
balloon;8;0.0002
duck;66;0.0016
please;72;0.0018
mummie;65;0.0016
Daddy;407;0.01
toast;21;0.0005
crispies;6;0.0001
lounge;1;0.0
sweetie;26;0.0006
no;1472;0.0363
banana;22;0.0005
crocodile;4;0.0001
supper;3;0.0001
ready;8;0.0002
pepper;2;0.0
water;67;0.0017
tree;51;0.0013
pen;32;0.0008
beer;9;0.0002
Mummy;647;0.016
be;1303;0.0321
in;544;0.0134
the;1114;0.0275
Mini;1;0.0
pocket;9;0.0002
byebye;54;0.0013
Sally;2;0.0
yellow;90;0.0022
one;807;0.0199
boy;50;0.0012
way;68;0.0017
toe;20;0.0005
book;92;0.0023
away;102;0.0025
kakaka;1;0.0
nice;46;0.0011
other;33;0.0008
bike;22;0.0005
glass;8;0.0002
meow;4;0.0001
Jenny;18;0.0004
another;142;0.0035
baby;327;0.0081
buy;6;0.0001
grape;27;0.0007
piece;9;0.0002
more;330;0.0081
bread;11;0.0003
work;27;0.0007
kind;1;0.0
lion;64;0.0016
ups_a_daisy;3;0.0001
there;1776;0.0438
wipe;5;0.0001
yes;210;0.0052
dear;319;0.0079
reindeer;2;0.0
hat;139;0.0034
on;524;0.0129
Lucky;1;0.0
behind;2;0.0
Suki;4;0.0001
where;472;0.0116
pottie;10;0.0002
bear;32;0.0008
onion;5;0.0001
kitchen;3;0.0001
back;88;0.0022
top;22;0.0005
can;5;0.0001
paper;36;0.0009
hello;121;0.003
like;66;0.0016
curler;3;0.0001
quack;14;0.0003
bacon;5;0.0001
Kipper;3;0.0001
come;84;0.0021
fish;158;0.0039
I;277;0.0068
some;66;0.0016
doggy;19;0.0005
bone;7;0.0002
prune;3;0.0001
we;10;0.0002
love;5;0.0001
God;1;0.0
bless;1;0.0
swim;20;0.0005
dummy;4;0.0001
a;1129;0.0278
good;15;0.0004
girl;9;0.0002
night_night;18;0.0004
give;6;0.0001
me;34;0.0008
your;10;0.0002
hand;52;0.0013
pudding;5;0.0001
run;12;0.0003
bum;2;0.0
night;8;0.0002
umbrella;6;0.0001
clinic;1;0.0
lawn;1;0.0
grass;38;0.0009
wine;1;0.0
rhubarb;4;0.0001
dress;20;0.0005
gown;1;0.0
doo;1;0.0
cannot;13;0.0003
Maria;2;0.0
Lulu;8;0.0002
letter;6;0.0001
bottom;6;0.0001
do;365;0.009
it;784;0.0193
sunny;1;0.0
mind;9;0.0002
sore;3;0.0001
map;2;0.0
get;133;0.0033
chin;1;0.0
finish;11;0.0003
cushion;10;0.0002
John;3;0.0001
sugar;13;0.0003
big;92;0.0023
window;30;0.0007
cry;46;0.0011
sick;1;0.0
again;182;0.0045
look;159;0.0039
Tim;1;0.0
wait;2;0.0
naughty;36;0.0009
spider;33;0.0008
climb;20;0.0005
over;36;0.0009
now;51;0.0013
belt;1;0.0
fly;18;0.0004
too;25;0.0006
turn;23;0.0006
lorry;19;0.0005
library;1;0.0
boot;5;0.0001
cough;1;0.0
upstairs;7;0.0002
tie;5;0.0001
moo;11;0.0003
cow;105;0.0026
dirty;15;0.0004
leaf;1;0.0
door;72;0.0018
egg;151;0.0037
finger;5;0.0001
leg;27;0.0007
jam;5;0.0001
pig;39;0.001
seat;9;0.0002
sun;26;0.0006
eye;43;0.0011
ear;25;0.0006
mouth;17;0.0004
chicken;26;0.0006
gate;1;0.0
kettle;2;0.0
lolly;5;0.0001
tart;1;0.0
doctor;3;0.0001
dark;2;0.0
carry;16;0.0004
oh;1632;0.0402
cup;19;0.0005
nose;36;0.0009
sure;3;0.0001
boo;5;0.0001
hi;26;0.0006
handkerchief;2;0.0
doggie;20;0.0005
dolly;88;0.0022
seesaw;27;0.0007
wireless;2;0.0
truck;124;0.0031
pram;48;0.0012
bunny;7;0.0002
fire;10;0.0002
Jaffa;1;0.0
dustbin;2;0.0
man;260;0.0064
button;14;0.0003
