word;quantity;frequency
cake;420;0.0017
birdie;168;0.0007
pencil;18;0.0001
boat;546;0.0022
bus;312;0.0013
chair;216;0.0009
table;210;0.0009
train;1380;0.0057
lady;492;0.002
kiss;102;0.0004
down;1590;0.0065
ring;90;0.0004
bucket;42;0.0002
all_gone;456;0.0019
teddy;834;0.0034
tea;378;0.0016
tongue;12;0.0
spoon;108;0.0004
apple;498;0.002
orange;612;0.0025
light;90;0.0004
go;3780;0.0155
chocolate;132;0.0005
Marmite;30;0.0001
milk;252;0.001
biscuit;396;0.0016
bib;60;0.0002
medicine;6;0.0
up;1062;0.0044
mug;12;0.0
bottle;66;0.0003
mouse;120;0.0005
time;30;0.0001
cotton;6;0.0
lap;6;0.0
shop;264;0.0011
story;12;0.0
cardigan;24;0.0001
toothbrush;12;0.0
parcel;30;0.0001
lunch;36;0.0001
shoe;630;0.0026
balloon;48;0.0002
duck;396;0.0016
please;432;0.0018
mummie;390;0.0016
Daddy;2442;0.01
toast;126;0.0005
crispies;36;0.0001
lounge;6;0.0
sweetie;156;0.0006
no;8832;0.0363
banana;132;0.0005
crocodile;24;0.0001
supper;18;0.0001
ready;48;0.0002
pepper;12;0.0
water;402;0.0017
tree;306;0.0013
pen;192;0.0008
beer;54;0.0002
Mummy;3882;0.016
be;7818;0.0321
in;3264;0.0134
the;6684;0.0275
Mini;6;0.0
pocket;54;0.0002
byebye;324;0.0013
Sally;12;0.0
yellow;540;0.0022
one;4842;0.0199
boy;300;0.0012
way;408;0.0017
toe;120;0.0005
book;552;0.0023
away;612;0.0025
kakaka;6;0.0
nice;276;0.0011
other;198;0.0008
bike;132;0.0005
glass;48;0.0002
meow;24;0.0001
Jenny;108;0.0004
another;852;0.0035
baby;1962;0.0081
buy;36;0.0001
grape;162;0.0007
piece;54;0.0002
more;1980;0.0081
bread;66;0.0003
work;162;0.0007
kind;6;0.0
lion;384;0.0016
ups_a_daisy;18;0.0001
there;10656;0.0438
wipe;30;0.0001
yes;1260;0.0052
dear;1914;0.0079
reindeer;12;0.0
hat;834;0.0034
on;3144;0.0129
Lucky;6;0.0
behind;12;0.0
Suki;24;0.0001
where;2832;0.0116
pottie;60;0.0002
bear;192;0.0008
onion;30;0.0001
kitchen;18;0.0001
back;528;0.0022
top;132;0.0005
can;30;0.0001
paper;216;0.0009
hello;726;0.003
like;396;0.0016
curler;18;0.0001
quack;84;0.0003
bacon;30;0.0001
Kipper;18;0.0001
come;504;0.0021
fish;948;0.0039
I;1662;0.0068
some;396;0.0016
doggy;114;0.0005
bone;42;0.0002
prune;18;0.0001
we;60;0.0002
love;30;0.0001
God;6;0.0
bless;6;0.0
swim;120;0.0005
dummy;24;0.0001
a;6774;0.0278
good;90;0.0004
girl;54;0.0002
night_night;108;0.0004
give;36;0.0001
me;204;0.0008
your;60;0.0002
hand;312;0.0013
pudding;30;0.0001
run;72;0.0003
bum;12;0.0
night;48;0.0002
umbrella;36;0.0001
clinic;6;0.0
lawn;6;0.0
grass;228;0.0009
wine;6;0.0
rhubarb;24;0.0001
dress;120;0.0005
gown;6;0.0
doo;6;0.0
cannot;78;0.0003
Maria;12;0.0
Lulu;48;0.0002
letter;36;0.0001
bottom;36;0.0001
do;2190;0.009
it;4704;0.0193
sunny;6;0.0
mind;54;0.0002
sore;18;0.0001
map;12;0.0
get;798;0.0033
chin;6;0.0
finish;66;0.0003
cushion;60;0.0002
John;18;0.0001
sugar;78;0.0003
big;552;0.0023
window;180;0.0007
cry;276;0.0011
sick;6;0.0
again;1092;0.0045
look;954;0.0039
Tim;6;0.0
wait;12;0.0
naughty;216;0.0009
spider;198;0.0008
climb;120;0.0005
over;216;0.0009
now;306;0.0013
belt;6;0.0
fly;108;0.0004
too;150;0.0006
turn;138;0.0006
lorry;114;0.0005
library;6;0.0
boot;30;0.0001
cough;6;0.0
upstairs;42;0.0002
tie;30;0.0001
moo;66;0.0003
cow;630;0.0026
dirty;90;0.0004
leaf;6;0.0
door;432;0.0018
egg;906;0.0037
finger;30;0.0001
leg;162;0.0007
jam;30;0.0001
pig;234;0.001
seat;54;0.0002
sun;156;0.0006
eye;258;0.0011
ear;150;0.0006
mouth;102;0.0004
chicken;156;0.0006
gate;6;0.0
kettle;12;0.0
lolly;30;0.0001
tart;6;0.0
doctor;18;0.0001
dark;12;0.0
carry;96;0.0004
oh;9792;0.0402
cup;114;0.0005
nose;216;0.0009
sure;18;0.0001
boo;30;0.0001
hi;156;0.0006
handkerchief;12;0.0
doggie;120;0.0005
dolly;528;0.0022
seesaw;162;0.0007
wireless;12;0.0
truck;744;0.0031
pram;288;0.0012
bunny;42;0.0002
fire;60;0.0002
Jaffa;6;0.0
dustbin;12;0.0
man;1560;0.0064
button;84;0.0003
all;618;0.0025
right;702;0.0029
holly;12;0.0
gorilla;66;0.0003
pinkie;6;0.0
