word;quantity;frequency
cake;560;0.0017
birdie;224;0.0007
pencil;24;0.0001
boat;728;0.0022
bus;416;0.0013
chair;288;0.0009
table;280;0.0009
train;1840;0.0057
lady;656;0.002
kiss;136;0.0004
down;2120;0.0065
ring;120;0.0004
bucket;56;0.0002
all_gone;608;0.0019
teddy;1112;0.0034
tea;504;0.0016
tongue;16;0.0
spoon;144;0.0004
apple;664;0.002
orange;816;0.0025
light;120;0.0004
go;5040;0.0155
chocolate;176;0.0005
Marmite;40;0.0001
milk;336;0.001
biscuit;528;0.0016
bib;80;0.0002
medicine;8;0.0
up;1416;0.0044
mug;16;0.0
bottle;88;0.0003
mouse;160;0.0005
time;40;0.0001
cotton;8;0.0
lap;8;0.0
shop;352;0.0011
story;16;0.0
cardigan;32;0.0001
toothbrush;16;0.0
parcel;40;0.0001
lunch;48;0.0001
shoe;840;0.0026
balloon;64;0.0002
duck;528;0.0016
please;576;0.0018
mummie;520;0.0016
Daddy;3256;0.01
toast;168;0.0005
crispies;48;0.0001
lounge;8;0.0
sweetie;208;0.0006
no;11776;0.0363
banana;176;0.0005
crocodile;32;0.0001
supper;24;0.0001
ready;64;0.0002
pepper;16;0.0
water;536;0.0017
tree;408;0.0013
pen;256;0.0008
beer;72;0.0002
Mummy;5176;0.016
be;10424;0.0321
in;4352;0.0134
the;8912;0.0275
Mini;8;0.0
pocket;72;0.0002
byebye;432;0.0013
Sally;16;0.0
yellow;720;0.0022
one;6456;0.0199
boy;400;0.0012
way;544;0.0017
toe;160;0.0005
book;736;0.0023
away;816;0.0025
kakaka;8;0.0
nice;368;0.0011
other;264;0.0008
bike;176;0.0005
glass;64;0.0002
meow;32;0.0001
Jenny;144;0.0004
another;1136;0.0035
baby;2616;0.0081
buy;48;0.0001
grape;216;0.0007
piece;72;0.0002
more;2640;0.0081
bread;88;0.0003
work;216;0.0007
kind;8;0.0
lion;512;0.0016
ups_a_daisy;24;0.0001
there;14208;0.0438
wipe;40;0.0001
yes;1680;0.0052
dear;2552;0.0079
reindeer;16;0.0
hat;1112;0.0034
on;4192;0.0129
Lucky;8;0.0
behind;16;0.0
Suki;32;0.0001
where;3776;0.0116
pottie;80;0.0002
bear;256;0.0008
onion;40;0.0001
kitchen;24;0.0001
back;704;0.0022
top;176;0.0005
can;40;0.0001
paper;288;0.0009
hello;968;0.003
like;528;0.0016
curler;24;0.0001
quack;112;0.0003
bacon;40;0.0001
Kipper;24;0.0001
come;672;0.0021
fish;1264;0.0039
I;2216;0.0068
some;528;0.0016
doggy;152;0.0005
bone;56;0.0002
prune;24;0.0001
we;80;0.0002
love;40;0.0001
God;8;0.0
bless;8;0.0
swim;160;0.0005
dummy;32;0.0001
a;9032;0.0278
good;120;0.0004
girl;72;0.0002
night_night;144;0.0004
give;48;0.0001
me;272;0.0008
your;80;0.0002
hand;416;0.0013
pudding;40;0.0001
run;96;0.0003
bum;16;0.0
night;64;0.0002
umbrella;48;0.0001
clinic;8;0.0
lawn;8;0.0
grass;304;0.0009
wine;8;0.0
rhubarb;32;0.0001
dress;160;0.0005
gown;8;0.0
doo;8;0.0
cannot;104;0.0003
Maria;16;0.0
Lulu;64;0.0002
letter;48;0.0001
bottom;48;0.0001
do;2920;0.009
it;6272;0.0193
sunny;8;0.0
mind;72;0.0002
sore;24;0.0001
map;16;0.0
get;1064;0.0033
chin;8;0.0
finish;88;0.0003
cushion;80;0.0002
John;24;0.0001
sugar;104;0.0003
big;736;0.0023
window;240;0.0007
cry;368;0.0011
sick;8;0.0
again;1456;0.0045
look;1272;0.0039
Tim;8;0.0
wait;16;0.0
naughty;288;0.0009
spider;264;0.0008
climb;160;0.0005
over;288;0.0009
now;408;0.0013
belt;8;0.0
fly;144;0.0004
too;200;0.0006
turn;184;0.0006
lorry;152;0.0005
library;8;0.0
boot;40;0.0001
cough;8;0.0
upstairs;56;0.0002
tie;40;0.0001
moo;88;0.0003
cow;840;0.0026
dirty;120;0.0004
leaf;8;0.0
door;576;0.0018
egg;1208;0.0037
finger;40;0.0001
leg;216;0.0007
jam;40;0.0001
pig;312;0.001
seat;72;0.0002
sun;208;0.0006
eye;344;0.0011
ear;200;0.0006
mouth;136;0.0004
chicken;208;0.0006
gate;8;0.0
kettle;16;0.0
lolly;40;0.0001
tart;8;0.0
doctor;24;0.0001
dark;16;0.0
carry;128;0.0004
oh;13056;0.0402
cup;152;0.0005
nose;288;0.0009
sure;24;0.0001
boo;40;0.0001
hi;208;0.0006
handkerchief;16;0.0
doggie;160;0.0005
dolly;704;0.0022
seesaw;216;0.0007
wireless;16;0.0
truck;992;0.0031
pram;384;0.0012
bunny;56;0.0002
fire;80;0.0002
Jaffa;8;0.0
dustbin;16;0.0
man;2080;0.0064
button;112;0.0003
all;824;0.0025
right;936;0.0029
holly;16;0.0
gorilla;88;0.0003
pinkie;8;0.0
foot;376;0.0012
break;864;0.0027
pink;256;0.0008
red;864;0.0027
bye;136;0.0004
Lucy;72;0.0002
sleep;600;0.0018
of;224;0.0007
own;8;0.0
cuddle;144;0.0004
knife;104;0.0003
peg;8;0.0
ride;104;0.0003
corner;88;0.0003
blue;1040;0.0032
tit;32;0.0001
butter;72;0.0002
animal;32;0.0001
basket;120;0.0004
polar;24;0.0001
shy;8;0.0
busy;8;0.0
fight;16;0.0
leave;128;0.0004
alone;16;0.0
bag;328;0.001
key;48;0.0001
wear;48;0.0001
out;792;0.0024
enough;32;0.0001
horse;536;0.0017
curtain;64;0.0002
and;3656;0.0113
heavy;48;0.0001
tin;112;0.0003
Lockett;8;0.0
bark;16;0.0
careful;24;0.0001
hot;304;0.0009
you;1464;0.0045
clip;48;0.0001
hair;344;0.0011
cupboard;48;0.0001
not;1056;0.0033
here;3296;0.0102
he;592;0.0018
com;8;0.0
course;8;0.0
mine;696;0.0021
Easter;8;0.0
better;120;0.0004
pip;16;0.0
thank_you;168;0.0005
macaroni;8;0.0
thumb;16;0.0
tricycle;8;0.0
new;8;0.0
Grandpa;160;0.0005
peepo;16;0.0
jump;368;0.0011
fall;400;0.0012
off;648;0.002
floor;120;0.0004
outside;48;0.0001
inside;88;0.0003
starling;16;0.0
to;192;0.0006
two;2272;0.007
robin;16;0.0
jelly;40;0.0001
boil;16;0.0
around;72;0.0002
cream;56;0.0002
poof;8;0.0
goosie;16;0.0
gander;8;0.0
crumb;8;0.0
those;104;0.0003
round;440;0.0014
at;56;0.0002
rain;40;0.0001
slipper;64;0.0002
Chandley;8;0.0
foal;8;0.0
drink;616;0.0019
crust;16;0.0
cheese;296;0.0009
carrot;64;0.0002
Jack;8;0.0
last;16;0.0
play;176;0.0005
slide;168;0.0005
this;4152;0.0128
afternoon;8;0.0
slip;16;0.0
ice;240;0.0007
make;200;0.0006
bite;520;0.0016
change;8;0.0
them;128;0.0004
clean;144;0.0004
nappie;32;0.0001
cornflakes;8;0.0
nearly;16;0.0
never;56;0.0002
cut;104;0.0003
wake;64;0.0002
cook;48;0.0001
first;16;0.0
drop;96;0.0003
none;32;0.0001
piggy;56;0.0002
see;528;0.0016
read;232;0.0007
him;104;0.0003
they;304;0.0009
comb;16;0.0
stop;184;0.0006
eat;424;0.0013
mend;88;0.0003
little;296;0.0009
wash;376;0.0012
yet;8;0.0
put;456;0.0014
watch;200;0.0006
tick;248;0.0008
fancy;8;0.0
downstairs;48;0.0001
fit;1064;0.0033
push;448;0.0014
Anne;1056;0.0033
what;5048;0.0156
that;10640;0.0328
car;5912;0.0182
choo;1160;0.0036
tip;136;0.0004
sweep;16;0.0
mess;160;0.0005
yeah;6504;0.02
find;656;0.002
bath;72;0.0002
sheep;256;0.0008
baa;96;0.0003
spade;72;0.0002
strawberry;248;0.0008
tummy;112;0.0003
teeth;56;0.0002
brush;96;0.0003
else;56;0.0002
stick;1192;0.0037
peekaboo;256;0.0008
want;2200;0.0068
juice;528;0.0016
bowl;16;0.0
reach;32;0.0001
mhm;1448;0.0045
who;136;0.0004
Ellie;8;0.0
Alistair;48;0.0001
Davey;8;0.0
ball;560;0.0017
house;792;0.0024
lid;80;0.0002
dinner;64;0.0002
open;208;0.0006
pussy;8;0.0
cat;936;0.0029
shirt;80;0.0002
pant;96;0.0003
head;280;0.0009
for;264;0.0008
trouser;160;0.0005
quickly;8;0.0
clothe;280;0.0009
her;112;0.0003
these;96;0.0003
sit;720;0.0022
my;856;0.0026
Jill;80;0.0002
James;264;0.0008
name;64;0.0002
whose;16;0.0
bed;328;0.001
cover;168;0.0005
ta;72;0.0002
whoop;872;0.0027
miss;96;0.0003
um;952;0.0029
lose;104;0.0003
tissue;72;0.0002
bin;96;0.0003
tower;368;0.0011
step;160;0.0005
fishy;8;0.0
ah;128;0.0004
Grandad;16;0.0
Grandma;40;0.0001
whoops_a_daisy;64;0.0002
next;56;0.0002
just;64;0.0002
sky;296;0.0009
toy;816;0.0025
late;16;0.0
take;112;0.0003
hooray;24;0.0001
Humpty;48;0.0001
t;16;0.0
move;144;0.0004
Humpty_Dumpty;16;0.0
Dumpty;24;0.0001
help;424;0.0013
write;120;0.0004
okay;80;0.0002
comfy;16;0.0
swing;96;0.0003
football;32;0.0001
she;216;0.0007
clever;40;0.0001
funny;48;0.0001
wee;320;0.001
toilet;72;0.0002
have;352;0.0011
happy;96;0.0003
sleepy;112;0.0003
cot;16;0.0
hiya;16;0.0
paddle;8;0.0
pool;8;0.0
face;168;0.0005
Pooh_Bear;64;0.0002
poly;8;0.0
tiger;544;0.0017
whoopsie;8;0.0
fishie;24;0.0001
whale;224;0.0007
yummy;216;0.0007
giraffe;376;0.0012
uhoh;56;0.0002
penguin;288;0.0009
drive;296;0.0009
hippo;128;0.0004
food;160;0.0005
soup;16;0.0
chip;352;0.0011
tuck;40;0.0001
real;16;0.0
tomato;64;0.0002
yum;192;0.0006
sausage;80;0.0002
melon;16;0.0
try;56;0.0002
alright;40;0.0001
elephant;608;0.0019
hey;224;0.0007
pickle;16;0.0
lot;72;0.0002
bean;64;0.0002
pick;8;0.0
tellie;56;0.0002
Thomas;1824;0.0056
home;16;0.0
tidy;80;0.0002
sorry;96;0.0003
morning;64;0.0002
pardon;8;0.0
three;1200;0.0037
beepbeep;24;0.0001
hurt;40;0.0001
let;32;0.0001
land;8;0.0
helicopter;48;0.0001
Mum;416;0.0013
whee;608;0.0019
pop;32;0.0001
think;48;0.0001
so;24;0.0001
his;32;0.0001
monkey;568;0.0018
lie;160;0.0005
rabbit;352;0.0011
box;344;0.0011
tire;24;0.0001
chase;360;0.0011
gently;48;0.0001
quiet;72;0.0002
tasty;8;0.0
err;88;0.0003
crisp;32;0.0001
fork;24;0.0001
horrid;8;0.0
show;40;0.0001
garden;32;0.0001
wrong;80;0.0002
fence;128;0.0004
wall;32;0.0001
field;176;0.0005
bench;24;0.0001
clipclop;8;0.0
happen;440;0.0014
tunnel;64;0.0002
brilliant;8;0.0
brumm;1400;0.0043
panda;344;0.0011
squeaky;16;0.0
squeaksqueak;8;0.0
Caroline;120;0.0004
pretend;64;0.0002
pear;128;0.0004
meat;8;0.0
pinch;32;0.0001
hide;128;0.0004
five;112;0.0003
tickle;72;0.0002
fat;8;0.0
bang;808;0.0025
muddle;8;0.0
parrot;80;0.0002
snake;200;0.0006
tail;248;0.0008
well;80;0.0002
horsie;248;0.0008
Carl;952;0.0029
Ryan;8;0.0
nursery;8;0.0
asleep;120;0.0004
dance;48;0.0001
frog;88;0.0003
settee;48;0.0001
set;16;0.0
pajama;16;0.0
thing;48;0.0001
breakfast;40;0.0001
bridge;904;0.0028
crash;864;0.0027
mieow;88;0.0003
wing;72;0.0002
atechoo;16;0.0
pull;120;0.0004
quick;40;0.0001
hmm;408;0.0013
smarties;8;0.0
pan;8;0.0
spill;32;0.0001
yep;24;0.0001
catch;312;0.001
throw;168;0.0005
Paddington;16;0.0
cart;8;0.0
will;72;0.0002
tell;24;0.0001
stand;136;0.0004
ow;392;0.0012
something;48;0.0001
arm;104;0.0003
coke;8;0.0
shoulder;16;0.0
quackquack;8;0.0
why;16;0.0
Duplo;24;0.0001
shark;8;0.0
space;64;0.0002
high;56;0.0002
wow;72;0.0002
cob;8;0.0
celery;8;0.0
pineapple;32;0.0001
zoo;32;0.0001
shall;8;0.0
brum;1032;0.0032
steady;24;0.0001
say;64;0.0002
seaside;8;0.0
town;16;0.0
goodness;32;0.0001
sneeze;8;0.0
Granddad;496;0.0015
further;8;0.0
Kirsty;8;0.0
Emily;32;0.0001
Gran;16;0.0
sock;176;0.0005
page;232;0.0007
Momma;8;0.0
snail;48;0.0001
cold;56;0.0002
snow;48;0.0001
splash;48;0.0001
know;40;0.0001
sand;24;0.0001
dog;488;0.0015
sandwich;16;0.0
shush;8;0.0
blow;16;0.0
weed;16;0.0
poo;104;0.0003
bubble;56;0.0002
present;24;0.0001
road;16;0.0
silly;24;0.0001
Mum_Mum;16;0.0
closer;8;0.0
Rachel;40;0.0001
close;16;0.0
press;128;0.0004
lovely;16;0.0
Da_bear;24;0.0001
music;16;0.0
Ring_roses;32;0.0001
walk;176;0.0005
bit;152;0.0005
long;40;0.0001
cheeky;32;0.0001
mannie;40;0.0001
seven;104;0.0003
nine;160;0.0005
ahem;8;0.0
brick;576;0.0018
hold;72;0.0002
from;16;0.0
an;16;0.0
bibbie;16;0.0
money;128;0.0004
hole;48;0.0001
race;8;0.0
bird;88;0.0003
penny;288;0.0009
tractor;440;0.0014
park;112;0.0003
driver;152;0.0005
ss;24;0.0001
green;448;0.0014
dong;16;0.0
wet;56;0.0002
ham;8;0.0
Minny;16;0.0
din;176;0.0005
dodo;32;0.0001
lip;16;0.0
poster;16;0.0
wheel;392;0.0012
er;48;0.0001
stone;32;0.0001
coat;64;0.0002
keep;8;0.0
bow;8;0.0
doll;168;0.0005
men;16;0.0
hoop;24;0.0001
pie;80;0.0002
cheek;16;0.0
share;8;0.0
Mary;16;0.0
noise;128;0.0004
stack;24;0.0001
line;8;0.0
six;152;0.0005
pound;8;0.0
draw;992;0.0031
carpet;16;0.0
peach;16;0.0
van;136;0.0004
rat;32;0.0001
nut;64;0.0002
bee;64;0.0002
neigh;56;0.0002
dead;16;0.0
kick;112;0.0003
dust;32;0.0001
sack;16;0.0
pay;16;0.0
bump;160;0.0005
greenie;8;0.0
Toby;296;0.0009
knick;32;0.0001
wave;56;0.0002
choochoo;16;0.0
whoo;40;0.0001
smoke;80;0.0002
coal;24;0.0001
ticket;16;0.0
need;56;0.0002
Worzel;16;0.0
knock;40;0.0001
monster;24;0.0001
polish;8;0.0
rock;40;0.0001
Ted;64;0.0002
Percy;928;0.0029
keeper;8;0.0
string;8;0.0
hen;16;0.0
plate;8;0.0
porridge;8;0.0
hammer;24;0.0001
armband;16;0.0
under;360;0.0011
jungle;8;0.0
song;24;0.0001
peek;8;0.0
Pingu;256;0.0008
Ian;40;0.0001
cross;88;0.0003
paint;624;0.0019
party;24;0.0001
birthday;24;0.0001
sad;40;0.0001
Bert;128;0.0004
stair;88;0.0003
phone;192;0.0006
aeroplane;56;0.0002
nana;872;0.0027
moon;88;0.0003
star;272;0.0008
grr;88;0.0003
Symber;64;0.0002
peep;232;0.0007
picture;112;0.0003
Thomas_Engine;8;0.0
bounce;24;0.0001
bouncy;32;0.0001
gribbet;48;0.0001
Spot;168;0.0005
spout;40;0.0001
fee;8;0.0
nee;584;0.0018
dig;16;0.0
fast;80;0.0002
burny;8;0.0
noisy;16;0.0
shape;24;0.0001
Zita;448;0.0014
screwdriver;8;0.0
fix;88;0.0003
tv;8;0.0
tortoise;80;0.0002
flower;56;0.0002
ugh;8;0.0
ooo;16;0.0
clock;88;0.0003
Wayne;24;0.0001
Gordon;536;0.0017
Henry;168;0.0005
straw;8;0.0
fox;8;0.0
ambulance;24;0.0001
with;128;0.0004
tap;8;0.0
build;168;0.0005
Dad;72;0.0002
side;40;0.0001
eh;56;0.0002
grrr;40;0.0001
croc;56;0.0002
rid;32;0.0001
fell;8;0.0
tight;24;0.0001
circus;8;0.0
castle;40;0.0001
poor;56;0.0002
pa;8;0.0
bad;16;0.0
handle;16;0.0
everybody;8;0.0
poorly;16;0.0
Amy;72;0.0002
rainbow;8;0.0
four;288;0.0009
eight;104;0.0003
ten;88;0.0003
lemon;64;0.0002
cheer;16;0.0
only;8;0.0
beep;240;0.0007
Charles;8;0.0
bat;16;0.0
jumper;40;0.0001
Thom;24;0.0001
ribbet;56;0.0002
froggie;24;0.0001
shin;8;0.0
ouch;152;0.0005
end;32;0.0001
already;8;0.0
Tiggie;40;0.0001
Pooh;168;0.0005
Piglet;16;0.0
Eeyore;16;0.0
Kanga;16;0.0
Roo;16;0.0
Anna;224;0.0007
oo;144;0.0004
squeak;40;0.0001
plane;264;0.0008
tennis;16;0.0
air;56;0.0002
nanas;64;0.0002
kite;48;0.0001
Berthorse;24;0.0001
huh;712;0.0022
hungry;32;0.0001
very;16;0.0
thirsty;8;0.0
thank;88;0.0003
smile;8;0.0
rocket;16;0.0
Fat_Controller;56;0.0002
Clara;32;0.0001
Th;8;0.0
sea;16;0.0
poop;8;0.0
Pat;192;0.0006
Jess;40;0.0001
Goggins;16;0.0
Edward;288;0.0009
woof;24;0.0001
its;8;0.0
achoo;48;0.0001
digger;368;0.0011
sweet;72;0.0002
king;16;0.0
white;272;0.0008
c;24;0.0001
Berton;8;0.0
into;8;0.0
Bertthe;8;0.0
Jane;8;0.0
cluck;32;0.0001
butterfly;24;0.0001
bumble;16;0.0
Mickey_Mouse;8;0.0
Granny;16;0.0
sticky;16;0.0
color;208;0.0006
engine;24;0.0001
Thomas_the_Tank;40;0.0001
track;96;0.0003
Thomas_Tank;80;0.0002
cockpit;8;0.0
as_well;88;0.0003
number;72;0.0002
upset;8;0.0
Tank;280;0.0009
fireman;8;0.0
The_Tank;16;0.0
Thomas_and_the_Tank;8;0.0
booby;8;0.0
out_of;8;0.0
ladder;144;0.0004
mane;8;0.0
Daddys;16;0.0
stay;8;0.0
Postman_Pat;24;0.0001
knickers;40;0.0001
ding;32;0.0001
knee;200;0.0006
sunshine;8;0.0
through;8;0.0
squirrel;24;0.0001
D;56;0.0002
snowman;184;0.0006
whistle;8;0.0
neeow;8;0.0
hard;24;0.0001
yours;32;0.0001
then;48;0.0001
purple;64;0.0002
plant;16;0.0
hill;40;0.0001
black;128;0.0004
Diesel;48;0.0001
day;8;0.0
puff;8;0.0
Thomas_the_Tank_Engine;48;0.0001
Thomas_Tank_Engine;8;0.0
same;16;0.0
matter;80;0.0002
backwards;8;0.0
call;16;0.0
station;40;0.0001
owl;24;0.0001
twit;16;0.0
lollipop;40;0.0001
slow;8;0.0
empty;32;0.0001
beak;32;0.0001
somewhere;16;0.0
garage;32;0.0001
Paddington_Bear;8;0.0
aerial;8;0.0
much;16;0.0
person;8;0.0
Dominic;88;0.0003
bake;8;0.0
together;48;0.0001
doughnut;16;0.0
crane;24;0.0001
dish;24;0.0001
burger;88;0.0003
cheeseburger;16;0.0
uhhuh;8;0.0
large;24;0.0001
small;48;0.0001
chalk;32;0.0001
puzzle;16;0.0
o;8;0.0
v;16;0.0
y;24;0.0001
r;32;0.0001
x;8;0.0
brown;16;0.0
dolphin;56;0.0002
block;16;0.0
Ribena;40;0.0001
goat;48;0.0001
beef;8;0.0
bun;32;0.0001
skittle;8;0.0
papa;8;0.0
h;8;0.0
k;8;0.0
l;8;0.0
f;16;0.0
s;24;0.0001
stage;8;0.0
darling;8;0.0
motorbike;16;0.0
radio;16;0.0
Frank;16;0.0
roll;8;0.0
lamb;16;0.0
apart;16;0.0
tanker;24;0.0001
or;16;0.0
instead;32;0.0001
glue;24;0.0001
fetch;8;0.0
radish;24;0.0001
Andy;64;0.0002
milkman;8;0.0
nothing;24;0.0001
how;16;0.0
rhino;24;0.0001
tiny;40;0.0001
rolly_pollies;8;0.0
Gail;24;0.0001
Little_Miss_Magic;8;0.0
trick;8;0.0
Abra_ca_dabra_cottage;8;0.0
sleeve;8;0.0
Olwin;24;0.0001
candle;16;0.0
thirty;8;0.0
thirteen;8;0.0
Kathy;16;0.0
Lewis;8;0.0
remember;8;0.0
poke;8;0.0
Pass_the_parcel;8;0.0
Forest;24;0.0001
popper;8;0.0
dungaree;64;0.0002
blouse;8;0.0
blob;16;0.0
Chris;8;0.0
rest;16;0.0
Fudge;24;0.0001
horsies;8;0.0
billy;16;0.0
beard;16;0.0
cock_a_doodle_doo;8;0.0
farmer;56;0.0002
people;72;0.0002
courgette;8;0.0
burglar;16;0.0
Josie;32;0.0001
mi;8;0.0
Bethany;64;0.0002
Kirsten;48;0.0001
Grandpa_Pete;56;0.0002
Sid;16;0.0
mama;648;0.002
Joan;8;0.0
Gregory;16;0.0
cricket;32;0.0001
ant;8;0.0
soon;16;0.0
tata;32;0.0001
Martin;16;0.0
Joel;80;0.0002
goal;40;0.0001
controller;168;0.0005
oh_dear;16;0.0
Tony;8;0.0
Sophie;16;0.0
pizza;16;0.0
seal;72;0.0002
soggy;8;0.0
battery;16;0.0
caterpillar;16;0.0
Meg;8;0.0
la;56;0.0002
turtle;24;0.0001
dryer;8;0.0
short;8;0.0
Bethany_Bethany;8;0.0
skip;8;0.0
gravy;16;0.0
potato;24;0.0001
bruise;8;0.0
ha;8;0.0
towel;8;0.0
cooker;16;0.0
touch;8;0.0
than;8;0.0
sticker;48;0.0001
peeky;16;0.0
Row_row_boat;16;0.0
row;504;0.0016
stream;32;0.0001
semolina;8;0.0
soldier;8;0.0
Michael;16;0.0
jade;24;0.0001
Bryany;8;0.0
feather;24;0.0001
shifter;8;0.0
Tigger;8;0.0
sledge;8;0.0
Grandpa_Sid;8;0.0
boogie;8;0.0
Axel;16;0.0
Emma;8;0.0
nenaw;32;0.0001
neenaw;8;0.0
bi;24;0.0001
dear_dear;8;0.0
squash;16;0.0
bo;8;0.0
zip;32;0.0001
Andy_Cole;8;0.0
Peter;8;0.0
Schmeichel;8;0.0
Peter_Schmeichel;8;0.0
Schumacher;8;0.0
Damon_Hill;8;0.0
Gazza;8;0.0
Alan;8;0.0
Cantona;8;0.0
Ella;96;0.0003
boob;24;0.0001
grubby;8;0.0
m;16;0.0
pow;8;0.0
lighthouse;8;0.0
Glennis;8;0.0
suitcase;8;0.0
Errol;8;0.0
Sharon;8;0.0
Grandma_Peggy;8;0.0
pillow;64;0.0002
okey_dokey;8;0.0
Row_row_row_the_boat;8;0.0
neck;16;0.0
chest;8;0.0
Row_row_the_boat;8;0.0
crayon;16;0.0
tatty;8;0.0
fridge;8;0.0
twinkle;8;0.0
starfish;344;0.0011
crab;8;0.0
shut;24;0.0001
pot;8;0.0
fiddly;24;0.0001
willie;96;0.0003
ing;8;0.0
c_d;32;0.0001
c_ds;8;0.0
Liz;512;0.0016
roller;72;0.0002
dumper;48;0.0001
sign;8;0.0
farm;24;0.0001
Weetabix;24;0.0001
dipper;40;0.0001
bolt;24;0.0001
soil;8;0.0
trunk;8;0.0
swish;56;0.0002
fishies;8;0.0
forklift;8;0.0
apricot;24;0.0001
junk;32;0.0001
