word;quantity;frequency
yeah;6958;0.0334
what;1827;0.0088
be;12383;0.0595
that;5208;0.025
toy;168;0.0008
in;3206;0.0154
there;3724;0.0179
bag;56;0.0003
look;1554;0.0075
crisp;49;0.0002
Noddy;21;0.0001
I;7336;0.0353
take;420;0.002
my;1918;0.0092
jumper;14;0.0001
off;336;0.0016
because;329;0.0016
it;6174;0.0297
all;665;0.0032
wet;28;0.0001
now;1176;0.0057
have;2660;0.0128
get;3108;0.0149
this;3108;0.0149
one;2590;0.0124
on;1568;0.0075
cause;119;0.0006
do;4613;0.0222
why;560;0.0027
and;4228;0.0203
toast;42;0.0002
somebody;112;0.0005
at;504;0.0024
the;6461;0.0311
door;280;0.0013
go;3773;0.0181
to;3423;0.0165
help;133;0.0006
them;1141;0.0055
for;924;0.0044
no;4354;0.0209
daddy;238;0.0011
too;413;0.002
hot;133;0.0006
uhhuh;224;0.0011
oh;1393;0.0067
a;4711;0.0226
fudge;14;0.0001
she;581;0.0028
where;1484;0.0071
mummie;168;0.0008
buy;42;0.0002
me;1792;0.0086
clown;42;0.0002
Santa;70;0.0003
baby;350;0.0017
another;322;0.0015
his;385;0.0019
hat;84;0.0004
sleep;196;0.0009
pinch;14;0.0001
with;665;0.0032
wee;539;0.0026
bird;42;0.0002
see;560;0.0027
basket;35;0.0002
color;154;0.0007
they;945;0.0045
not;4032;0.0194
digger;7;0.0
he;2310;0.0111
bed;392;0.0019
about;84;0.0004
teddy;112;0.0005
bear;210;0.001
sit;245;0.0012
behind;49;0.0002
blind;14;0.0001
out;861;0.0041
live;105;0.0005
room;63;0.0003
can;1834;0.0088
birdie;14;0.0001
want;1855;0.0089
you;4102;0.0197
pacifier;49;0.0002
tire;42;0.0002
bath;70;0.0003
put;1239;0.006
her;413;0.002
jammies;7;0.0
could;91;0.0004
come;1008;0.0048
magical;7;0.0
sleigh;7;0.0
yo;7;0.0
ho;14;0.0001
boy;147;0.0007
gingerbread;7;0.0
snowman;14;0.0001
give;266;0.0013
some;966;0.0046
of;686;0.0033
book;140;0.0007
chimney;91;0.0004
block;14;0.0001
up;1190;0.0057
table;77;0.0004
bobble;7;0.0
Christmas;14;0.0001
when;168;0.0008
house;504;0.0024
jump;203;0.001
fall;147;0.0007
chocolate;98;0.0005
ale;7;0.0
beer;35;0.0002
couple;21;0.0001
phone;49;0.0002
find;308;0.0015
our;63;0.0003
sofa;7;0.0
cow;259;0.0012
seal;21;0.0001
sea;21;0.0001
two;497;0.0024
sock;28;0.0001
eat;707;0.0034
sweetie;28;0.0001
him;714;0.0034
sore;28;0.0001
smoke;7;0.0
kick;21;0.0001
read;49;0.0002
again;203;0.001
stay;91;0.0004
know;1050;0.005
bike;56;0.0003
scissor;49;0.0002
tractor;42;0.0002
three;266;0.0013
butterfly;14;0.0001
who;98;0.0005
man;91;0.0004
blow;91;0.0004
balloon;21;0.0001
yes;987;0.0047
Abbeycentre;14;0.0001
clock;28;0.0001
past;14;0.0001
eight;28;0.0001
let;504;0.0024
here;1484;0.0071
blue;175;0.0008
trouser;7;0.0
big;602;0.0029
school;91;0.0004
high;63;0.0003
climb;35;0.0002
slide;175;0.0008
down;525;0.0025
whee;14;0.0001
ah;154;0.0007
bless;7;0.0
O;161;0.0008
uh;84;0.0004
huh;21;0.0001
then;413;0.002
well;182;0.0009
shop;49;0.0002
anyhow;7;0.0
so;252;0.0012
save;14;0.0001
any;133;0.0006
