word;quantity;frequency
yeah;8946;0.0334
what;2349;0.0088
be;15921;0.0595
that;6696;0.025
toy;216;0.0008
in;4122;0.0154
there;4788;0.0179
bag;72;0.0003
look;1998;0.0075
crisp;63;0.0002
Noddy;27;0.0001
I;9432;0.0353
take;540;0.002
my;2466;0.0092
jumper;18;0.0001
off;432;0.0016
because;423;0.0016
it;7938;0.0297
all;855;0.0032
wet;36;0.0001
now;1512;0.0057
have;3420;0.0128
get;3996;0.0149
this;3996;0.0149
one;3330;0.0124
on;2016;0.0075
cause;153;0.0006
do;5931;0.0222
why;720;0.0027
and;5436;0.0203
toast;54;0.0002
somebody;144;0.0005
at;648;0.0024
the;8307;0.0311
door;360;0.0013
go;4851;0.0181
to;4401;0.0165
help;171;0.0006
them;1467;0.0055
for;1188;0.0044
no;5598;0.0209
daddy;306;0.0011
too;531;0.002
hot;171;0.0006
uhhuh;288;0.0011
oh;1791;0.0067
a;6057;0.0226
fudge;18;0.0001
she;747;0.0028
where;1908;0.0071
mummie;216;0.0008
buy;54;0.0002
me;2304;0.0086
clown;54;0.0002
Santa;90;0.0003
baby;450;0.0017
another;414;0.0015
his;495;0.0019
hat;108;0.0004
sleep;252;0.0009
pinch;18;0.0001
with;855;0.0032
wee;693;0.0026
bird;54;0.0002
see;720;0.0027
basket;45;0.0002
color;198;0.0007
they;1215;0.0045
not;5184;0.0194
digger;9;0.0
he;2970;0.0111
bed;504;0.0019
about;108;0.0004
teddy;144;0.0005
bear;270;0.001
sit;315;0.0012
behind;63;0.0002
blind;18;0.0001
out;1107;0.0041
live;135;0.0005
room;81;0.0003
can;2358;0.0088
birdie;18;0.0001
want;2385;0.0089
you;5274;0.0197
pacifier;63;0.0002
tire;54;0.0002
bath;90;0.0003
put;1593;0.006
her;531;0.002
jammies;9;0.0
could;117;0.0004
come;1296;0.0048
magical;9;0.0
sleigh;9;0.0
yo;9;0.0
ho;18;0.0001
boy;189;0.0007
gingerbread;9;0.0
snowman;18;0.0001
give;342;0.0013
some;1242;0.0046
of;882;0.0033
book;180;0.0007
chimney;117;0.0004
block;18;0.0001
up;1530;0.0057
table;99;0.0004
bobble;9;0.0
Christmas;18;0.0001
when;216;0.0008
house;648;0.0024
jump;261;0.001
fall;189;0.0007
chocolate;126;0.0005
ale;9;0.0
beer;45;0.0002
couple;27;0.0001
phone;63;0.0002
find;396;0.0015
our;81;0.0003
sofa;9;0.0
cow;333;0.0012
seal;27;0.0001
sea;27;0.0001
two;639;0.0024
sock;36;0.0001
eat;909;0.0034
sweetie;36;0.0001
him;918;0.0034
sore;36;0.0001
smoke;9;0.0
kick;27;0.0001
read;63;0.0002
again;261;0.001
stay;117;0.0004
know;1350;0.005
bike;72;0.0003
scissor;63;0.0002
tractor;54;0.0002
three;342;0.0013
butterfly;18;0.0001
who;126;0.0005
man;117;0.0004
blow;117;0.0004
balloon;27;0.0001
yes;1269;0.0047
Abbeycentre;18;0.0001
clock;36;0.0001
past;18;0.0001
eight;36;0.0001
let;648;0.0024
here;1908;0.0071
blue;225;0.0008
trouser;9;0.0
big;774;0.0029
school;117;0.0004
high;81;0.0003
climb;45;0.0002
slide;225;0.0008
down;675;0.0025
whee;18;0.0001
ah;198;0.0007
bless;9;0.0
O;207;0.0008
uh;108;0.0004
huh;27;0.0001
then;531;0.002
well;234;0.0009
shop;63;0.0002
anyhow;9;0.0
so;324;0.0012
save;18;0.0001
any;171;0.0006
hassle;9;0.0
try;153;0.0006
em;144;0.0005
play;1035;0.0039
yet;180;0.0007
black;243;0.0009
shoe;153;0.0006
will;1134;0.0042
just;720;0.0027
like;1386;0.0052
Rachel;36;0.0001
skip;18;0.0001
we;1602;0.006
pencil;63;0.0002
these;648;0.0024
have_to;450;0.0017
paper;36;0.0001
Cathy;54;0.0002
Linda;45;0.0002
day;54;0.0002
hiccup;54;0.0002
