word;quantity;frequency
I;5055;0.044
be;7620;0.0663
fine;12;0.0001
h;36;0.0003
yeah;2295;0.02
he;1452;0.0126
a;2478;0.0216
boy;102;0.0009
no;1848;0.0161
my;1032;0.009
Nana;3;0.0
Mummy;234;0.002
get;1437;0.0125
it;3210;0.0279
from;102;0.0009
Christopher;6;0.0001
too;177;0.0015
much;24;0.0002
for;492;0.0043
Christmas;36;0.0003
uh;177;0.0015
do;3348;0.0291
then;303;0.0026
pull;42;0.0004
up;672;0.0058
like;522;0.0045
turn;84;0.0007
uhhuh;135;0.0012
yes;810;0.0071
navy;3;0.0
one;1530;0.0133
ha;36;0.0003
cowboy;3;0.0
okay;312;0.0027
that;2868;0.025
mine;108;0.0009
ah;132;0.0011
Kyle;9;0.0001
think;192;0.0017
his;363;0.0032
wee;657;0.0057
head;87;0.0008
would;102;0.0009
fit;66;0.0006
in;1524;0.0133
there;1809;0.0157
have;1350;0.0118
big;477;0.0042
fat;24;0.0002
look;603;0.0052
Mum;105;0.0009
but;291;0.0025
brown;21;0.0002
and;2307;0.0201
blue;69;0.0006
when;252;0.0022
asleep;9;0.0001
go;2199;0.0191
to;1374;0.012
me;831;0.0072
not;2322;0.0202
know;861;0.0075
down;294;0.0026
on;915;0.008
back;228;0.002
as_well;60;0.0005
they;831;0.0072
O;456;0.004
well;225;0.002
could;129;0.0011
change;15;0.0001
nappie;6;0.0001
just;225;0.002
doll;33;0.0003
house;177;0.0015
Rachel;18;0.0002
you;2943;0.0256
have_to;216;0.0019
dress;39;0.0003
this;1428;0.0124
come;627;0.0055
see;579;0.005
how;195;0.0017
the;3315;0.0289
stuff;18;0.0002
put;747;0.0065
Daddy;165;0.0014
upstairs;27;0.0002
dog;96;0.0008
them;900;0.0078
kitchen;12;0.0001
close;42;0.0004
door;45;0.0004
rain;6;0.0001
now;384;0.0033
an;204;0.0018
Aunty;6;0.0001
cat;54;0.0005
with;438;0.0038
carpet;15;0.0001
settee;3;0.0
here;603;0.0052
baby;144;0.0013
seat;9;0.0001
where;663;0.0058
oh;519;0.0045
pink;15;0.0001
towel;9;0.0001
bath;21;0.0002
bed;153;0.0013
right;138;0.0012
whole;27;0.0002
lot;54;0.0005
of;501;0.0044
all;717;0.0062
sister;15;0.0001
toilet;33;0.0003
edge;3;0.0
sh;6;0.0001
car;150;0.0013
so_that;3;0.0
will;798;0.0069
cot;3;0.0
table;30;0.0003
can;543;0.0047
round;51;0.0004
make;288;0.0025
into;84;0.0007
super;3;0.0
same;33;0.0003
as;27;0.0002
we;525;0.0046
she;507;0.0044
paint;33;0.0003
at;309;0.0027
school;87;0.0008
today;33;0.0003
play;453;0.0039
day;99;0.0009
out;255;0.0022
top;45;0.0004
stair;9;0.0001
rotten;3;0.0
her;240;0.0021
dinner;42;0.0004
stupid;9;0.0001
chair;45;0.0004
build;45;0.0004
need;141;0.0012
these;201;0.0017
puppy;3;0.0
anywhere;9;0.0001
allow;39;0.0003
saw;126;0.0011
fell;189;0.0016
off;234;0.002
ow;30;0.0003
fall;102;0.0009
sleep;84;0.0007
um;237;0.0021
morning;21;0.0002
cause;294;0.0026
nighttime;3;0.0
girl;114;0.001
nothing;63;0.0005
th;39;0.0003
tidy;12;0.0001
wash;24;0.0002
dish;12;0.0001
before;21;0.0002
sit;72;0.0006
r;3;0.0
rest;45;0.0004
still;39;0.0003
dirty;9;0.0001
tire;21;0.0002
hungry;12;0.0001
who;156;0.0014
c;18;0.0002
cover;12;0.0001
book;66;0.0006
paper;24;0.0002
garden;21;0.0002
free;15;0.0001
sun;9;0.0001
some;231;0.002
flower;39;0.0003
gr;3;0.0
grow;45;0.0004
yet;27;0.0002
two;330;0.0029
b;36;0.0003
lovely;42;0.0004
those;63;0.0005
toy;129;0.0011
place;15;0.0001
never;102;0.0009
three;165;0.0014
four;57;0.0005
seven;45;0.0004
picture;42;0.0004
father;6;0.0001
gir;6;0.0001
tha;12;0.0001
window;51;0.0004
what;1668;0.0145
through;21;0.0002
side;33;0.0003
sleepy;15;0.0001
way;93;0.0008
finish;75;0.0007
Linda;18;0.0002
Dad;45;0.0004
keep;81;0.0007
dentist;3;0.0
tooth;6;0.0001
fill;9;0.0001
downstairs;6;0.0001
hide;30;0.0003
eee;6;0.0001
cannot;333;0.0029
which;51;0.0004
bite;192;0.0017
help;126;0.0011
drawer;15;0.0001
away;120;0.001
really;78;0.0007
mummie;207;0.0018
drive;21;0.0002
another;198;0.0017
hat;24;0.0002
say;216;0.0019
or;54;0.0005
somewhere;21;0.0002
else;105;0.0009
call;144;0.0013
very;33;0.0003
special;18;0.0002
read;69;0.0006
leave;63;0.0005
bear;42;0.0004
alone;6;0.0001
park;60;0.0005
par;3;0.0
lay;3;0.0
owl;6;0.0001
t;39;0.0003
take;153;0.0013
him;285;0.0025
sk;3;0.0
so;213;0.0019
let;291;0.0025
pond;9;0.0001
float;3;0.0
night;66;0.0006
home;57;0.0005
nice;33;0.0003
runned;18;0.0002
over;111;0.001
bounce;3;0.0
red;132;0.0011
tie;15;0.0001
only;45;0.0004
little;48;0.0004
Pocahontas;21;0.0002
video;36;0.0003
Pocahontus;9;0.0001
sock;18;0.0002
hello;66;0.0006
Granpa;6;0.0001
Pot;12;0.0001
Grandpa;6;0.0001
jigsaw;102;0.0009
puzzle;24;0.0002
want;720;0.0063
Noddy;48;0.0004
bad;42;0.0004
man;93;0.0008
kill;39;0.0003
Smith;6;0.0001
run;81;0.0007
about;78;0.0007
bare;6;0.0001
foot;24;0.0002
good;135;0.0012
friend;129;0.0011
