word;quantity;frequency
uh;2;0.0012
do;78;0.045
not;46;0.0266
know;26;0.015
who;6;0.0035
and;42;0.0242
then;14;0.0081
all;10;0.0058
thing;4;0.0023
come;8;0.0046
out;10;0.0058
the;28;0.0162
fly;2;0.0012
well;18;0.0104
I;54;0.0312
be;126;0.0727
only;8;0.0046
try;2;0.0012
to;6;0.0035
open;2;0.0012
this;6;0.0035
but;4;0.0023
it;42;0.0242
wee;8;0.0046
other;2;0.0012
toy;4;0.0023
fell;2;0.0012
out_of;4;0.0023
um;20;0.0115
yeah;22;0.0127
feel;2;0.0012
like;12;0.0069
no;28;0.0162
what;52;0.03
appetite;2;0.0012
nope;2;0.0012
nah;2;0.0012
when;2;0.0012
they;30;0.0173
back;4;0.0023
we;10;0.0058
mister;8;0.0046
Aunt;2;0.0012
June;2;0.0012
prince;2;0.0012
mean;6;0.0035
a;46;0.0266
puppy;2;0.0012
can;6;0.0035
you;76;0.0439
bring;6;0.0035
them;22;0.0127
in;32;0.0185
cage;22;0.0127
big;30;0.0173
dog;6;0.0035
my;10;0.0058
where;12;0.0069
get;22;0.0127
from;2;0.0012
have;16;0.0092
for;12;0.0069
Paddy;12;0.0069
why;8;0.0046
would;10;0.0058
just;4;0.0023
fat;8;0.0046
br;2;0.0012
him;6;0.0035
hold;2;0.0012
he;14;0.0081
will;6;0.0035
how;10;0.0058
d;6;0.0035
case;6;0.0035
your;2;0.0012
up;6;0.0035
stair;2;0.0012
loft;2;0.0012
one;12;0.0069
put;8;0.0046
house;2;0.0012
dinosaur;2;0.0012
O;28;0.0162
there;26;0.015
on;12;0.0069
rainy;4;0.0023
day;4;0.0023
cause;6;0.0035
pick;2;0.0012
of;10;0.0058
favorite;2;0.0012
Mummy;32;0.0185
go;44;0.0254
gelatin;8;0.0046
that;42;0.0242
strawberry;6;0.0035
magic;4;0.0023
bite;2;0.0012
w;2;0.0012
next;6;0.0035
break;2;0.0012
or;2;0.0012
me;10;0.0058
giant;2;0.0012
look;4;0.0023
at;2;0.0012
knee;2;0.0012
hi;2;0.0012
oo;6;0.0035
cannot;2;0.0012
eat;12;0.0069
any;4;0.0023
more;4;0.0023
sorry;4;0.0023
fair;2;0.0012
greedy;4;0.0023
give;2;0.0012
thank_you;2;0.0012
yes;10;0.0058
shark;4;0.0023
picture;2;0.0012
machine;2;0.0012
eh;2;0.0012
huh;4;0.0023
now;6;0.0035
velociraptor;2;0.0012
e;2;0.0012
have_to;6;0.0035
feed;2;0.0012
spoon;4;0.0023
milk;4;0.0023
ah;6;0.0035
wow;4;0.0023
pink;4;0.0023
yellow;2;0.0012
blue;2;0.0012
Cristopher;2;0.0012
bang;2;0.0012
wah;2;0.0012
Hammy;4;0.0023
hamster;2;0.0012
play;4;0.0023
outside;2;0.0012
Power;4;0.0023
Ranger;4;0.0023
with;2;0.0012
b;10;0.0058
sword;4;0.0023
red;2;0.0012
white;2;0.0012
tell;4;0.0023
sign;2;0.0012
g;2;0.0012
kill;2;0.0012
hurt;2;0.0012
pardon;2;0.0012
knight;6;0.0035
bad;4;0.0023
some;8;0.0046
right;2;0.0012
truth;2;0.0012
say;4;0.0023
down;2;0.0012
beach;2;0.0012
away;2;0.0012
sea;2;0.0012
think;2;0.0012
Mum;2;0.0012
baby;2;0.0012
thank;2;0.0012
buy;2;0.0012
oh;2;0.0012
both;2;0.0012
these;6;0.0035
want;2;0.0012
should;2;0.0012
hm;2;0.0012
juice;2;0.0012
very;2;0.0012
nice;2;0.0012
stick;2;0.0012
hard;2;0.0012
Daddy;2;0.0012
