word;quantity;frequency
book;14;0.011
toothbrush;21;0.016
brush;28;0.021
banana;14;0.011
flower;28;0.021
represent;7;0.005
car;28;0.021
noise;7;0.005
Daddy;21;0.016
spoon;21;0.016
cot;21;0.016
door;28;0.021
pig;7;0.005
nose;14;0.011
chair;56;0.042
mouth;14;0.011
paper;56;0.042
byebye;7;0.005
plane;7;0.005
cow;14;0.011
meow;7;0.005
boy;49;0.037
ball;42;0.032
bus;28;0.021
shoe;21;0.016
teddy;21;0.016
pram;14;0.011
mug;14;0.011
gate;7;0.005
cake;42;0.032
biscuit;7;0.005
light;14;0.011
baby;49;0.037
fish;7;0.005
hat;7;0.005
down;7;0.005
milk;7;0.005
pencil;7;0.005
rain;7;0.005
tea;21;0.016
woman;7;0.005
doggy;35;0.026
comb;21;0.016
pear;7;0.005
apple;42;0.032
piggy;14;0.011
lady;21;0.016
horse;7;0.005
tell;7;0.005
puppy;7;0.005
water;21;0.016
duck;21;0.016
mummie;14;0.011
stair;7;0.005
key;14;0.011
tongue;21;0.016
bed;7;0.005
jam;14;0.011
nail;7;0.005
sun;21;0.016
table;7;0.005
tree;7;0.005
bird;7;0.005
rabbit;7;0.005
cup;14;0.011
bath;7;0.005
bag;14;0.011
seesaw;21;0.016
egg;7;0.005
man;7;0.005
letter;7;0.005
road;7;0.005
all_gone;7;0.005
sock;7;0.005
eye;7;0.005
bib;7;0.005
birdie;14;0.011
girl;7;0.005
sheep;7;0.005
pen;7;0.005
sweetie;7;0.005
Sandy;7;0.005
jug;7;0.005
Ribena;7;0.005
scarf;7;0.005
