word;quantity;frequency
yuck;100;0.0
uhhuh;400;0.0
puttin;8;0.0
ear;224;0.0
uh;76;0.0
a;30764;0.026
cutter;40;0.0
injection;28;0.0
scissor;60;0.0
fell;332;0.0
Mum;2704;0.002
prescription;20;0.0
monster;352;0.0
bring;376;0.0
pension;8;0.0
stayin;4;0.0
cry;468;0.0
doll;224;0.0
lip;36;0.0
cryin;60;0.0
tire;300;0.0
food;572;0.0
hungry;228;0.0
Pauline;8;0.0
playin;4;0.0
hat;812;0.001
all_gone;200;0.0
Johnston;8;0.0
take;2368;0.002
cornflakes;56;0.0
stick;976;0.001
stinkin;20;0.0
poo;320;0.0
Mummy;7184;0.006
ironin;16;0.0
markin;4;0.0
mark;52;0.0
finish;636;0.001
dolly;1536;0.001
stink;8;0.0
anything;76;0.0
brush;112;0.0
wee;984;0.001
stay;428;0.0
have_to;1212;0.001
talc;4;0.0
gettin;12;0.0
walkin;4;0.0
tryin;16;0.0
walk;372;0.0
though;44;0.0
ssh;56;0.0
drinkin;12;0.0
milk;700;0.001
tea;1156;0.001
set;88;0.0
now;7768;0.007
jackal;4;0.0
Sleepy;36;0.0
Doc;24;0.0
hole;444;0.0
chick;96;0.0
wheel;560;0.0
trolley;24;0.0
Mister;36;0.0
Shaw;8;0.0
Noddy;208;0.0
station;392;0.0
morning;92;0.0
clock;68;0.0
happy;264;0.0
clap;16;0.0
singin;8;0.0
clappin;8;0.0
mummie;820;0.001
daddy;3024;0.003
shoe;560;0.0
smell;80;0.0
clown;56;0.0
bus;372;0.0
round;1356;0.001
garden;176;0.0
lose;412;0.0
teddy;720;0.001
bear;276;0.0
step;188;0.0
eensie;28;0.0
weensie;28;0.0
spider;352;0.0
climb;120;0.0
drain;8;0.0
runnin;28;0.0
roll;516;0.0
hey;496;0.0
pea;212;0.0
dinosaur;128;0.0
soup;264;0.0
live;216;0.0
thunder;8;0.0
school;160;0.0
child;152;0.0
Barney;48;0.0
himself;60;0.0
jumpin;12;0.0
smack;68;0.0
sittin;4;0.0
change;64;0.0
pig;516;0.0
wash;476;0.0
sleep;1100;0.001
cover;212;0.0
bottle;224;0.0
four;1116;0.001
once;20;0.0
fish;552;0.0
alive;4;0.0
six;476;0.0
seven;364;0.0
eight;336;0.0
nine;332;0.0
ten;296;0.0
sick;276;0.0
makin;4;0.0
Calpol;4;0.0
yum;424;0.0
wrong;308;0.0
sore;148;0.0
mouth;308;0.0
cream;304;0.0
lipstick;76;0.0
lovely;160;0.0
yeah;32460;0.027
dirty;268;0.0
waken;12;0.0
fee;84;0.0
smile;48;0.0
longer;24;0.0
cherry;32;0.0
street;20;0.0
rollin;24;0.0
Barbara;20;0.0
outside;344;0.0
herself;36;0.0
Granny;108;0.0
McAteer;4;0.0
without;12;0.0
nanny;100;0.0
startin;16;0.0
tall;104;0.0
doin;28;0.0
pillow;48;0.0
balloon;116;0.0
love;116;0.0
O;452;0.0
sandwich;172;0.0
Pingu;392;0.0
cheese;300;0.0
tomato;480;0.0
oops;24;0.0
daisy;124;0.0
eh;68;0.0
nah;4;0.0
Abbey;4;0.0
centre;4;0.0
hit;196;0.0
snow;176;0.0
okay;1264;0.001
knife;180;0.0
fork;184;0.0
taste;52;0.0
keep;332;0.0
