word;quantity;frequency
yeah;1988;0.033
toy;48;0.001
bag;16;0.0
crisp;14;0.0
Noddy;6;0.0
jumper;4;0.0
wet;8;0.0
cause;34;0.001
toast;12;0.0
somebody;32;0.001
daddy;68;0.001
hot;38;0.001
uhhuh;64;0.001
fudge;4;0.0
mummie;48;0.001
buy;12;0.0
clown;12;0.0
Santa;20;0.0
sleep;56;0.001
pinch;4;0.0
wee;154;0.003
bird;12;0.0
basket;10;0.0
digger;2;0.0
bed;112;0.002
about;24;0.0
teddy;32;0.001
bear;60;0.001
behind;14;0.0
blind;4;0.0
live;30;0.001
birdie;4;0.0
pacifier;14;0.0
tire;12;0.0
bath;20;0.0
jammies;2;0.0
magical;2;0.0
sleigh;2;0.0
yo;2;0.0
ho;4;0.0
boy;42;0.001
gingerbread;2;0.0
snowman;4;0.0
book;40;0.001
chimney;26;0.0
block;4;0.0
bobble;2;0.0
Christmas;4;0.0
jump;58;0.001
chocolate;28;0.0
ale;2;0.0
beer;10;0.0
couple;6;0.0
phone;14;0.0
sofa;2;0.0
seal;6;0.0
sea;6;0.0
sock;8;0.0
sweetie;8;0.0
sore;8;0.0
smoke;2;0.0
kick;6;0.0
read;14;0.0
bike;16;0.0
tractor;12;0.0
butterfly;4;0.0
man;26;0.0
blow;26;0.0
balloon;6;0.0
Abbeycentre;4;0.0
clock;8;0.0
past;4;0.0
eight;8;0.0
trouser;2;0.0
school;26;0.0
high;18;0.0
climb;10;0.0
slide;50;0.001
whee;4;0.0
ah;44;0.001
bless;2;0.0
O;46;0.001
uh;24;0.0
huh;6;0.0
well;52;0.001
shop;14;0.0
anyhow;2;0.0
save;4;0.0
hassle;2;0.0
em;32;0.001
Rachel;8;0.0
skip;4;0.0
pencil;14;0.0
have_to;100;0.002
paper;8;0.0
Cathy;12;0.0
Linda;10;0.0
day;12;0.0
hiccup;12;0.0
m;6;0.0
nice;28;0.0
Mickey;4;0.0
mou;2;0.0
mouse;4;0.0
n;14;0.0
brown;10;0.0
very;44;0.001
hard;20;0.0
pink;52;0.001
break;102;0.002
sharp;2;0.0
sharpen;2;0.0
toilet;12;0.0
ye;8;0.0
pant;4;0.0
Hunch;2;0.0
Hunchback;2;0.0
cannot;308;0.005
round;66;0.001
radio;2;0.0
moo;20;0.0
change;16;0.0
its;30;0.001
nappie;8;0.0
fee;14;0.0
box;14;0.0
anyway;6;0.0
circus;4;0.0
photo;2;0.0
touch;8;0.0
movin;6;0.0
Adam;6;0.0
nothing;42;0.001
doin;2;0.0
homework;4;0.0
only;96;0.002
coffee;14;0.0
sugar;6;0.0
if;36;0.001
Coke;2;0.0
freezer;8;0.0
beep;6;0.0
cream;74;0.001
alright;8;0.0
creamy;4;0.0
stripy;4;0.0
wha;6;0.0
finish;24;0.0
bread;16;0.0
ba;4;0.0
cold;36;0.001
stuff;2;0.0
while;4;0.0
whole;12;0.0
lovely;4;0.0
Laura;2;0.0
eh;18;0.0
park;26;0.0
kite;10;0.0
air;12;0.0
flied;2;0.0
far;8;0.0
hear;12;0.0
wind;8;0.0
jigsaw;18;0.0
long;18;0.0
um;170;0.003
ruin;2;0.0
trouble;2;0.0
Pingu;6;0.0
tiny;20;0.0
Tilly;8;0.0
Tom;12;0.0
rest;16;0.0
drink;80;0.001
tie;4;0.0
flower;18;0.0
swing;22;0.0
forward;4;0.0
nuisance;4;0.0
wheelbarrow;2;0.0
push;20;0.0
wait;24;0.0
til;2;0.0
clothe;4;0.0
puzzle;4;0.0
pajama;12;0.0
Tots;4;0.0
eye;20;0.0
nearly;8;0.0
bring;14;0.0
Postman;20;0.0
Pat;20;0.0
leave;40;0.001
mum;174;0.003
keep;22;0.0
wipe;4;0.0
their;26;0.0
cup;70;0.001
tea;36;0.001
Claus;2;0.0
doll;8;0.0
upstairs;12;0.0
always;6;0.0
cry;12;0.0
sometimes;2;0.0
as_well;18;0.0
last;4;0.0
Granda;4;0.0
g;10;0.0
after;6;0.0
sticky;4;0.0
Granny;10;0.0
Rangers;8;0.0
ow;30;0.001
finger;12;0.0
suck;2;0.0
six;14;0.0
seven;8;0.0
nine;4;0.0
once;2;0.0
catch;16;0.0
alive;2;0.0
would;12;0.0
slipper;10;0.0
Barbara;2;0.0
storm;6;0.0
walk;22;0.0
hallway;2;0.0
night;4;0.0
hall;2;0.0
umbrella;10;0.0
pretend;50;0.001
thank_you;44;0.001
generally;2;0.0
firm;2;0.0
evidence;2;0.0
really;18;0.0
hurt;26;0.0
exercise;2;0.0
better;14;0.0
small;20;0.0
G_B;2;0.0
Hokey_Pokey;2;0.0
arm;4;0.0
Lion;20;0.0
King;4;0.0
Simba;2;0.0
t;38;0.001
fl;2;0.0
puppy;26;0.0
call;48;0.001
thingy;8;0.0
tree;56;0.001
elephant;10;0.0
tiger;20;0.0
horsie;52;0.001
