word;quantity;frequency
toy;216;0.001
bag;72;0.0
crisp;63;0.0
Noddy;27;0.0
jumper;18;0.0
wet;36;0.0
cause;153;0.001
toast;54;0.0
door;360;0.001
daddy;306;0.001
uhhuh;288;0.001
fudge;18;0.0
mummie;216;0.001
buy;54;0.0
clown;54;0.0
Santa;90;0.0
hat;108;0.0
sleep;252;0.001
pinch;18;0.0
wee;693;0.003
bird;54;0.0
basket;45;0.0
color;198;0.001
digger;9;0.0
bed;504;0.002
teddy;144;0.001
behind;63;0.0
blind;18;0.0
live;135;0.001
room;81;0.0
birdie;18;0.0
pacifier;63;0.0
tire;54;0.0
bath;90;0.0
jammies;9;0.0
could;117;0.0
magical;9;0.0
sleigh;9;0.0
yo;9;0.0
ho;18;0.0
gingerbread;9;0.0
snowman;18;0.0
chimney;117;0.0
block;18;0.0
bobble;9;0.0
house;648;0.002
jump;261;0.001
chocolate;126;0.0
ale;9;0.0
beer;45;0.0
couple;27;0.0
phone;63;0.0
sofa;9;0.0
cow;333;0.001
seal;27;0.0
sea;27;0.0
sock;36;0.0
sweetie;36;0.0
sore;36;0.0
smoke;9;0.0
bike;72;0.0
scissor;63;0.0
tractor;54;0.0
butterfly;18;0.0
blow;117;0.0
balloon;27;0.0
Abbeycentre;18;0.0
past;18;0.0
blue;225;0.001
trouser;9;0.0
high;81;0.0
climb;45;0.0
slide;225;0.001
whee;18;0.0
bless;9;0.0
O;207;0.001
uh;108;0.0
shop;63;0.0
anyhow;9;0.0
save;18;0.0
hassle;9;0.0
em;144;0.001
yet;180;0.001
black;243;0.001
shoe;153;0.001
Rachel;36;0.0
skip;18;0.0
pencil;63;0.0
have_to;450;0.002
Cathy;54;0.0
Linda;45;0.0
hiccup;54;0.0
m;27;0.0
Mickey;18;0.0
mou;9;0.0
mouse;18;0.0
n;63;0.0
brown;45;0.0
pink;234;0.001
sharp;9;0.0
sharpen;9;0.0
toilet;54;0.0
ye;36;0.0
pant;18;0.0
Hunch;9;0.0
Hunchback;9;0.0
