word;quantity;frequency
h;12;0.0
yeah;765;0.02
he;484;0.013
boy;34;0.001
Nana;1;0.0
Mummy;78;0.002
Christopher;2;0.0
uh;59;0.002
pull;14;0.0
turn;28;0.001
uhhuh;45;0.001
navy;1;0.0
cowboy;1;0.0
okay;104;0.003
mine;36;0.001
ah;44;0.001
Kyle;3;0.0
wee;219;0.006
head;29;0.001
fit;22;0.001
fat;8;0.0
look;201;0.005
Mum;35;0.001
brown;7;0.0
blue;23;0.001
asleep;3;0.0
down;98;0.003
back;76;0.002
as_well;20;0.001
O;152;0.004
nappie;2;0.0
doll;11;0.0
Rachel;6;0.0
have_to;72;0.002
dress;13;0.0
Daddy;55;0.001
upstairs;9;0.0
kitchen;4;0.0
close;14;0.0
door;15;0.0
rain;2;0.0
an;68;0.002
Aunty;2;0.0
cat;18;0.0
carpet;5;0.0
settee;1;0.0
baby;48;0.001
seat;3;0.0
where;221;0.006
oh;173;0.005
pink;5;0.0
towel;3;0.0
bath;7;0.0
bed;51;0.001
right;46;0.001
whole;9;0.0
sister;5;0.0
toilet;11;0.0
edge;1;0.0
sh;2;0.0
so_that;1;0.0
cot;1;0.0
table;10;0.0
round;17;0.0
into;28;0.001
super;1;0.0
same;11;0.0
paint;11;0.0
top;15;0.0
stair;3;0.0
rotten;1;0.0
stupid;3;0.0
chair;15;0.0
build;15;0.0
need;47;0.001
these;67;0.002
puppy;1;0.0
anywhere;3;0.0
allow;13;0.0
saw;42;0.001
fell;63;0.002
off;78;0.002
ow;10;0.0
sleep;28;0.001
um;79;0.002
morning;7;0.0
cause;98;0.003
nighttime;1;0.0
girl;38;0.001
nothing;21;0.001
th;13;0.0
tidy;4;0.0
wash;8;0.0
dish;4;0.0
before;7;0.0
sit;24;0.001
r;1;0.0
rest;15;0.0
still;13;0.0
dirty;3;0.0
tire;7;0.0
hungry;4;0.0
who;52;0.001
c;6;0.0
cover;4;0.0
paper;8;0.0
garden;7;0.0
free;5;0.0
sun;3;0.0
flower;13;0.0
gr;1;0.0
yet;9;0.0
two;110;0.003
b;12;0.0
lovely;14;0.0
those;21;0.001
toy;43;0.001
never;34;0.001
three;55;0.001
four;19;0.0
seven;15;0.0
father;2;0.0
gir;2;0.0
tha;4;0.0
window;17;0.0
through;7;0.0
side;11;0.0
sleepy;5;0.0
way;31;0.001
finish;25;0.001
Linda;6;0.0
keep;27;0.001
tooth;2;0.0
fill;3;0.0
downstairs;2;0.0
hide;10;0.0
eee;2;0.0
cannot;111;0.003
which;17;0.0
bite;64;0.002
