word;quantity;frequency
fine;32;0.0
h;96;0.0
yeah;6120;0.02
boy;272;0.001
no;4928;0.016
Nana;8;0.0
Mummy;624;0.002
from;272;0.001
Christopher;16;0.0
much;64;0.0
Christmas;96;0.0
uh;472;0.002
pull;112;0.0
turn;224;0.001
uhhuh;360;0.001
yes;2160;0.007
navy;8;0.0
cowboy;8;0.0
okay;832;0.003
mine;288;0.001
ah;352;0.001
Kyle;24;0.0
think;512;0.002
wee;1752;0.006
head;232;0.001
would;272;0.001
fit;176;0.001
fat;64;0.0
look;1608;0.005
Mum;280;0.001
blue;184;0.001
asleep;24;0.0
down;784;0.003
as_well;160;0.001
O;1216;0.004
well;600;0.002
could;344;0.001
change;40;0.0
nappie;16;0.0
just;600;0.002
doll;88;0.0
Rachel;48;0.0
have_to;576;0.002
dress;104;0.0
how;520;0.002
stuff;48;0.0
Daddy;440;0.001
upstairs;72;0.0
kitchen;32;0.0
close;112;0.0
door;120;0.0
rain;16;0.0
now;1024;0.003
Aunty;16;0.0
carpet;40;0.0
settee;8;0.0
here;1608;0.005
baby;384;0.001
seat;24;0.0
where;1768;0.006
oh;1384;0.005
pink;40;0.0
towel;24;0.0
bath;56;0.0
bed;408;0.001
right;368;0.001
whole;72;0.0
toilet;88;0.0
edge;8;0.0
sh;16;0.0
car;400;0.001
so_that;8;0.0
cot;8;0.0
table;80;0.0
round;136;0.0
super;8;0.0
same;88;0.0
as;72;0.0
paint;88;0.0
top;120;0.0
stair;24;0.0
rotten;8;0.0
dinner;112;0.0
stupid;24;0.0
chair;120;0.0
build;120;0.0
need;376;0.001
these;536;0.002
puppy;8;0.0
anywhere;24;0.0
allow;104;0.0
fell;504;0.002
off;624;0.002
ow;80;0.0
fall;272;0.001
sleep;224;0.001
um;632;0.002
morning;56;0.0
cause;784;0.003
nighttime;8;0.0
girl;304;0.001
nothing;168;0.001
th;104;0.0
tidy;32;0.0
wash;64;0.0
dish;32;0.0
before;56;0.0
sit;192;0.001
r;8;0.0
rest;120;0.0
still;104;0.0
dirty;24;0.0
tire;56;0.0
hungry;32;0.0
who;416;0.001
c;48;0.0
cover;32;0.0
paper;64;0.0
garden;56;0.0
free;40;0.0
sun;24;0.0
flower;104;0.0
gr;8;0.0
grow;120;0.0
yet;72;0.0
b;96;0.0
lovely;112;0.0
those;168;0.001
toy;344;0.001
place;40;0.0
never;272;0.001
three;440;0.001
four;152;0.0
seven;120;0.0
picture;112;0.0
father;16;0.0
gir;16;0.0
tha;32;0.0
window;136;0.0
what;4448;0.015
through;56;0.0
side;88;0.0
sleepy;40;0.0
way;248;0.001
finish;200;0.001
Linda;48;0.0
keep;216;0.001
dentist;8;0.0
tooth;16;0.0
fill;24;0.0
downstairs;16;0.0
hide;80;0.0
eee;16;0.0
cannot;888;0.003
which;136;0.0
bite;512;0.002
help;336;0.001
drawer;40;0.0
away;320;0.001
mummie;552;0.002
drive;56;0.0
another;528;0.002
hat;64;0.0
or;144;0.0
somewhere;56;0.0
else;280;0.001
call;384;0.001
special;48;0.0
read;184;0.001
leave;168;0.001
alone;16;0.0
park;160;0.001
par;8;0.0
