word;quantity;frequency
hello;45;0.0
have;1755;0.011
soup;15;0.0
look;770;0.005
would;250;0.002
read;105;0.001
for;700;0.004
me;815;0.005
cause;1030;0.007
mummie;260;0.002
too;270;0.002
busy;5;0.0
tidy;35;0.0
up;735;0.005
do;4045;0.026
not;2855;0.018
know;980;0.006
and;3565;0.023
about;170;0.001
all;845;0.005
they;1245;0.008
draw;115;0.001
there;2105;0.013
story;45;0.0
kitchen;25;0.0
play;700;0.004
dough;5;0.0
paint;15;0.0
two;535;0.003
box;50;0.0
of;730;0.005
sand;35;0.0
to;2160;0.014
somebody;30;0.0
this;1675;0.011
will;1185;0.008
at;390;0.002
them;1020;0.006
now;575;0.004
thank_you;25;0.0
monkey;100;0.001
okay;100;0.001
c;160;0.001
t;110;0.001
cat;25;0.0
hard;105;0.001
word;10;0.0
one;2290;0.015
need;320;0.002
cannot;355;0.002
Cathy;165;0.001
time;165;0.001
dad;70;0.0
sister;20;0.0
put;505;0.003
pram;40;0.0
doggie;30;0.0
think;275;0.002
take;205;0.001
park;80;0.001
toy;105;0.001
Kilty;5;0.0
Duke;10;0.0
big;740;0.005
dog;40;0.0
sit;170;0.001
wee;840;0.005
girl;180;0.001
stand;60;0.0
bird;25;0.0
build;180;0.001
tree;90;0.001
baby;105;0.001
run;80;0.001
away;180;0.001
picnic;10;0.0
just;730;0.005
food;35;0.0
teeth;45;0.0
like;710;0.005
Tyrannosaurus;10;0.0
Rex;10;0.0
his;490;0.003
Tyrannosaur;5;0.0
stink;30;0.0
stinky;25;0.0
winky;15;0.0
can;625;0.004
she;970;0.006
ball;45;0.0
throw;85;0.001
way;110;0.001
O;695;0.004
well;790;0.005
has_to;40;0.0
cowboy;15;0.0
spider;40;0.0
giant;25;0.0
ah;170;0.001
vacuum;5;0.0
clean;10;0.0
agh;10;0.0
explosive;20;0.0
man;240;0.002
he;2440;0.016
castle;170;0.001
Mummy;220;0.001
with;635;0.004
horse;95;0.001
rock;25;0.0
him;730;0.005
fast;30;0.0
fell;140;0.001
down;390;0.002
from;150;0.001
r;45;0.0
robot;20;0.0
name;120;0.001
Conor;15;0.0
four;200;0.001
Craiglands;5;0.0
love;105;0.001
dinosaur;290;0.002
see;930;0.006
Daddy;105;0.001
school;130;0.001
work;175;0.001
nursery;35;0.0
doll;15;0.0
boy;190;0.001
bike;75;0.0
home;110;0.001
Matthew;5;0.0
good;115;0.001
shop;80;0.001
brother;30;0.0
any;175;0.001
bus;10;0.0
anymore;40;0.0
Playbus;5;0.0
snowy;15;0.0
jig;5;0.0
jigsaw;95;0.001
today;175;0.001
bear;30;0.0
zoo;20;0.0
scar;35;0.0
over;200;0.001
tiger;55;0.0
saw;125;0.001
Thomas;105;0.001
television;5;0.0
ask;35;0.0
could;220;0.001
hungry;45;0.0
wonder;20;0.0
if;155;0.001
snow;20;0.0
come;870;0.006
watch;130;0.001
tv;40;0.0
give;320;0.002
kiss;5;0.0
d;155;0.001
train;40;0.0
those;35;0.0
sweet;55;0.0
book;100;0.001
noisy;15;0.0
tn;10;0.0
we;820;0.005
stair;50;0.0
til;15;0.0
have_to;280;0.002
but;550;0.003
minute;70;0.0
sweetie;15;0.0
leave;50;0.0
its;40;0.0
fix;75;0.0
say;395;0.003
very;155;0.001
silly;110;0.001
wrong;50;0.0
only;195;0.001
finger;35;0.0
oh;555;0.004
uh;250;0.002
lose;80;0.001
pretend;85;0.001
em;315;0.002
a_lot_of;30;0.0
head;85;0.001
bite;250;0.002
try;110;0.001
show;95;0.001
your;375;0.002
thing;390;0.002
across;10;0.0
leg;40;0.0
chat;5;0.0
talk;65;0.0
house;250;0.002
warm;5;0.0
cold;20;0.0
jump;100;0.001
get;2000;0.013
chocolate;20;0.0
drink;55;0.0
water;70;0.0
Indians;5;0.0
wah;25;0.0
cry;45;0.0
grow;45;0.0
fly;55;0.0
near;15;0.0
right;235;0.001
sleep;100;0.001
w;115;0.001
settee;10;0.0
s;60;0.0
chair;30;0.0
hurt;40;0.0
alright;30;0.0
h;125;0.001
table;15;0.0
uhhuh;85;0.001
horn;30;0.0
Sebastian;20;0.0
swing;20;0.0
handstand;10;0.0
sock;25;0.0
shoe;110;0.001
ha;20;0.0
juice;55;0.0
Kitkat;15;0.0
blue;130;0.001
bunny;10;0.0
th;120;0.001
m;65;0.0
rabbit;10;0.0
floor;25;0.0
mhm;340;0.002
bring;280;0.002
banana;25;0.0
kick;25;0.0
Missus;10;0.0
Jack;20;0.0
Chloe;10;0.0
friend;95;0.001
huh;160;0.001
Indian;10;0.0
make;215;0.001
round;100;0.001
game;85;0.001
really;145;0.001
an;135;0.001
back;200;0.001
Bacchiosaurus;10;0.0
none;50;0.0
call;205;0.001
Diplocus;5;0.0
Stegosaurus;20;0.0
y;75;0.0
hand;30;0.0
tail;25;0.0
nah;40;0.0
tell;110;0.001
monster;90;0.001
raptor;80;0.001
three;155;0.001
nuh;35;0.0
still;80;0.001
