word;quantity;frequency
soup;18;0.0
would;300;0.002
read;126;0.001
cause;1236;0.007
mummie;312;0.002
busy;6;0.0
tidy;42;0.0
draw;138;0.001
story;54;0.0
kitchen;30;0.0
dough;6;0.0
paint;18;0.0
box;60;0.0
somebody;36;0.0
thank_you;30;0.0
monkey;120;0.001
c;192;0.001
t;132;0.001
cat;30;0.0
hard;126;0.001
word;12;0.0
Cathy;198;0.001
sister;24;0.0
pram;48;0.0
doggie;36;0.0
park;96;0.001
toy;126;0.001
Kilty;6;0.0
Duke;12;0.0
dog;48;0.0
wee;1008;0.005
girl;216;0.001
stand;72;0.0
bird;30;0.0
build;216;0.001
tree;108;0.001
picnic;12;0.0
food;42;0.0
teeth;54;0.0
Tyrannosaurus;12;0.0
Rex;12;0.0
Tyrannosaur;6;0.0
stink;36;0.0
stinky;30;0.0
winky;18;0.0
O;834;0.004
has_to;48;0.0
cowboy;18;0.0
giant;30;0.0
vacuum;6;0.0
clean;12;0.0
agh;12;0.0
explosive;24;0.0
castle;204;0.001
horse;114;0.001
rock;30;0.0
fast;36;0.0
from;180;0.001
r;54;0.0
robot;24;0.0
Conor;18;0.0
Craiglands;6;0.0
love;126;0.001
dinosaur;348;0.002
Daddy;126;0.001
school;156;0.001
work;210;0.001
nursery;42;0.0
doll;18;0.0
bike;90;0.0
Matthew;6;0.0
shop;96;0.001
any;210;0.001
bus;12;0.0
anymore;48;0.0
Playbus;6;0.0
snowy;18;0.0
jig;6;0.0
jigsaw;114;0.001
bear;36;0.0
zoo;24;0.0
scar;42;0.0
tiger;66;0.0
Thomas;126;0.001
television;6;0.0
ask;42;0.0
hungry;54;0.0
wonder;24;0.0
snow;24;0.0
tv;48;0.0
kiss;6;0.0
d;186;0.001
train;48;0.0
sweet;66;0.0
noisy;18;0.0
tn;12;0.0
stair;60;0.0
til;18;0.0
have_to;336;0.002
minute;84;0.0
sweetie;18;0.0
its;48;0.0
fix;90;0.0
silly;132;0.001
wrong;60;0.0
finger;42;0.0
uh;300;0.002
lose;96;0.001
pretend;102;0.001
em;378;0.002
a_lot_of;36;0.0
try;132;0.001
across;12;0.0
leg;48;0.0
chat;6;0.0
talk;78;0.0
warm;6;0.0
cold;24;0.0
chocolate;24;0.0
water;84;0.0
Indians;6;0.0
wah;30;0.0
cry;54;0.0
grow;54;0.0
fly;66;0.0
near;18;0.0
sleep;120;0.001
w;138;0.001
settee;12;0.0
s;72;0.0
chair;36;0.0
hurt;48;0.0
alright;36;0.0
h;150;0.001
table;18;0.0
uhhuh;102;0.001
horn;36;0.0
Sebastian;24;0.0
swing;24;0.0
handstand;12;0.0
sock;30;0.0
juice;66;0.0
Kitkat;18;0.0
blue;156;0.001
bunny;12;0.0
th;144;0.001
m;78;0.0
rabbit;12;0.0
floor;30;0.0
mhm;408;0.002
banana;30;0.0
Missus;12;0.0
Jack;24;0.0
Chloe;12;0.0
huh;192;0.001
Indian;12;0.0
round;120;0.001
game;102;0.001
really;174;0.001
an;162;0.001
Bacchiosaurus;12;0.0
none;60;0.0
call;246;0.001
Diplocus;6;0.0
Stegosaurus;24;0.0
y;90;0.0
tail;30;0.0
monster;108;0.001
raptor;96;0.001
nuh;42;0.0
bar;6;0.0
nope;30;0.0
reason;6;0.0
hate;60;0.0
Smarties;60;0.0
hit;150;0.001
or;144;0.001
smack;48;0.0
behave;18;0.0
yo;66;0.0
Christophers;6;0.0
lemme;6;0.0
duck;102;0.001
another;228;0.001
haha;36;0.0
l;96;0.001
biscuit;48;0.0
fish;78;0.0
pull;24;0.0
b;150;0.001
whooo;12;0.0
hi;108;0.001
aye;48;0.0
Triceratops;18;0.0
eye;60;0.0
point;6;0.0
hor;12;0.0
close;66;0.0
mouth;54;0.0
tickle;12;0.0
stroke;6;0.0
tongue;6;0.0
j;30;0.0
hold;102;0.001
Adam;138;0.001
measure;6;0.0
tape;66;0.0
cross;12;0.0
bell;24;0.0
maybe;138;0.001
n;96;0.001
same;120;0.001
egg;30;0.0
line;6;0.0
pussycat;12;0.0
joker;12;0.0
Frostie;12;0.0
snowman;6;0.0
miss;60;0.0
orange;90;0.0
kite;24;0.0
lion;126;0.001
giraffe;72;0.0
zebra;18;0.0
xylophone;6;0.0
track;12;0.0
walrus;24;0.0
nearly;24;0.0
yup;468;0.002
Pingu;6;0.0
eh;78;0.0
roar;6;0.0
noise;42;0.0
pond;6;0.0
quack;24;0.0
Brontosaurus;6;0.0
live;78;0.0
place;18;0.0
prehistoric;6;0.0
hear;18;0.0
rac;6;0.0
race;18;0.0
outside;54;0.0
coat;24;0.0
muffin;6;0.0
forty;6;0.0
clock;24;0.0
Mars;6;0.0
Kathryn;42;0.0
smoke;18;0.0
oo;36;0.0
so_that;18;0.0
great;30;0.0
nod;6;0.0
their;114;0.001
before;66;0.0
boom;48;0.0
hide;30;0.0
somewhere;42;0.0
tyrrano;6;0.0
Teradactyls;6;0.0
tyranno;6;0.0
P;138;0.001
tr;36;0.0
tri;6;0.0
fight;90;0.0
themselves;24;0.0
each_other;6;0.0
allow;102;0.001
Peter;72;0.0
naw;54;0.0
happen;12;0.0
Kinder;6;0.0
next_to;6;0.0
video;24;0.0
men;18;0.0
feel;96;0.001
belly;24;0.0
Pocket;12;0.0
Jumanji;18;0.0
scary;24;0.0
by;48;0.0
myself;42;0.0
picture;108;0.001
sweety;6;0.0
drum;6;0.0
animal;48;0.0
elephant;30;0.0
Sabretoothed;6;0.0
desert;6;0.0
scrap;6;0.0
ear;66;0.0
door;78;0.0
lie;30;0.0
bed;222;0.001
rest;12;0.0
die;18;0.0
fall;60;0.0
lift;60;0.0
grass;18;0.0
tractor;24;0.0
out_of;138;0.001
trap;42;0.0
half;12;0.0
sc;12;0.0
share;12;0.0
spiky;6;0.0
Jurassic;66;0.0
sleepy;6;0.0
st;18;0.0
pl;12;0.0
Plodicus;18;0.0
Xman;6;0.0
after;84;0.0
Burger;30;0.0
King;12;0.0
dead;60;0.0
crocodile;30;0.0
alligator;30;0.0
you_all;12;0.0
together;36;0.0
engine;42;0.0
fire;36;0.0
arm;84;0.0
real;102;0.001
might;18;0.0
rat;6;0.0
g;90;0.0
pincher;6;0.0
inside;42;0.0
bone;18;0.0
Mc;6;0.0
Donalds;6;0.0
Sunday;30;0.0
pizza;12;0.0
badder;6;0.0
baddie;78;0.0
trip;6;0.0
shark;60;0.0
Billy;18;0.0
whale;30;0.0
Free;6;0.0
Willy;6;0.0
bad;174;0.001
ba;48;0.0
bat;24;0.0
knock;18;0.0
mouse;48;0.0
soft;24;0.0
ouch;12;0.0
Pocahontas;12;0.0
nightmare;18;0.0
witch;18;0.0
horr;6;0.0
horrible;12;0.0
tyra;6;0.0
Tyrannoxxx;6;0.0
soldier;66;0.0
nowhere;18;0.0
whole;36;0.0
lot;30;0.0
Power;126;0.001
Rangers;78;0.0
black;90;0.0
Tommy;12;0.0
army;6;0.0
lizard;18;0.0
key;42;0.0
Ranger;42;0.0
Gretas;6;0.0
garage;48;0.0
Action;24;0.0
card;18;0.0
color;72;0.0
Tyrrana;12;0.0
Tyranna;12;0.0
sharp;18;0.0
snap;30;0.0
yellow;126;0.001
red;168;0.001
pink;48;0.0
Batman;192;0.001
store;18;0.0
beside;114;0.001
wood;12;0.0
bang;24;0.0
climb;48;0.0
knight;12;0.0
cloak;12;0.0
super;6;0.0
