word;quantity;frequency
uh;3;0.001
fly;3;0.001
well;27;0.01
only;12;0.005
try;3;0.001
wee;12;0.005
fell;3;0.001
out_of;6;0.002
um;30;0.012
yeah;33;0.013
feel;3;0.001
appetite;3;0.001
nope;3;0.001
nah;3;0.001
mister;12;0.005
Aunt;3;0.001
June;3;0.001
prince;3;0.001
mean;9;0.003
puppy;3;0.001
bring;9;0.003
cage;33;0.013
from;3;0.001
Paddy;18;0.007
would;15;0.006
fat;12;0.005
br;3;0.001
hold;3;0.001
d;9;0.003
case;9;0.003
stair;3;0.001
loft;3;0.001
dinosaur;3;0.001
O;42;0.016
rainy;6;0.002
day;6;0.002
cause;9;0.003
pick;3;0.001
favorite;3;0.001
Mummy;48;0.018
gelatin;12;0.005
strawberry;9;0.003
magic;6;0.002
bite;3;0.001
w;3;0.001
next;9;0.003
break;3;0.001
or;3;0.001
giant;3;0.001
knee;3;0.001
oo;9;0.003
cannot;3;0.001
any;6;0.002
sorry;6;0.002
fair;3;0.001
greedy;6;0.002
thank_you;3;0.001
shark;6;0.002
picture;3;0.001
machine;3;0.001
eh;3;0.001
huh;6;0.002
velociraptor;3;0.001
e;3;0.001
have_to;9;0.003
feed;3;0.001
spoon;6;0.002
ah;9;0.003
wow;6;0.002
pink;6;0.002
yellow;3;0.001
blue;3;0.001
Cristopher;3;0.001
bang;3;0.001
wah;3;0.001
Hammy;6;0.002
hamster;3;0.001
Power;6;0.002
Ranger;6;0.002
b;15;0.006
sword;6;0.002
red;3;0.001
white;3;0.001
tell;6;0.002
sign;3;0.001
g;3;0.001
kill;3;0.001
pardon;3;0.001
knight;9;0.003
truth;3;0.001
beach;3;0.001
sea;3;0.001
Mum;3;0.001
thank;3;0.001
buy;3;0.001
oh;3;0.001
both;3;0.001
should;3;0.001
hm;3;0.001
very;3;0.001
nice;3;0.001
stick;3;0.001
hard;3;0.001
Daddy;3;0.001
