word;relative_frequency;corpus_commonality
toothbrush;15.0000;45
brush;75.0000;63
banana;175.0000;63
flower;107.8571;63
represent;5.0000;9
noise;161.4286;63
Daddy;1364.3750;72
spoon;120.0000;63
cot;52.0000;45
door;575.1429;42
pig;330.0000;63
nose;186.4286;63
chair;319.7143;42
mouth;130.0000;63
paper;128.5714;56
byebye;312.5000;36
plane;107.1429;63
cow;734.8393;56
meow;34.0000;45
boy;335.8000;35
ball;269.2857;21
bus;253.3333;54
shoe;483.2857;42
teddy;403.5714;63
pram;80.0000;63
mug;11.0000;45
gate;183.3333;54
cake;429.2321;56
biscuit;222.1429;63
light;133.4792;48
baby;1422.7500;32
fish;375.3878;49
hat;514.2245;49
down;1968.7500;32
milk;343.5714;56
pencil;36.4286;63
rain;157.1429;63
tea;510.0000;63
woman;17.0000;45
doggy;105.0000;63
comb;44.0000;45
pear;123.0000;45
apple;260.2041;49
piggy;105.0000;54
lady;416.6667;54
horse;541.0536;56
puppy;51.4286;63
water;429.5357;28
duck;301.6429;56
mummie;425.7143;63
stair;46.8750;72
key;120.0000;63
tongue;16.0000;45
bed;503.3061;49
jam;56.2500;36
nail;83.7500;36
sun;77.2500;48
table;160.9048;42
tree;244.5357;56
bird;102.3673;49
rabbit;231.9107;56
cup;302.3750;48
bath;204.7500;56
bag;265.7143;63
seesaw;116.6667;54
egg;637.1429;49
man;741.0000;42
letter;97.0000;45
road;165.7143;63
all_gone;283.3333;54
eye;312.4898;49
bib;67.0000;45
birdie;76.6667;54
girl;287.7429;35
sheep;198.5714;63
sweetie;83.5714;63
Sandy;8.3333;27
jug;11.2500;36
Ribena;50.0000;36
scarf;18.0000;45
book;370.2857;28
sock;190.7755;49
pen;124.3000;40
tell;130.0938;32
car;3562.8571;28
of;833.7500;8
no;18998.0000;8
boat;378.9375;48
train;1819.4375;48
kiss;122.0000;45
ring;166.0000;45
bucket;77.0000;45
orange;723.8333;48
chocolate;165.8333;54
Marmite;33.3333;27
medicine;48.0000;45
bottle;177.0000;45
mouse;114.1667;54
cotton;10.0000;18
lap;25.0000;36
story;177.6250;48
cardigan;8.7500;36
parcel;23.3333;27
lunch;54.2500;24
balloon;105.8333;54
please;959.0000;24
toast;125.0000;54
crispies;17.5000;18
lounge;11.6667;27
crocodile;42.5000;54
supper;21.6667;27
ready;220.8333;36
pepper;77.0000;45
beer;65.0000;36
Mummy;3743.3036;56
Mini;22.5000;36
pocket;76.5000;32
Sally;57.0000;45
yellow;635.7857;56
way;740.0000;30
toe;172.5000;54
away;892.5000;28
kakaka;5.0000;9
nice;306.8571;42
other;597.0000;28
bike;135.8333;54
glass;112.5000;54
Jenny;98.7500;36
another;1776.6667;36
buy;292.2857;49
grape;310.8333;54
piece;233.1875;48
