word;quantity;frequency
yeah;2074;0.0231
jelly;4;0.0
no;1494;0.0166
want;895;0.01
you;1870;0.0208
what;1189;0.0132
be;5899;0.0657
that;2158;0.024
yes;630;0.007
look;563;0.0063
a;2227;0.0248
doggie;24;0.0003
uhhuh;201;0.0022
book;112;0.0012
like;415;0.0046
why;213;0.0024
about;76;0.0008
one;1319;0.0147
lion;66;0.0007
clown;14;0.0002
caravan;1;0.0
foal;1;0.0
I;4166;0.0464
take;140;0.0016
this;996;0.0111
og;1;0.0
frog;6;0.0001
wee;598;0.0067
drink;52;0.0006
of;378;0.0042
Coke;10;0.0001
come;438;0.0049
on;613;0.0068
it;2243;0.025
Daddy;108;0.0012
all;487;0.0054
up;483;0.0054
Milky;1;0.0
Way;71;0.0008
would;97;0.0011
put;451;0.005
the;2508;0.0279
paper;21;0.0002
video;17;0.0002
O;410;0.0046
ring;10;0.0001
duck;56;0.0006
quack;13;0.0001
nap;1;0.0
swan;3;0.0
ten;29;0.0003
sock;25;0.0003
Mummy;155;0.0017
and;1849;0.0206
boy;120;0.0013
who;102;0.0011
at;233;0.0026
work;76;0.0008
they;590;0.0066
brekkie;1;0.0
sausage;12;0.0001
too;147;0.0016
hot;19;0.0002
bobble;6;0.0001
go;1708;0.019
sleep;77;0.0009
fall;57;0.0006
out;224;0.0025
present;40;0.0004
toy;98;0.0011
cake;9;0.0001
candle;6;0.0001
get;1092;0.0122
Tots;3;0.0
tv;12;0.0001
me;566;0.0063
Bangor;2;0.0
bang;27;0.0003
away;119;0.0013
stay;49;0.0005
back;156;0.0017
again;107;0.0012
morrow;1;0.0
boat;24;0.0003
hi;34;0.0004
ho;5;0.0001
to;1088;0.0121
give;183;0.002
love;45;0.0005
Mmn;1;0.0
beside;28;0.0003
bone;13;0.0001
pacifier;19;0.0002
she;492;0.0055
show;59;0.0007
how;115;0.0013
good;65;0.0007
count;9;0.0001
teddy;47;0.0005
bear;41;0.0005
mummie;217;0.0024
do;2390;0.0266
them;605;0.0067
into;46;0.0005
drawer;8;0.0001
door;58;0.0006
there;1299;0.0145
nothing;46;0.0005
in;1201;0.0134
page;20;0.0002
now;287;0.0032
her;222;0.0025
clothe;20;0.0002
down;226;0.0025
have;915;0.0102
bath;19;0.0002
he;1138;0.0127
wash;25;0.0003
his;264;0.0029
hand;43;0.0005
hair;64;0.0007
baby;138;0.0015
girl;102;0.0011
nice;23;0.0003
sponge;1;0.0
soap;3;0.0
swim;33;0.0004
pool;19;0.0002
Ruth;1;0.0
for;385;0.0043
bite;157;0.0017
bag;66;0.0007
crisp;8;0.0001
Noddy;53;0.0006
my;947;0.0105
jumper;3;0.0
off;184;0.002
because;84;0.0009
wet;11;0.0001
cause;374;0.0042
toast;14;0.0002
somebody;17;0.0002
help;63;0.0007
oh;382;0.0043
fudge;2;0.0
where;477;0.0053
buy;51;0.0006
Santa;40;0.0004
another;132;0.0015
hat;35;0.0004
pinch;2;0.0
with;311;0.0035
bird;24;0.0003
see;468;0.0052
basket;7;0.0001
color;63;0.0007
not;1763;0.0196
digger;11;0.0001
bed;115;0.0013
sit;73;0.0008
behind;34;0.0004
blind;4;0.0
live;33;0.0004
room;43;0.0005
can;330;0.0037
birdie;10;0.0001
tire;16;0.0002
jammies;2;0.0
could;95;0.0011
magical;1;0.0
sleigh;1;0.0
yo;23;0.0003
gingerbread;1;0.0
snowman;4;0.0
some;198;0.0022
chimney;14;0.0002
block;15;0.0002
table;15;0.0002
Christmas;17;0.0002
when;174;0.0019
house;123;0.0014
jump;46;0.0005
chocolate;19;0.0002
ale;1;0.0
beer;16;0.0002
couple;6;0.0001
phone;19;0.0002
find;91;0.001
our;23;0.0003
sofa;1;0.0
cow;28;0.0003
seal;3;0.0
sea;18;0.0002
two;282;0.0031
eat;165;0.0018
sweetie;33;0.0004
him;305;0.0034
sore;34;0.0004
smoke;6;0.0001
kick;16;0.0002
read;92;0.001
know;685;0.0076
bike;53;0.0006
scissor;22;0.0002
tractor;28;0.0003
three;159;0.0018
butterfly;12;0.0001
man;102;0.0011
blow;25;0.0003
balloon;10;0.0001
Abbeycentre;3;0.0
clock;24;0.0003
past;1;0.0
eight;37;0.0004
let;169;0.0019
here;476;0.0053
blue;62;0.0007
trouser;7;0.0001
will;589;0.0066
open;88;0.001
yuck;18;0.0002
puttin;4;0.0
your;224;0.0025
ear;26;0.0003
wait;41;0.0005
uh;134;0.0015
cup;22;0.0002
cutter;7;0.0001
whole;24;0.0003
lot;45;0.0005
injection;10;0.0001
time;74;0.0008
then;209;0.0023
these;175;0.0019
fell;110;0.0012
Mum;86;0.001
prescription;6;0.0001
monster;52;0.0006
we;354;0.0039
bring;117;0.0013
pension;2;0.0
saw;83;0.0009
much;15;0.0002
stayin;2;0.0
something;53;0.0006
an;153;0.0017
cry;24;0.0003
doll;24;0.0003
lip;3;0.0
cryin;15;0.0002
food;18;0.0002
box;30;0.0003
maybe;43;0.0005
hungry;18;0.0002
Pauline;2;0.0
tell;62;0.0007
only;74;0.0008
playin;10;0.0001
all_gone;4;0.0
Johnston;2;0.0
try;79;0.0009
cornflakes;3;0.0
mine;72;0.0008
stick;18;0.0002
stinkin;5;0.0001
poo;9;0.0001
ironin;4;0.0
markin;1;0.0
mark;15;0.0002
finish;53;0.0006
if;71;0.0008
dolly;39;0.0004
stink;9;0.0001
but;221;0.0025
anything;15;0.0002
need;131;0.0015
brush;16;0.0002
have_to;156;0.0017
hold;59;0.0007
talc;1;0.0
gettin;15;0.0002
walkin;1;0.0
tryin;8;0.0001
walk;27;0.0003
though;4;0.0
ssh;12;0.0001
drinkin;3;0.0
milk;18;0.0002
tea;23;0.0003
set;9;0.0001
