word;quantity;frequency
jelly;4;0.0
doggie;24;0.0
uhhuh;201;0.002
lion;66;0.001
clown;14;0.0
caravan;1;0.0
foal;1;0.0
og;1;0.0
wee;598;0.007
Coke;10;0.0
Daddy;108;0.001
Milky;1;0.0
video;17;0.0
O;410;0.005
ring;10;0.0
quack;13;0.0
nap;1;0.0
swan;3;0.0
brekkie;1;0.0
sausage;12;0.0
bobble;6;0.0
present;40;0.0
candle;6;0.0
Tots;3;0.0
Bangor;2;0.0
bang;27;0.0
morrow;1;0.0
ho;5;0.0
Mmn;1;0.0
beside;28;0.0
bone;13;0.0
pacifier;19;0.0
count;9;0.0
teddy;47;0.001
mummie;217;0.002
drawer;8;0.0
page;20;0.0
clothe;20;0.0
sponge;1;0.0
soap;3;0.0
swim;33;0.0
Ruth;1;0.0
bag;66;0.001
crisp;8;0.0
Noddy;53;0.001
jumper;3;0.0
wet;11;0.0
toast;14;0.0
fudge;2;0.0
Santa;40;0.0
pinch;2;0.0
basket;7;0.0
digger;11;0.0
behind;34;0.0
blind;4;0.0
birdie;10;0.0
jammies;2;0.0
magical;1;0.0
sleigh;1;0.0
yo;23;0.0
gingerbread;1;0.0
snowman;4;0.0
chimney;14;0.0
block;15;0.0
chocolate;19;0.0
ale;1;0.0
beer;16;0.0
couple;6;0.0
phone;19;0.0
sofa;1;0.0
seal;3;0.0
sweetie;33;0.0
sore;34;0.0
smoke;6;0.0
bike;53;0.001
tractor;28;0.0
butterfly;12;0.0
blow;25;0.0
balloon;10;0.0
Abbeycentre;3;0.0
past;1;0.0
trouser;7;0.0
yuck;18;0.0
puttin;4;0.0
ear;26;0.0
uh;134;0.001
cutter;7;0.0
injection;10;0.0
prescription;6;0.0
monster;52;0.001
pension;2;0.0
stayin;2;0.0
lip;3;0.0
cryin;15;0.0
Pauline;2;0.0
playin;10;0.0
all_gone;4;0.0
Johnston;2;0.0
cornflakes;3;0.0
stinkin;5;0.0
ironin;4;0.0
markin;1;0.0
mark;15;0.0
dolly;39;0.0
stink;9;0.0
brush;16;0.0
have_to;156;0.002
talc;1;0.0
gettin;15;0.0
walkin;1;0.0
tryin;8;0.0
though;4;0.0
ssh;12;0.0
drinkin;3;0.0
tea;23;0.0
set;9;0.0
jackal;1;0.0
Sleepy;10;0.0
Doc;3;0.0
chick;2;0.0
wheel;20;0.0
trolley;6;0.0
Mister;14;0.0
Shaw;2;0.0
station;4;0.0
clap;2;0.0
singin;2;0.0
clappin;2;0.0
smell;6;0.0
bus;12;0.0
round;58;0.001
garden;9;0.0
eensie;2;0.0
weensie;1;0.0
climb;32;0.0
drain;1;0.0
runnin;7;0.0
pea;15;0.0
dinosaur;88;0.001
soup;10;0.0
thunder;2;0.0
child;15;0.0
Barney;4;0.0
himself;25;0.0
jumpin;3;0.0
smack;15;0.0
sittin;8;0.0
pig;24;0.0
cover;6;0.0
bottle;12;0.0
once;9;0.0
alive;23;0.0
makin;7;0.0
Calpol;1;0.0
mouth;24;0.0
cream;8;0.0
lipstick;18;0.0
lovely;29;0.0
dirty;11;0.0
waken;3;0.0
fee;10;0.0
smile;4;0.0
longer;2;0.0
cherry;1;0.0
street;8;0.0
rollin;6;0.0
Barbara;6;0.0
herself;3;0.0
Granny;51;0.001
McAteer;1;0.0
without;1;0.0
nanny;18;0.0
startin;5;0.0
tall;2;0.0
doin;14;0.0
pillow;8;0.0
sandwich;8;0.0
Pingu;7;0.0
tomato;9;0.0
oops;6;0.0
daisy;5;0.0
eh;41;0.0
Abbey;3;0.0
centre;10;0.0
snow;18;0.0
knife;7;0.0
fork;6;0.0
eee;11;0.0
its;21;0.0
spaghetti;19;0.0
fifty;5;0.0
pound;7;0.0
lady;7;0.0
Jonsey;5;0.0
chest;3;0.0
shout;6;0.0
behave;4;0.0
carrot;7;0.0
pepper;1;0.0
noise;30;0.0
petrol;1;0.0
bandage;7;0.0
loose;2;0.0
och;7;0.0
rubber;1;0.0
wood;6;0.0
cheeky;15;0.0
coal;2;0.0
whistle;2;0.0
Jade;1;0.0
heavy;19;0.0
lump;4;0.0
nearly;16;0.0
spill;5;0.0
Raggy;2;0.0
runned;8;0.0
Jim;14;0.0
hospital;3;0.0
lighter;1;0.0
rice;2;0.0
thank_you;19;0.0
asleep;7;0.0
nail;14;0.0
hammer;27;0.0
hammerin;3;0.0
noisy;11;0.0
allow;31;0.0
slipper;10;0.0
aeroplane;8;0.0
boom;11;0.0
naw;15;0.0
bouncy;3;0.0
castle;40;0.0
whee;17;0.0
ladder;13;0.0
card;7;0.0
Tiny;37;0.0
ornament;2;0.0
settee;4;0.0
aha;6;0.0
nope;11;0.0
badge;1;0.0
bokey;2;0.0
skin;4;0.0
grind;7;0.0
nappie;8;0.0
wipe;3;0.0
ugh;2;0.0
goodness;1;0.0
sake;1;0.0
F;13;0.0
paddle;2;0.0
burst;2;0.0
poor;1;0.0
Sarah;3;0.0
toddler;3;0.0
radio;4;0.0
Kilty;2;0.0
cardigan;1;0.0
straw;5;0.0
dark;6;0.0
pitter;1;0.0
patter;1;0.0
slide;32;0.0
bless;1;0.0
anyhow;1;0.0
save;4;0.0
hassle;1;0.0
em;191;0.002
Rachel;14;0.0
skip;2;0.0
pencil;15;0.0
Cathy;56;0.001
Linda;14;0.0
hiccup;7;0.0
m;18;0.0
Mickey;4;0.0
mou;1;0.0
mouse;22;0.0
n;24;0.0
pink;23;0.0
sharp;5;0.0
sharpen;1;0.0
toilet;22;0.0
ye;4;0.0
Hunch;1;0.0
Hunchback;1;0.0
moo;16;0.0
anyway;5;0.0
circus;4;0.0
photo;1;0.0
movin;2;0.0
Adam;36;0.0
coffee;7;0.0
sugar;7;0.0
freezer;1;0.0
beep;5;0.0
creamy;2;0.0
stripy;3;0.0
wha;39;0.0
bread;16;0.0
ba;13;0.0
Laura;2;0.0
kite;11;0.0
air;6;0.0
flied;7;0.0
far;8;0.0
wind;6;0.0
jigsaw;83;0.001
ruin;1;0.0
trouble;3;0.0
Tilly;6;0.0
Tom;4;0.0
rest;23;0.0
tie;22;0.0
flower;35;0.0
forward;3;0.0
nuisance;2;0.0
wheelbarrow;2;0.0
til;4;0.0
puzzle;14;0.0
pajama;48;0.001
Postman;14;0.0
Pat;17;0.0
Claus;1;0.0
upstairs;26;0.0
as_well;37;0.0
Granda;8;0.0
g;29;0.0
sticky;2;0.0
Rangers;34;0.0
ow;15;0.0
storm;4;0.0
hallway;1;0.0
hall;2;0.0
umbrella;12;0.0
pretend;27;0.0
generally;1;0.0
firm;1;0.0
evidence;1;0.0
h;38;0.0
Nana;1;0.0
Christopher;14;0.0
pull;13;0.0
navy;2;0.0
cowboy;4;0.0
Kyle;4;0.0
fit;38;0.0
fat;13;0.0
dress;29;0.0
rain;8;0.0
Aunty;3;0.0
carpet;3;0.0
towel;5;0.0
edge;1;0.0
sh;10;0.0
so_that;4;0.0
cot;1;0.0
super;2;0.0
stair;17;0.0
stupid;4;0.0
build;50;0.001
puppy;8;0.0
anywhere;5;0.0
nighttime;2;0.0
th;39;0.0
tidy;11;0.0
dish;8;0.0
r;12;0.0
c;41;0.0
free;6;0.0
gr;2;0.0
b;55;0.001
gir;2;0.0
tha;20;0.0
window;25;0.0
tooth;2;0.0
fill;3;0.0
downstairs;7;0.0
special;8;0.0
alone;2;0.0
par;1;0.0
lay;2;0.0
owl;4;0.0
t;74;0.001
sk;1;0.0
pond;3;0.0
float;1;0.0
bounce;4;0.0
Pocahontas;9;0.0
Pocahontus;3;0.0
Granpa;2;0.0
Pot;11;0.0
kill;23;0.0
Smith;2;0.0
bare;2;0.0
tail;10;0.0
lie;19;0.0
elephant;20;0.0
awful;6;0.0
chil;1;0.0
trunk;6;0.0
floor;11;0.0
crash;13;0.0
banana;14;0.0
gown;2;0.0
roller;8;0.0
sort;17;0.0
cloud;1;0.0
comin;8;0.0
pour;3;0.0
bubble;8;0.0
Barbie;26;0.0
toothbrush;2;0.0
mornin;3;0.0
squeeze;3;0.0
teeth;23;0.0
silly;44;0.0
plump;1;0.0
cross;5;0.0
Jones;1;0.0
kitten;1;0.0
telephone;3;0.0
tummy;5;0.0
biscuit;34;0.0
Wheatabix;4;0.0
porridge;14;0.0
wantin;1;0.0
recipe;1;0.0
knee;9;0.0
plaster;6;0.0
sneeze;2;0.0
aw;8;0.0
pair;1;0.0
Noddys;1;0.0
own;27;0.0
enough;10;0.0
feelin;1;0.0
Dinah;2;0.0
got_to;7;0.0
hop;7;0.0
hoppin;1;0.0
watchin;5;0.0
Tweety;1;0.0
necklace;14;0.0
hers;2;0.0
newspaper;2;0.0
magazine;3;0.0
bucket;8;0.0
burn;10;0.0
durin;1;0.0
nothin;10;0.0
goin;25;0.0
jumpy;3;0.0
hoppy;3;0.0
vest;2;0.0
button;11;0.0
pendant;1;0.0
out_of;54;0.001
doggy;4;0.0
eggie;10;0.0
scratch;5;0.0
Buzz;7;0.0
Lightyear;3;0.0
learn;7;0.0
knit;1;0.0
Cinders;1;0.0
Jill;1;0.0
Lisa;3;0.0
hm;30;0.0
sill;1;0.0
shell;5;0.0
worm;2;0.0
feather;2;0.0
beach;11;0.0
sailin;1;0.0
smilin;1;0.0
itchy;2;0.0
bruise;5;0.0
fourteen;6;0.0
themselves;27;0.0
cloth;2;0.0
sweet;15;0.0
tap;2;0.0
wing;4;0.0
click;10;0.0
dr;1;0.0
splash;26;0.0
everywhere;9;0.0
Jungle;10;0.0
Jims;1;0.0
pop;5;0.0
share;5;0.0
tin;3;0.0
bump;9;0.0
Rosie;5;0.0
along;4;0.0
Rag;1;0.0
sail;1;0.0
Jack;15;0.0
noggin;2;0.0
onto;3;0.0
barge;1;0.0
Jordan;2;0.0
nip;3;0.0
floppy;4;0.0
flop;8;0.0
burny;3;0.0
pram;16;0.0
Woody;7;0.0
belly;7;0.0
low;1;0.0
