word;quantity;frequency
fit;667;0.001
Anne;542;0.001
choo;810;0.001
tip;201;0.0
piggy;119;0.0
teddy;451;0.001
dolly;914;0.002
sweep;18;0.0
sheep;247;0.0
baa;96;0.0
spoon;119;0.0
spade;24;0.0
strawberry;221;0.0
tummy;126;0.0
mouth;146;0.0
teeth;54;0.0
brush;82;0.0
drop;205;0.0
toe;196;0.0
fight;29;0.0
peekaboo;142;0.0
cuddle;78;0.0
biscuit;247;0.0
reach;70;0.0
mhm;3911;0.007
Ellie;32;0.0
Alistair;10;0.0
Davey;1;0.0
John;206;0.0
Daddy;1797;0.003
slide;175;0.0
floor;252;0.0
lid;221;0.0
chocolate;151;0.0
pussy;31;0.0
bag;291;0.001
bib;59;0.0
dress;252;0.0
trouser;155;0.0
quickly;13;0.0
clothe;196;0.0
button;95;0.0
Jill;11;0.0
James;283;0.001
whose;19;0.0
cover;134;0.0
ta;36;0.0
nose;230;0.0
tissue;54;0.0
wipe;88;0.0
tower;401;0.001
fishy;26;0.0
lady;453;0.001
Grandad;35;0.0
bottle;162;0.0
whoops_a_daisy;56;0.0
thank_you;388;0.001
sky;107;0.0
lorry;233;0.0
balloon;114;0.0
pink;351;0.001
late;221;0.0
round;807;0.001
ear;144;0.0
hooray;48;0.0
Humpty;15;0.0
t;34;0.0
Humpty_Dumpty;38;0.0
Dumpty;14;0.0
mummie;363;0.001
comfy;4;0.0
bread;109;0.0
cupboard;25;0.0
dummy;8;0.0
clever;22;0.0
pottie;71;0.0
wee;346;0.001
toilet;40;0.0
all_gone;293;0.001
sleepy;17;0.0
pram;87;0.0
cot;48;0.0
hiya;107;0.0
paddle;11;0.0
doggie;106;0.0
Pooh_Bear;79;0.0
poly;1;0.0
lion;273;0.0
tiger;479;0.001
whoopsie;9;0.0
fishie;46;0.0
whale;144;0.0
banana;216;0.0
giraffe;219;0.0
uhoh;288;0.001
penguin;231;0.0
hippo;148;0.0
soup;105;0.0
tuck;16;0.0
sugar;55;0.0
tomato;218;0.0
sausage;178;0.0
melon;29;0.0
grape;296;0.001
carrot;88;0.0
elephant;388;0.001
pickle;20;0.0
toast;97;0.0
tellie;48;0.0
Thomas;988;0.002
tidy;76;0.0
pardon;26;0.0
beepbeep;18;0.0
land;16;0.0
helicopter;70;0.0
whee;301;0.001
pop;112;0.0
monkey;401;0.001
lie;219;0.0
chase;57;0.0
gently;28;0.0
quiet;57;0.0
tasty;8;0.0
err;29;0.0
cream;33;0.0
crisp;73;0.0
jelly;39;0.0
knife;65;0.0
fork;50;0.0
horrid;9;0.0
garden;87;0.0
wall;121;0.0
bench;4;0.0
pig;396;0.001
clipclop;6;0.0
tunnel;382;0.001
brilliant;5;0.0
brumm;572;0.001
panda;402;0.001
squeaky;8;0.0
squeaksqueak;1;0.0
Caroline;961;0.002
pretend;95;0.0
pear;118;0.0
pinch;46;0.0
fat;20;0.0
bang;447;0.001
night_night;95;0.0
heavy;131;0.0
muddle;2;0.0
parrot;33;0.0
snake;182;0.0
tail;151;0.0
horsie;286;0.001
Carl;246;0.0
Ryan;1;0.0
nursery;41;0.0
asleep;128;0.0
dance;66;0.0
settee;23;0.0
tea;575;0.001
set;37;0.0
crispies;3;0.0
pajama;46;0.0
beer;28;0.0
kiss;106;0.0
chicken;286;0.001
bridge;796;0.001
tie;51;0.0
crash;685;0.001
basket;103;0.0
mieow;71;0.0
wing;25;0.0
atechoo;4;0.0
climb;114;0.0
curtain;45;0.0
pull;353;0.001
hmm;137;0.0
enough;72;0.0
smarties;14;0.0
pan;65;0.0
spill;35;0.0
Paddington;10;0.0
cart;6;0.0
window;159;0.0
ow;262;0.0
cardigan;2;0.0
coke;14;0.0
shoulder;44;0.0
quackquack;4;0.0
Duplo;75;0.0
shark;54;0.0
space;28;0.0
cob;21;0.0
celery;15;0.0
pineapple;43;0.0
zoo;61;0.0
brum;138;0.0
steady;32;0.0
seaside;30;0.0
byebye;243;0.0
town;18;0.0
goodness;6;0.0
sneeze;21;0.0
Granddad;143;0.0
further;4;0.0
Kirsty;6;0.0
Emily;5;0.0
Gran;2;0.0
page;119;0.0
Momma;1;0.0
snail;47;0.0
glass;76;0.0
snow;63;0.0
splash;57;0.0
bike;105;0.0
ice;363;0.001
sandwich;76;0.0
shush;47;0.0
blow;119;0.0
weed;16;0.0
dirty;166;0.0
bubble;49;0.0
letter;89;0.0
present;54;0.0
road;199;0.0
silly;146;0.0
nappie;34;0.0
Mum_Mum;4;0.0
closer;3;0.0
Rachel;85;0.0
lovely;51;0.0
Da_bear;3;0.0
Ring_roses;4;0.0
cheeky;17;0.0
mannie;5;0.0
ahem;1;0.0
brick;679;0.001
careful;68;0.0
bibbie;4;0.0
bus;280;0.0
castle;85;0.0
muddy;10;0.0
wiggly;20;0.0
worm;64;0.0
crayon;88;0.0
penny;141;0.0
plate;90;0.0
darling;15;0.0
bare;17;0.0
bot;10;0.0
wake;150;0.0
Caitlin;42;0.0
super;13;0.0
Tumble_town;1;0.0
sticky;87;0.0
cloth;13;0.0
phone;115;0.0
ring;144;0.0
hurry;7;0.0
peach;52;0.0
ribbon;30;0.0
wheel;408;0.001
driver;255;0.0
lap;16;0.0
booby;6;0.0
mend;123;0.0
belly;7;0.0
rascal;5;0.0
pub;18;0.0
key;134;0.0
out_of;119;0.0
stamp;47;0.0
tot;2;0.0
beam;1;0.0
downstairs;111;0.0
sweet;66;0.0
telephone;35;0.0
slipper;88;0.0
Annes;1;0.0
quack;44;0.0
duckie;2;0.0
woofwoof;3;0.0
woof;63;0.0
Spot;109;0.0
Soppy_socks;8;0.0
behind;48;0.0
stair;51;0.0
knickers;58;0.0
saucepan;10;0.0
king;43;0.0
chippie;1;0.0
stroke;22;0.0
near;27;0.0
tight;62;0.0
knock;263;0.0
bedtime;40;0.0
dice;4;0.0
ba;1;0.0
lick;66;0.0
bucket;65;0.0
Happy_Birt;1;0.0
happy_birthday;112;0.0
tread;11;0.0
sweetheart;10;0.0
gate;203;0.0
goat;115;0.0
mushroom;20;0.0
chick;54;0.0
nest;7;0.0
scarecrow;14;0.0
tear;6;0.0
barrow;5;0.0
swim;173;0.0
seesaw;128;0.0
Margory;3;0.0
Daw;36;0.0
Asda;7;0.0
build;439;0.001
purple;157;0.0
smile;37;0.0
yoghurt;13;0.0
sweetie;68;0.0
post;72;0.0
board;31;0.0
rid;45;0.0
steer;26;0.0
smack;47;0.0
Ribena;38;0.0
pour;53;0.0
next_to;75;0.0
fee;35;0.0
have_to;354;0.001
fair;32;0.0
Goose_Fair;2;0.0
pot;37;0.0
Billy;28;0.0
blanket;78;0.0
Old_MacDonald;8;0.0
ee_yay_;1;0.0
moo;161;0.0
jam;31;0.0
Lucy;58;0.0
peep;206;0.0
Pb_bear;2;0.0
trac;1;0.0
parcel;11;0.0
piggie;3;0.0
candle;55;0.0
zebra;14;0.0
dark;110;0.0
breeze;1;0.0
crawl;23;0.0
upon;2;0.0
pus;3;0.0
flower;106;0.0
lolly;37;0.0
ne;1;0.0
tiny;91;0.0
unlock;2;0.0
fuss;7;0.0
poorly;147;0.0
hospital;33;0.0
m;45;0.0
snuggle;11;0.0
properly;35;0.0
bee;52;0.0
Mister_Spider;1;0.0
mud;49;0.0
photo;7;0.0
spaghetti;21;0.0
wrap;32;0.0
nicely;15;0.0
kneel;9;0.0
got_to;190;0.0
currant;9;0.0
umbrella;23;0.0
