word;relative_frequency;corpus_commonality
jelly;11.5000;4
doggie;33.7500;4
uhhuh;101.0000;2
lion;85.2500;4
clown;22.3333;3
caravan;10.3333;3
foal;2.3333;3
og;1.0000;1
wee;237.0000;4
Coke;12.0000;2
Daddy;480.0000;4
Milky;1.5000;2
video;34.5000;2
O;179.0000;3
ring;39.2500;4
quack;15.0000;4
nap;3.0000;2
swan;5.0000;3
brekkie;1.0000;1
sausage;48.2500;4
bobble;18.0000;2
present;47.0000;2
candle;20.6667;3
Tots;8.5000;2
Bangor;2.0000;1
bang;158.3333;3
morrow;1.0000;2
ho;9.0000;2
Mmn;1.0000;1
beside;13.6667;3
bone;18.2500;4
pacifier;19.0000;1
count;18.3333;3
teddy;126.7500;4
mummie;195.0000;3
drawer;4.3333;3
page;46.6667;3
clothe;55.2500;4
sponge;1.5000;2
soap;9.0000;2
swim;52.7500;4
Ruth;33.0000;2
bag;90.0000;4
crisp;21.0000;4
Noddy;49.0000;2
jumper;24.0000;2
wet;80.6667;3
toast;29.5000;4
fudge;7.5000;2
Santa;38.0000;2
pinch;16.3333;3
basket;28.0000;4
digger;121.5000;2
behind;21.2500;4
blind;4.0000;1
birdie;26.0000;3
jammies;2.0000;1
magical;1.0000;1
sleigh;3.5000;2
yo;12.0000;2
gingerbread;1.5000;2
snowman;45.0000;2
chimney;35.0000;3
block;20.3333;3
chocolate;43.2500;4
ale;1.0000;1
beer;11.5000;4
couple;5.3333;3
phone;45.0000;3
sofa;11.5000;2
seal;18.5000;2
sweetie;26.0000;4
sore;34.6667;3
smoke;27.0000;3
bike;53.3333;3
tractor;87.5000;4
butterfly;25.3333;3
blow;37.2500;4
balloon;41.6667;3
Abbeycentre;3.0000;1
past;32.6667;3
trouser;81.0000;2
yuck;12.0000;3
puttin;4.0000;1
ear;43.2500;4
uh;47.0000;3
cutter;9.0000;2
injection;4.3333;3
prescription;6.0000;1
monster;54.3333;3
pension;2.0000;1
stayin;2.0000;1
lip;5.0000;3
cryin;15.0000;1
Pauline;2.0000;1
playin;10.0000;1
all_gone;76.0000;4
Johnston;2.0000;1
cornflakes;8.0000;4
stinkin;5.0000;1
ironin;4.0000;1
markin;1.0000;1
mark;14.0000;2
dolly;239.0000;4
stink;9.0000;1
brush;25.2500;4
have_to;171.0000;3
talc;1.0000;1
gettin;15.0000;1
walkin;1.0000;1
tryin;8.0000;1
though;7.0000;3
ssh;19.0000;2
drinkin;3.0000;1
tea;151.0000;4
set;15.6667;3
jackal;1.0000;1
Sleepy;7.5000;4
Doc;3.5000;2
chick;19.0000;3
wheel;108.2500;4
trolley;12.0000;2
Mister;13.0000;2
Shaw;2.0000;1
station;66.3333;3
clap;4.6667;3
singin;2.0000;1
clappin;2.0000;1
smell;9.3333;3
bus;73.5000;4
round;218.7500;4
garden;24.5000;4
eensie;13.0000;2
weensie;8.5000;2
climb;37.7500;4
drain;1.0000;3
runnin;4.0000;2
pea;31.6667;3
dinosaur;52.3333;3
soup;38.6667;3
thunder;3.0000;3
child;19.5000;4
Barney;10.5000;2
himself;12.3333;3
jumpin;3.0000;1
smack;16.0000;4
sittin;8.0000;1
pig;106.0000;4
cover;36.5000;4
bottle;44.0000;4
once;6.5000;2
alive;15.0000;2
makin;7.0000;1
Calpol;1.5000;2
mouth;43.0000;4
cream;10.7500;4
lipstick;21.0000;2
lovely;40.0000;2
dirty;45.5000;4
waken;1.6667;3
fee;12.5000;4
smile;14.3333;3
longer;2.2500;4
cherry;12.0000;2
street;5.0000;2
rollin;6.0000;1
Barbara;3.3333;3
herself;6.0000;2
Granny;43.0000;3
McAteer;1.0000;1
without;1.5000;2
nanny;11.0000;4
startin;5.0000;1
tall;15.0000;3
doin;14.0000;1
pillow;8.0000;4
sandwich;22.0000;4
Pingu;109.0000;2
tomato;57.5000;4
oops;3.5000;2
daisy;12.6667;3
eh;21.3333;3
Abbey;3.0000;1
centre;10.0000;1
snow;21.0000;4
knife;18.5000;4
fork;14.7500;4
eee;11.0000;1
its;10.3333;3
spaghetti;13.6667;3
fifty;5.5000;2
pound;49.0000;2
lady;116.2500;4
Jonsey;5.0000;1
chest;3.6667;3
shout;14.0000;2
behave;3.0000;2
carrot;24.2500;4
pepper;15.7500;4
noise;54.7500;4
petrol;53.0000;2
bandage;4.0000;2
loose;4.0000;3
och;7.0000;1
rubber;1.0000;1
wood;8.0000;3
cheeky;11.3333;3
coal;21.0000;2
whistle;36.0000;2
Jade;4.5000;2
heavy;38.0000;4
lump;6.0000;2
nearly;25.0000;4
spill;13.6667;3
Raggy;2.0000;1
runned;8.5000;2
Jim;19.5000;2
hospital;10.0000;4
lighter;1.5000;2
rice;4.0000;3
thank_you;102.7500;4
asleep;35.0000;4
nail;22.0000;3
hammer;89.5000;2
hammerin;3.0000;1
noisy;18.2500;4
allow;12.0000;3
slipper;33.0000;3
aeroplane;23.7500;4
boom;6.0000;3
naw;15.0000;1
bouncy;7.0000;2
castle;42.0000;3
whee;106.3333;3
ladder;28.0000;4
card;19.0000;3
Tiny;43.0000;3
ornament;2.0000;1
settee;13.5000;2
aha;6.0000;1
nope;6.0000;2
badge;6.5000;2
bokey;2.0000;1
skin;9.3333;3
grind;8.0000;2
nappie;11.0000;4
wipe;23.7500;4
ugh;13.0000;2
goodness;3.5000;2
sake;1.0000;1
F;15.0000;2
paddle;4.6667;3
burst;17.5000;2
poor;39.5000;4
Sarah;5.0000;3
toddler;2.5000;2
radio;8.5000;2
Kilty;2.0000;1
cardigan;1.2500;4
straw;5.5000;4
dark;29.7500;4
pitter;1.0000;1
patter;2.0000;2
slide;53.0000;4
bless;7.3333;3
anyhow;1.0000;1
save;5.3333;3
hassle;1.0000;1
em;97.0000;2
Rachel;49.5000;2
skip;3.6667;3
pencil;13.0000;3
Cathy;56.0000;1
Linda;14.0000;1
hiccup;9.5000;2
m;22.3333;3
Mickey;4.5000;2
mou;1.0000;1
mouse;34.0000;4
n;15.6667;3
pink;95.2500;4
sharp;10.5000;2
sharpen;1.0000;2
toilet;21.0000;3
ye;2.5000;2
Hunch;1.0000;1
Hunchback;1.0000;1
moo;45.2500;4
anyway;3.3333;3
circus;4.0000;3
photo;4.0000;2
movin;2.0000;2
Adam;14.0000;3
coffee;19.0000;4
sugar;16.0000;4
freezer;2.6667;3
beep;100.0000;3
creamy;3.5000;2
stripy;4.0000;2
wha;20.0000;2
bread;32.5000;4
ba;5.0000;3
Laura;2.3333;3
kite;19.3333;3
air;10.0000;3
flied;7.0000;1
far;5.0000;4
wind;15.0000;4
jigsaw;32.0000;4
ruin;1.0000;2
trouble;6.0000;2
Tilly;15.0000;2
Tom;25.6667;3
rest;25.0000;3
tie;25.0000;3
flower;35.7500;4
forward;5.6667;3
nuisance;1.5000;2
wheelbarrow;4.6667;3
til;4.0000;1
puzzle;23.3333;3
pajama;31.6667;3
Postman;15.0000;2
Pat;21.6667;3
Claus;1.0000;1
upstairs;39.5000;4
as_well;72.6667;3
Granda;8.0000;1
g;14.6667;3
sticky;30.0000;3
Rangers;34.0000;1
ow;70.2500;4
storm;3.0000;2
hallway;1.0000;1
hall;2.5000;2
umbrella;12.0000;3
pretend;42.3333;3
generally;1.0000;1
firm;1.0000;1
evidence;1.0000;1
h;17.6667;3
Nana;108.6667;3
Christopher;7.5000;2
pull;93.0000;4
navy;2.0000;1
cowboy;5.0000;2
Kyle;4.0000;1
fit;178.5000;4
fat;11.6667;3
dress;71.0000;4
rain;53.2500;4
Aunty;4.0000;2
carpet;13.6667;3
towel;27.5000;2
edge;7.0000;2
sh;5.5000;2
so_that;3.0000;2
cot;16.6667;3
super;5.3333;3
stair;17.5000;4
stupid;3.6667;3
build;123.2500;4
puppy;16.7500;4
anywhere;5.3333;3
nighttime;1.5000;2
th;14.3333;3
tidy;22.5000;4
dish;7.3333;3
r;14.0000;3
c;30.6667;3
free;3.5000;2
gr;2.0000;1
b;50.6667;3
gir;2.0000;1
tha;20.0000;1
window;46.5000;4
tooth;2.0000;1
fill;8.0000;2
downstairs;30.2500;4
special;13.0000;3
alone;8.6667;3
par;1.0000;1
lay;9.0000;3
owl;11.0000;2
t;37.6667;3
sk;1.0000;1
pond;16.3333;3
float;2.0000;2
bounce;7.0000;3
Pocahontas;9.0000;1
Pocahontus;3.0000;1
Granpa;2.0000;1
Pot;12.5000;4
kill;12.5000;2
Smith;2.0000;1
bare;6.6667;3
tail;54.0000;3
lie;60.7500;4
elephant;136.3333;3
awful;6.0000;1
chil;1.0000;1
trunk;21.5000;2
floor;66.2500;4
crash;233.6667;3
banana;58.5000;4
gown;4.3333;3
roller;15.5000;2
sort;15.6667;3
cloud;12.0000;2
comin;4.5000;2
pour;20.0000;3
bubble;15.0000;4
