word;commonality
aunt;1
mom;6
Mrs.;1
am;5
wa;7
said;6
playing;2
going;6
made;4
played;1
are;6
loneliness;1
decided;1
feast;1
drainage;1
level;2
earth;1
penpal;1
reading;1
math;1
cello;1
city;1
vacation;1
lots;1
soccer;1
chewing;1
art;1
pilgrim;1
center;1
fourth;1
cute;1
doe;5
climate;1
above;1
butte;1
butt;1
mall;1
flow;1
found;4
crop;1
Lincoln;1
december;1
november;1
thanksgiving;1
Nebraska;1
Indians;1
Indianapolis;1
Nebraskas;1
beet;1
mile;1
alot;1
elevation;1
hobby;1
disadvantage;1
cranberry;1
famous;1
dwant;1
woh;1
coming;2
making;2
hah;1
done;4
nah;1
shhh;1
oow;1
telling;1
broke;1
stuck;1
finished;2
guy;5
lost;1
peanut butter;1
potty;1
bathroom;2
cereal;1
cookie;2
good bye;1
thank you;1
tired;1
all done;1
Katie;1
stomp;1
Aaron;1
Colby;1
doghouse;1
noodle;1
playhouse;1
mommy;2
Missy;1
Susie;1
trying;2
gone;1
ate;1
scissors;1
ok;2
used;1
candy;1
cause;1
hum;1
eating;1
getting;1
looking;1
fixed;1
wanted;1
being;1
dude;1
dang;1
pas;1
rhombus;1
hell;1
polygon;1
awesome;1
homie;1
class;1
bro;1
Ms;1
cappuccino;1
damn;1
dollar;1
hate;1
weird;1
trapezoid;1
dumb;1
hexagon;1
serve;1
grade;1
zookeeper;1
Chinese;1
narrow;1
rotten;1
movie;1
parallelogram;1
bagel;1
drama;1
recording;1
Germany;1
gum;1
basketball;1
bing;1
English;1
fuck;1
homework;1
Thai;1
