word;commonality;cobertura;word_order
the;9;0.028;1
in;9;0.041;2
on;9;0.048;3
that;9;0.072;4
go;9;0.091;5
I;9;0.138;6
be;9;0.203;7
it;9;0.228;8
you;9;0.249;9
my;9;0.26;10
out;9;0.262;11
and;8;0.283;12
but;8;0.285;13
one;8;0.3;14
a;8;0.325;15
all;8;0.33;16
this;8;0.341;17
some;8;0.343;18
there;8;0.358;19
like;8;0.362;20
with;8;0.366;21
of;8;0.37;22
at;8;0.373;23
for;8;0.377;24
want;8;0.387;25
home;8;0.387;26
get;8;0.399;27
they;8;0.406;28
she;8;0.412;29
her;8;0.414;30
his;8;0.417;31
then;8;0.419;32
not;8;0.439;33
up;8;0.444;34
to;8;0.456;35
do;8;0.483;36
have;8;0.493;37
know;8;0.501;38
when;8;0.503;39
no;8;0.519;40
yes;8;0.526;41
because;7;0.527;42
over;7;0.529;43
good;7;0.529;44
big;7;0.534;45
will;7;0.54;46
can;7;0.544;47
eat;7;0.546;48
today;7;0.546;49
dad;7;0.547;50
time;7;0.548;51
see;7;0.553;52
we;7;0.557;53
me;7;0.563;54
he;7;0.576;55
them;7;0.582;56
our;7;0.583;57
so;7;0.584;58
too;7;0.586;59
wa;7;0.586;60
come;7;0.591;61
say;7;0.593;62
put;7;0.598;63
play;7;0.602;64
make;7;0.603;65
what;7;0.617;66
here;7;0.622;67
two;6;0.625;68
if;6;0.626;69
little;6;0.626;70
ball;6;0.626;71
first;6;0.627;72
house;6;0.628;73
people;6;0.629;74
back;6;0.63;75
give;6;0.632;76
ha;6;0.633;77
thing;6;0.635;78
how;6;0.636;79
your;6;0.639;80
something;6;0.639;81
watch;6;0.64;82
just;6;0.643;83
off;6;0.645;84
mine;6;0.646;85
more;6;0.647;86
help;6;0.648;87
new;5;0.648;88
friend;5;0.649;89
lot;5;0.65;90
water;5;0.651;91
book;5;0.652;92
dog;5;0.652;93
very;5;0.653;94
take;5;0.654;95
about;5;0.655;96
by;5;0.655;97
think;5;0.657;98
now;5;0.66;99
name;5;0.661;100
could;5;0.662;101
tell;5;0.662;102
find;5;0.663;103
car;5;0.664;104
look;5;0.67;105
let;5;0.672;106
down;5;0.675;107
where;5;0.68;108
need;5;0.682;109
him;5;0.685;110
turn;5;0.685;111
away;5;0.687;112
sit;5;0.688;113
these;5;0.69;114
baby;5;0.691;115
who;5;0.692;116
why;5;0.695;117
other;5;0.697;118
please;5;0.697;119
those;5;0.697;120
right;5;0.699;121
open;5;0.7;122
lunch;5;0.7;123
three;5;0.701;124
us;5;0.702;125
hand;5;0.702;126
stop;5;0.703;127
outside;4;0.703;128
after;4;0.703;129
next;4;0.703;130
teacher;4;0.704;131
school;4;0.704;132
day;4;0.705;133
love;4;0.706;134
sister;4;0.706;135
or;4;0.706;136
as;4;0.706;137
bye;4;0.707;138
maybe;4;0.707;139
food;4;0.707;140
well;4;0.71;141
many;4;0.711;142
fall;4;0.711;143
their;4;0.712;144
yeah;4;0.735;145
oh;4;0.739;146
okay;4;0.74;147
move;4;0.74;148
five;4;0.741;149
stay;4;0.742;150
show;4;0.742;151
again;4;0.744;152
bite;4;0.745;153
Way;4;0.746;154
wash;4;0.746;155
around;4;0.746;156
boy;4;0.748;157
else;4;0.748;158
girl;4;0.749;159
juice;4;0.75;160
hi;4;0.75;161
an;3;0.752;162
into;3;0.752;163
last;3;0.753;164
nice;3;0.753;165
game;3;0.753;166
jump;3;0.754;167
cat;3;0.754;168
saw;3;0.755;169
brother;3;0.755;170
really;3;0.756;171
fun;3;0.756;172
cool;3;0.756;173
old;3;0.757;174
from;3;0.757;175
high;3;0.758;176
read;3;0.759;177
middle;3;0.759;178
stuff;3;0.759;179
call;3;0.76;180
much;3;0.76;181
kind;3;0.76;182
foot;3;0.76;183
long;3;0.76;184
hey;3;0.761;185
um;3;0.763;186
ah;3;0.764;187
hello;3;0.765;188
only;3;0.765;189
remember;3;0.766;190
than;3;0.766;191
yours;3;0.766;192
four;3;0.767;193
run;3;0.768;194
throw;3;0.768;195
drink;3;0.769;196
leave;3;0.769;197
push;3;0.77;198
wait;3;0.77;199
bit;3;0.77;200
green;3;0.771;201
pick;3;0.771;202
still;3;0.771;203
catch;3;0.772;204
man;3;0.773;205
shoe;3;0.774;206
finish;3;0.775;207
head;3;0.775;208
which;3;0.775;209
bad;3;0.776;210
table;3;0.776;211
chair;3;0.777;212
door;3;0.777;213
hot;3;0.777;214
room;3;0.778;215
another;3;0.779;216
red;3;0.78;217
use;3;0.781;218
cut;3;0.781;219
already;3;0.781;220
try;3;0.782;221
Ready;3;0.782;222
any;3;0.783;223
bird;2;0.783;224
favorite;2;0.783;225
frog;2;0.783;226
field;2;0.783;227
egg;2;0.784;228
family;2;0.784;229
birthday;2;0.784;230
sometimes;2;0.784;231
pretty;2;0.784;232
bear;2;0.785;233
buy;2;0.785;234
would;2;0.786;235
potato;2;0.786;236
money;2;0.787;237
great;2;0.787;238
start;2;0.787;239
together;2;0.787;240
level;2;0.787;241
rock;2;0.787;242
year;2;0.787;243
write;2;0.788;244
sock;2;0.788;245
always;2;0.788;246
Grandpa;2;0.788;247
drive;2;0.788;248
roll;2;0.789;249
dinner;2;0.789;250
hill;2;0.789;251
Mrs;2;0.789;252
Christmas;2;0.79;253
fine;2;0.79;254
flat;2;0.79;255
cannot;2;0.792;256
spider;2;0.792;257
Mum;2;0.793;258
hat;2;0.794;259
kick;2;0.794;260
sand;2;0.794;261
keep;2;0.795;262
apple;2;0.795;263
better;2;0.795;264
seven;2;0.795;265
sorry;2;0.796;266
break;2;0.798;267
stick;2;0.798;268
bring;2;0.799;269
everybody;2;0.799;270
funny;2;0.8;271
lose;2;0.8;272
close;2;0.8;273
happy;2;0.801;274
toy;2;0.802;275
bed;2;0.803;276
cookie;2;0.803;277
eye;2;0.803;278
inside;2;0.804;279
leg;2;0.804;280
milk;2;0.804;281
kitchen;2;0.804;282
ride;2;0.804;283
work;2;0.805;284
cold;2;0.805;285
walk;2;0.806;286
paint;2;0.806;287
blue;2;0.807;288
hair;2;0.807;289
yet;2;0.807;290
mommy;2;0.808;291
sure;2;0.808;292
thank;2;0.808;293
fish;2;0.808;294
glue;2;0.808;295
real;2;0.809;296
tape;2;0.809;297
top;2;0.809;298
bell;2;0.809;299
black;2;0.81;300
line;2;0.81;301
suppose;2;0.81;302
fire;2;0.81;303
hear;2;0.81;304
huh;2;0.811;305
side;2;0.811;306
whole;2;0.811;307
even;2;0.812;308
mean;2;0.812;309
face;2;0.812;310
hold;2;0.813;311
same;2;0.813;312
everything;2;0.813;313
somebody;2;0.813;314
someone;2;0.813;315
never;2;0.814;316
brown;1;0.814;317
best;1;0.814;318
miss;1;0.814;319
cousin;1;0.815;320
pool;1;0.815;321
trip;1;0.815;322
Aunt;1;0.815;323
bunny;1;0.815;324
rabbit;1;0.815;325
Easter;1;0.815;326
every;1;0.815;327
dear;1;0.815;328
live;1;0.816;329
shop;1;0.816;330
anymore;1;0.816;331
full;1;0.816;332
holiday;1;0.816;333
soon;1;0.817;334
usually;1;0.817;335
picture;1;0.817;336
tomorrow;1;0.817;337
dry;1;0.817;338
forest;1;0.817;339
city;1;0.817;340
men;1;0.817;341
place;1;0.817;342
park;1;0.818;343
cant;1;0.818;344
meet;1;0.818;345
arm;1;0.818;346
chew;1;0.818;347
mother;1;0.818;348
carry;1;0.819;349
afraid;1;0.819;350
turkey;1;0.819;351
pen;1;0.819;352
corner;1;0.819;353
slip;1;0.819;354
Pie;1;0.819;355
change;1;0.819;356
race;1;0.819;357
end;1;0.819;358
cute;1;0.819;359
sea;1;0.819;360
bowl;1;0.819;361
grow;1;0.82;362
circle;1;0.82;363
lane;1;0.82;364
Indians;1;0.82;365
Thursday;1;0.82;366
dentist;1;0.82;367
ago;1;0.82;368
mix;1;0.82;369
summer;1;0.82;370
begin;1;0.82;371
coin;1;0.82;372
Spiderman;1;0.82;373
yep;1;0.821;374
Mummy;1;0.822;375
hah;1;0.822;376
quick;1;0.822;377
hole;1;0.823;378
nah;1;0.823;379
naughty;1;0.823;380
dig;1;0.823;381
yum;1;0.823;382
seat;1;0.823;383
bottom;1;0.823;384
bin;1;0.823;385
step;1;0.824;386
fell;1;0.825;387
bum;1;0.825;388
should;1;0.825;389
policeman;1;0.825;390
thirsty;1;0.825;391
under;1;0.825;392
Grandma;1;0.825;393
hungry;1;0.826;394
sick;1;0.826;395
bath;1;0.826;396
breakfast;1;0.826;397
coat;1;0.826;398
garage;1;0.826;399
hurt;1;0.826;400
music;1;0.827;401
sad;1;0.827;402
store;1;0.827;403
story;1;0.827;404
tv;1;0.827;405
mad;1;0.828;406
pant;1;0.828;407
doll;1;0.828;408
shirt;1;0.828;409
tire;1;0.828;410
sleep;1;0.829;411
Katie;1;0.829;412
boo;1;0.829;413
white;1;0.829;414
yellow;1;0.83;415
whoa;1;0.83;416
noodle;1;0.83;417
cracker;1;0.83;418
butter;1;0.83;419
orange;1;0.83;420
boat;1;0.831;421
light;1;0.831;422
stand;1;0.831;423
tickle;1;0.831;424
train;1;0.832;425
whoop;1;0.832;426
cake;1;0.832;427
clean;1;0.832;428
color;1;0.833;429
Jamie;1;0.833;430
party;1;0.833;431
wand;1;0.833;432
cow;1;0.833;433
farm;1;0.834;434
hide;1;0.834;435
scissor;1;0.834;436
fence;1;0.834;437
through;1;0.834;438
different;1;0.835;439
fly;1;0.835;440
messy;1;0.835;441
shut;1;0.835;442
Bean;1;0.835;443
box;1;0.835;444
cause;1;0.839;445
cup;1;0.84;446
doctor;1;0.84;447
duck;1;0.841;448
finger;1;0.841;449
horse;1;0.842;450
hum;1;0.842;451
piece;1;0.842;452
bug;1;0.842;453
tree;1;0.842;454
turtle;1;0.842;455
swing;1;0.843;456
fix;1;0.843;457
lift;1;0.843;458
pet;1;0.843;459
leaf;1;0.843;460
ya;1;0.843;461
both;1;0.844;462
before;1;0.844;463
while;1;0.844;464
must;1;0.844;465
ours;1;0.844;466
myself;1;0.844;467
somewhere;1;0.844;468
hour;1;0.844;469
microphone;1;0.844;470
miss;1;0.845;471
alright;1;0.845;472
dude;1;0.845;473
record;1;0.845;474
talk;1;0.845;475
minute;1;0.845;476
pass;1;0.845;477
word;1;0.845;478
God;1;0.845;479
actually;1;0.846;480
wish;1;0.846;481
night;1;0.846;482
thirty;1;0.846;483
eight;1;0.847;484
nine;1;0.847;485
sign;1;0.847;486
shoot;1;0.847;487
triangle;1;0.847;488
Mr;1;0.847;489
twenty;1;0.847;490
feel;1;0.848;491
hard;1;0.848;492
ten;1;0.849;493
suck;1;0.849;494
class;1;0.849;495
twelve;1;0.849;496
six;1;0.849;497
crack;1;0.849;498
Pocket;1;0.849;499
ask;1;0.849;500
draw;1;0.85;501
goal;1;0.85;502
poo;1;0.85;503
recorder;1;0.85;504
win;1;0.85;505
forget;1;0.85;506
kid;1;0.85;507
animal;1;0.851;508
cook;1;0.851;509
excuse;1;0.851;510
touch;1;0.851;511
hit;1;0.852;512
hundred;1;0.852;513
hate;1;0.852;514
anything;1;0.852;515
guess;1;0.852;516
press;1;0.852;517
small;1;0.852;518
clock;1;0.852;519
ever;1;0.852;520
taste;1;0.852;521
nothing;1;0.853;522
whatever;1;0.853;523
blood;1;0.853;524
half;1;0.853;525
smash;1;0.853;526
wear;1;0.853;527
wow;1;0.853;528
wrong;1;0.854;529
rotten;1;0.854;530
easy;1;0.854;531
sun;1;0.854;532
happen;1;0.854;533
number;1;0.854;534
meat;1;0.854;535
sauce;1;0.854;536
sixty;1;0.854;537
chip;1;0.854;538
cry;1;0.855;539
eleven;1;0.855;540
sing;1;0.855;541
jingle;1;0.855;542
morning;1;0.855;543
song;1;0.855;544
point;1;0.855;545
shape;1;0.855;546
everyone;1;0.856;547
fast;1;0.856;548
father;1;0.856;549
fifteen;1;0.856;550
gum;1;0.856;551
laugh;1;0.856;552
listen;1;0.856;553
mess;1;0.856;554
Punch;1;0.856;555
die;1;0.856;556
thirteen;1;0.856;557
basketball;1;0.856;558
beat;1;0.856;559
bing;1;0.856;560
cheese;1;0.856;561
homework;1;0.857;562
paper;1;0.857;563
yesterday;1;0.857;564
