word;commonality;cobertura;word_order
the;9;0.001;1
in;9;0.001;2
on;9;0.002;3
that;9;0.004;4
go;9;0.008;5
I;9;0.009;6
be;9;0.01;7
it;9;0.01;8
you;9;0.011;9
my;9;0.012;10
out;9;0.013;11
and;8;0.014;12
one;8;0.015;13
a;8;0.016;14
all;8;0.018;15
this;8;0.018;16
some;8;0.019;17
there;8;0.021;18
like;8;0.025;19
with;8;0.026;20
of;8;0.027;21
at;8;0.027;22
for;8;0.028;23
want;8;0.03;24
home;8;0.031;25
get;8;0.035;26
they;8;0.035;27
she;8;0.036;28
her;8;0.038;29
his;8;0.038;30
then;8;0.039;31
not;8;0.04;32
up;8;0.042;33
to;8;0.043;34
do;8;0.046;35
have;8;0.048;36
know;8;0.049;37
when;8;0.05;38
no;8;0.052;39
yes;8;0.053;40
because;7;0.055;41
over;7;0.056;42
good;7;0.057;43
big;7;0.058;44
will;7;0.058;45
can;7;0.059;46
eat;7;0.063;47
today;7;0.063;48
dad;7;0.066;49
time;7;0.067;50
see;7;0.069;51
we;7;0.07;52
me;7;0.071;53
he;7;0.072;54
them;7;0.072;55
so;7;0.073;56
too;7;0.074;57
come;7;0.078;58
say;7;0.08;59
put;7;0.083;60
play;7;0.086;61
make;7;0.089;62
what;7;0.089;63
here;7;0.09;64
two;6;0.091;65
if;6;0.092;66
little;6;0.092;67
ball;6;0.093;68
first;6;0.094;69
house;6;0.095;70
people;6;0.096;71
back;6;0.098;72
give;6;0.1;73
thing;6;0.101;74
how;6;0.102;75
your;6;0.103;76
something;6;0.103;77
watch;6;0.106;78
just;6;0.106;79
off;6;0.108;80
mine;6;0.113;81
more;6;0.114;82
help;6;0.115;83
new;5;0.116;84
lot;5;0.117;85
water;5;0.117;86
book;5;0.118;87
dog;5;0.119;88
very;5;0.12;89
take;5;0.121;90
about;5;0.122;91
by;5;0.123;92
think;5;0.124;93
now;5;0.125;94
name;5;0.125;95
could;5;0.126;96
tell;5;0.128;97
find;5;0.132;98
car;5;0.133;99
look;5;0.136;100
let;5;0.137;101
down;5;0.139;102
where;5;0.14;103
need;5;0.142;104
him;5;0.143;105
turn;5;0.146;106
away;5;0.148;107
sit;5;0.152;108
these;5;0.153;109
baby;5;0.154;110
why;5;0.154;111
other;5;0.155;112
please;5;0.156;113
those;5;0.157;114
right;5;0.159;115
open;5;0.163;116
lunch;5;0.164;117
three;5;0.165;118
hand;5;0.165;119
stop;5;0.167;120
outside;4;0.168;121
after;4;0.169;122
next;4;0.17;123
teacher;4;0.171;124
school;4;0.172;125
day;4;0.173;126
love;4;0.174;127
as;4;0.175;128
bye;4;0.176;129
well;4;0.177;130
many;4;0.178;131
fall;4;0.184;132
oh;4;0.185;133
move;4;0.186;134
stay;4;0.188;135
show;4;0.19;136
again;4;0.191;137
bite;4;0.193;138
way;4;0.194;139
wash;4;0.196;140
around;4;0.196;141
boy;4;0.198;142
girl;4;0.2;143
juice;4;0.201;144
hi;4;0.201;145
an;3;0.202;146
last;3;0.203;147
nice;3;0.204;148
jump;3;0.206;149
cat;3;0.207;150
saw;3;0.208;151
really;3;0.209;152
from;3;0.21;153
high;3;0.21;154
read;3;0.213;155
middle;3;0.213;156
call;3;0.215;157
kind;3;0.216;158
foot;3;0.217;159
long;3;0.219;160
ah;3;0.221;161
hello;3;0.221;162
only;3;0.222;163
yours;3;0.223;164
four;3;0.224;165
run;3;0.224;166
throw;3;0.226;167
drink;3;0.228;168
leave;3;0.23;169
push;3;0.232;170
wait;3;0.234;171
bit;3;0.235;172
green;3;0.235;173
pick;3;0.236;174
still;3;0.237;175
catch;3;0.239;176
man;3;0.24;177
shoe;3;0.242;178
finish;3;0.245;179
head;3;0.246;180
table;3;0.247;181
chair;3;0.248;182
door;3;0.249;183
hot;3;0.249;184
room;3;0.25;185
another;3;0.251;186
red;3;0.252;187
cut;3;0.254;188
already;3;0.255;189
try;3;0.257;190
ready;3;0.258;191
any;3;0.259;192
bird;2;0.26;193
egg;2;0.261;194
birthday;2;0.262;195
pretty;2;0.263;196
bear;2;0.265;197
buy;2;0.267;198
would;2;0.268;199
potato;2;0.269;200
money;2;0.269;201
great;2;0.27;202
write;2;0.272;203
sock;2;0.272;204
Grandpa;2;0.274;205
drive;2;0.275;206
dinner;2;0.275;207
christmas;2;0.277;208
flat;2;0.277;209
cannot;2;0.283;210
spider;2;0.283;211
Mum;2;0.285;212
hat;2;0.286;213
kick;2;0.287;214
keep;2;0.289;215
apple;2;0.29;216
better;2;0.292;217
sorry;2;0.293;218
break;2;0.294;219
stick;2;0.295;220
bring;2;0.297;221
everybody;2;0.298;222
funny;2;0.3;223
lose;2;0.303;224
close;2;0.306;225
happy;2;0.308;226
toy;2;0.309;227
bed;2;0.312;228
eye;2;0.313;229
inside;2;0.314;230
leg;2;0.315;231
milk;2;0.316;232
kitchen;2;0.317;233
ride;2;0.318;234
work;2;0.32;235
cold;2;0.322;236
walk;2;0.323;237
paint;2;0.324;238
blue;2;0.325;239
hair;2;0.327;240
yet;2;0.328;241
sure;2;0.328;242
fish;2;0.33;243
top;2;0.331;244
black;2;0.332;245
fire;2;0.333;246
hear;2;0.334;247
side;2;0.335;248
mean;2;0.336;249
hold;2;0.338;250
same;2;0.339;251
may;2;0.339;252
somebody;2;0.34;253
someone;2;0.341;254
never;2;0.342;255
bunny;1;0.344;256
rabbit;1;0.345;257
Easter;1;0.345;258
every;1;0.346;259
dear;1;0.348;260
shop;1;0.349;261
full;1;0.35;262
holiday;1;0.351;263
football;1;0.351;264
soon;1;0.352;265
picture;1;0.354;266
tomorrow;1;0.354;267
dry;1;0.356;268
hope;1;0.356;269
Lucky;1;0.359;270
park;1;0.361;271
carry;1;0.362;272
pen;1;0.364;273
corner;1;0.365;274
slip;1;0.365;275
pie;1;0.366;276
change;1;0.367;277
bowl;1;0.368;278
Thursday;1;0.368;279
begin;1;0.369;280
Mummy;1;0.372;281
quick;1;0.373;282
hole;1;0.373;283
naughty;1;0.375;284
seat;1;0.376;285
bottom;1;0.377;286
step;1;0.378;287
beautiful;1;0.379;288
bum;1;0.379;289
should;1;0.38;290
policeman;1;0.381;291
under;1;0.382;292
Grandma;1;0.382;293
hungry;1;0.383;294
sick;1;0.385;295
bath;1;0.386;296
hurt;1;0.387;297
story;1;0.387;298
tv;1;0.388;299
doll;1;0.389;300
shirt;1;0.39;301
tire;1;0.392;302
sleep;1;0.395;303
boo;1;0.396;304
yellow;1;0.397;305
butter;1;0.399;306
orange;1;0.4;307
boat;1;0.401;308
light;1;0.402;309
tickle;1;0.404;310
train;1;0.404;311
Susie;1;0.405;312
cake;1;0.407;313
clean;1;0.409;314
cow;1;0.41;315
hide;1;0.41;316
scissor;1;0.411;317
through;1;0.412;318
fly;1;0.415;319
box;1;0.416;320
cup;1;0.417;321
doctor;1;0.418;322
duck;1;0.419;323
finger;1;0.42;324
horse;1;0.421;325
piece;1;0.421;326
bug;1;0.422;327
tree;1;0.423;328
swing;1;0.424;329
leaf;1;0.424;330
both;1;0.425;331
before;1;0.426;332
while;1;0.427;333
must;1;0.428;334
alright;1;0.429;335
talk;1;0.43;336
minute;1;0.431;337
God;1;0.432;338
shall;1;0.432;339
actually;1;0.433;340
night;1;0.434;341
eight;1;0.435;342
feel;1;0.436;343
hard;1;0.437;344
suck;1;0.438;345
six;1;0.438;346
probably;1;0.439;347
pocket;1;0.44;348
draw;1;0.441;349
forget;1;0.443;350
kid;1;0.444;351
animal;1;0.444;352
cook;1;0.446;353
touch;1;0.447;354
anything;1;0.448;355
press;1;0.449;356
small;1;0.45;357
half;1;0.451;358
wear;1;0.452;359
sun;1;0.452;360
meat;1;0.453;361
cry;1;0.455;362
morning;1;0.456;363
fast;1;0.458;364
gum;1;0.459;365
mess;1;0.46;366
beat;1;0.463;367
cheese;1;0.463;368
paper;1;0.464;369
yesterday;1;0.465;370
