word;commonality;cobertura;word_order
the;9;0.022;1
in;9;0.036;2
on;9;0.051;3
that;9;0.08;4
go;9;0.108;5
I;9;0.141;6
be;9;0.19;7
it;9;0.221;8
you;9;0.234;9
my;9;0.242;10
out;9;0.246;11
and;8;0.26;12
but;8;0.26;13
one;8;0.279;14
a;8;0.304;15
all;8;0.307;16
this;8;0.32;17
some;8;0.325;18
there;8;0.352;19
like;8;0.357;20
with;8;0.358;21
of;8;0.359;22
at;8;0.361;23
for;8;0.363;24
want;8;0.376;25
home;8;0.376;26
get;8;0.391;27
they;8;0.394;28
she;8;0.395;29
her;8;0.396;30
his;8;0.397;31
then;8;0.398;32
not;8;0.412;33
up;8;0.416;34
to;8;0.425;35
do;8;0.441;36
have;8;0.448;37
know;8;0.45;38
when;8;0.45;39
no;8;0.48;40
yes;8;0.487;41
because;7;0.488;42
over;7;0.49;43
good;7;0.49;44
big;7;0.494;45
will;7;0.496;46
can;7;0.499;47
eat;7;0.501;48
today;7;0.502;49
Dad;7;0.502;50
time;7;0.502;51
see;7;0.504;52
we;7;0.507;53
me;7;0.514;54
he;7;0.521;55
them;7;0.523;56
our;7;0.523;57
so;7;0.523;58
too;7;0.525;59
come;7;0.53;60
say;7;0.531;61
put;7;0.536;62
play;7;0.539;63
make;7;0.542;64
what;7;0.551;65
here;7;0.558;66
two;6;0.562;67
if;6;0.562;68
little;6;0.564;69
ball;6;0.565;70
first;6;0.565;71
house;6;0.567;72
people;6;0.567;73
back;6;0.569;74
give;6;0.57;75
ha;6;0.57;76
thing;6;0.57;77
how;6;0.571;78
your;6;0.572;79
something;6;0.573;80
watch;6;0.573;81
just;6;0.576;82
off;6;0.579;83
mine;6;0.581;84
more;6;0.585;85
help;6;0.585;86
new;5;0.585;87
friend;5;0.586;88
lot;5;0.586;89
water;5;0.587;90
book;5;0.588;91
dog;5;0.588;92
very;5;0.589;93
take;5;0.591;94
about;5;0.591;95
by;5;0.592;96
think;5;0.592;97
now;5;0.597;98
name;5;0.597;99
could;5;0.598;100
tell;5;0.598;101
find;5;0.6;102
car;5;0.605;103
look;5;0.611;104
let;5;0.612;105
down;5;0.617;106
where;5;0.624;107
need;5;0.626;108
him;5;0.627;109
turn;5;0.628;110
away;5;0.629;111
sit;5;0.632;112
these;5;0.634;113
baby;5;0.637;114
who;5;0.638;115
why;5;0.64;116
other;5;0.641;117
please;5;0.643;118
those;5;0.644;119
right;5;0.645;120
open;5;0.646;121
lunch;5;0.646;122
three;5;0.648;123
us;5;0.648;124
hand;5;0.649;125
stop;5;0.65;126
outside;4;0.65;127
after;4;0.65;128
next;4;0.65;129
teacher;4;0.65;130
school;4;0.65;131
day;4;0.651;132
love;4;0.651;133
sister;4;0.651;134
or;4;0.651;135
as;4;0.651;136
bye;4;0.651;137
maybe;4;0.652;138
food;4;0.652;139
well;4;0.653;140
many;4;0.653;141
fall;4;0.654;142
their;4;0.654;143
yeah;4;0.681;144
oh;4;0.702;145
okay;4;0.703;146
move;4;0.703;147
five;4;0.704;148
stay;4;0.704;149
show;4;0.704;150
again;4;0.707;151
bite;4;0.71;152
way;4;0.711;153
wash;4;0.711;154
around;4;0.712;155
boy;4;0.712;156
else;4;0.712;157
girl;4;0.713;158
juice;4;0.713;159
hi;4;0.713;160
an;3;0.713;161
into;3;0.714;162
last;3;0.714;163
nice;3;0.715;164
game;3;0.715;165
jump;3;0.716;166
cat;3;0.717;167
saw;3;0.717;168
brother;3;0.717;169
really;3;0.717;170
fun;3;0.717;171
cool;3;0.717;172
old;3;0.717;173
from;3;0.717;174
high;3;0.718;175
read;3;0.718;176
middle;3;0.718;177
stuff;3;0.718;178
call;3;0.719;179
much;3;0.719;180
kind;3;0.719;181
foot;3;0.72;182
long;3;0.72;183
hey;3;0.72;184
um;3;0.724;185
ah;3;0.724;186
hello;3;0.725;187
only;3;0.725;188
remember;3;0.726;189
than;3;0.726;190
yours;3;0.726;191
four;3;0.727;192
run;3;0.727;193
throw;3;0.728;194
drink;3;0.729;195
leave;3;0.729;196
push;3;0.73;197
wait;3;0.73;198
bit;3;0.73;199
green;3;0.732;200
pick;3;0.732;201
still;3;0.732;202
catch;3;0.733;203
man;3;0.735;204
shoe;3;0.735;205
finish;3;0.736;206
head;3;0.736;207
which;3;0.737;208
bad;3;0.737;209
table;3;0.737;210
chair;3;0.738;211
door;3;0.738;212
hot;3;0.739;213
room;3;0.74;214
another;3;0.743;215
red;3;0.745;216
use;3;0.745;217
cut;3;0.745;218
already;3;0.745;219
try;3;0.745;220
ready;3;0.746;221
almost;3;0.746;222
any;3;0.746;223
bird;2;0.746;224
favorite;2;0.746;225
frog;2;0.747;226
field;2;0.747;227
egg;2;0.748;228
family;2;0.748;229
birthday;2;0.749;230
sometimes;2;0.749;231
pretty;2;0.749;232
bear;2;0.749;233
buy;2;0.75;234
would;2;0.75;235
potato;2;0.75;236
money;2;0.75;237
great;2;0.75;238
start;2;0.75;239
together;2;0.751;240
square;2;0.751;241
rock;2;0.751;242
year;2;0.751;243
also;2;0.751;244
write;2;0.751;245
care;2;0.751;246
sock;2;0.751;247
always;2;0.751;248
grandpa;2;0.752;249
corn;2;0.752;250
drive;2;0.752;251
roll;2;0.753;252
dinner;2;0.753;253
hill;2;0.753;254
Mrs;2;0.753;255
christmas;2;0.753;256
fine;2;0.753;257
flat;2;0.753;258
cannot;2;0.757;259
spider;2;0.758;260
Mum;2;0.76;261
hat;2;0.761;262
kick;2;0.761;263
sand;2;0.761;264
keep;2;0.761;265
apple;2;0.762;266
better;2;0.762;267
seven;2;0.763;268
sorry;2;0.763;269
break;2;0.765;270
stick;2;0.766;271
bring;2;0.767;272
everybody;2;0.767;273
funny;2;0.767;274
