word;commonality;cobertura;word_order
the;9;0.0;1
in;9;0.001;2
on;9;0.001;3
that;9;0.002;4
go;9;0.006;5
i;9;0.007;6
be;9;0.007;7
It;9;0.008;8
you;9;0.009;9
my;9;0.009;10
out;9;0.01;11
and;8;0.011;12
but;8;0.011;13
one;8;0.012;14
a;8;0.012;15
all;8;0.013;16
this;8;0.014;17
some;8;0.014;18
there;8;0.016;19
like;8;0.018;20
with;8;0.018;21
of;8;0.018;22
at;8;0.019;23
for;8;0.019;24
want;8;0.021;25
home;8;0.022;26
get;8;0.024;27
they;8;0.025;28
she;8;0.025;29
her;8;0.026;30
his;8;0.027;31
then;8;0.027;32
not;8;0.027;33
up;8;0.029;34
to;8;0.029;35
do;8;0.031;36
have;8;0.032;37
know;8;0.033;38
when;8;0.034;39
no;8;0.034;40
yes;8;0.036;41
Because;7;0.037;42
over;7;0.038;43
good;7;0.039;44
Big;7;0.039;45
will;7;0.04;46
can;7;0.04;47
eat;7;0.044;48
today;7;0.044;49
dad;7;0.045;50
time;7;0.045;51
see;7;0.047;52
we;7;0.047;53
me;7;0.048;54
he;7;0.048;55
them;7;0.048;56
our;7;0.049;57
so;7;0.05;58
too;7;0.05;59
wa;7;0.051;60
come;7;0.053;61
say;7;0.054;62
put;7;0.056;63
play;7;0.058;64
make;7;0.059;65
What;7;0.06;66
here;7;0.061;67
two;6;0.061;68
if;6;0.061;69
little;6;0.063;70
ball;6;0.063;71
first;6;0.064;72
house;6;0.065;73
mom;6;0.067;74
people;6;0.067;75
back;6;0.069;76
give;6;0.07;77
ha;6;0.071;78
thing;6;0.071;79
how;6;0.072;80
your;6;0.072;81
something;6;0.073;82
watch;6;0.073;83
just;6;0.074;84
off;6;0.075;85
mine;6;0.077;86
more;6;0.078;87
help;6;0.079;88
new;5;0.079;89
friend;5;0.081;90
lot;5;0.082;91
water;5;0.082;92
book;5;0.083;93
dog;5;0.085;94
very;5;0.085;95
take;5;0.087;96
about;5;0.087;97
by;5;0.088;98
think;5;0.089;99
now;5;0.089;100
name;5;0.09;101
could;5;0.09;102
tell;5;0.092;103
find;5;0.094;104
car;5;0.094;105
look;5;0.097;106
let;5;0.099;107
down;5;0.101;108
where;5;0.101;109
need;5;0.103;110
him;5;0.104;111
turn;5;0.105;112
away;5;0.106;113
sit;5;0.109;114
these;5;0.109;115
baby;5;0.11;116
who;5;0.111;117
why;5;0.111;118
other;5;0.111;119
please;5;0.113;120
those;5;0.113;121
right;5;0.115;122
open;5;0.116;123
lunch;5;0.117;124
three;5;0.117;125
us;5;0.118;126
guy;5;0.118;127
hand;5;0.119;128
stop;5;0.12;129
outside;4;0.12;130
after;4;0.121;131
next;4;0.122;132
school;4;0.122;133
day;4;0.123;134
love;4;0.124;135
sister;4;0.124;136
or;4;0.125;137
as;4;0.125;138
bye;4;0.126;139
maybe;4;0.126;140
food;4;0.127;141
well;4;0.127;142
many;4;0.127;143
fall;4;0.13;144
their;4;0.13;145
yeah;4;0.135;146
oh;4;0.138;147
okay;4;0.142;148
move;4;0.143;149
five;4;0.144;150
stay;4;0.145;151
show;4;0.146;152
again;4;0.146;153
bite;4;0.148;154
way;4;0.149;155
wash;4;0.15;156
around;4;0.151;157
boy;4;0.152;158
else;4;0.152;159
girl;4;0.155;160
juice;4;0.155;161
hi;4;0.156;162
an;3;0.156;163
into;3;0.156;164
last;3;0.157;165
nice;3;0.157;166
game;3;0.158;167
jump;3;0.16;168
cat;3;0.161;169
saw;3;0.162;170
brother;3;0.162;171
really;3;0.163;172
fun;3;0.163;173
cool;3;0.164;174
old;3;0.164;175
from;3;0.165;176
high;3;0.165;177
read;3;0.166;178
middle;3;0.166;179
stuff;3;0.166;180
call;3;0.168;181
much;3;0.169;182
kind;3;0.169;183
foot;3;0.17;184
long;3;0.171;185
hey;3;0.172;186
um;3;0.175;187
ah;3;0.178;188
hello;3;0.179;189
only;3;0.18;190
remember;3;0.181;191
than;3;0.181;192
yours;3;0.184;193
four;3;0.184;194
run;3;0.186;195
throw;3;0.186;196
drink;3;0.188;197
leave;3;0.19;198
push;3;0.191;199
wait;3;0.193;200
bit;3;0.193;201
green;3;0.194;202
pick;3;0.196;203
still;3;0.196;204
catch;3;0.197;205
man;3;0.197;206
shoe;3;0.198;207
finish;3;0.2;208
head;3;0.201;209
which;3;0.201;210
bad;3;0.202;211
table;3;0.202;212
chair;3;0.203;213
door;3;0.203;214
hot;3;0.204;215
room;3;0.204;216
another;3;0.204;217
red;3;0.206;218
use;3;0.206;219
cut;3;0.208;220
already;3;0.208;221
try;3;0.21;222
ready;3;0.21;223
any;3;0.211;224
bird;2;0.211;225
favorite;2;0.211;226
frog;2;0.212;227
field;2;0.212;228
egg;2;0.213;229
birthday;2;0.214;230
pretty;2;0.215;231
bear;2;0.216;232
buy;2;0.217;233
would;2;0.217;234
great;2;0.218;235
start;2;0.219;236
together;2;0.22;237
square;2;0.22;238
rock;2;0.22;239
also;2;0.221;240
care;2;0.221;241
sock;2;0.222;242
always;2;0.222;243
corn;2;0.222;244
drive;2;0.224;245
dinner;2;0.226;246
hill;2;0.226;247
Christmas;2;0.227;248
fine;2;0.228;249
flat;2;0.228;250
cannot;2;0.231;251
spider;2;0.232;252
mum;2;0.234;253
hat;2;0.235;254
kick;2;0.235;255
keep;2;0.236;256
apple;2;0.236;257
better;2;0.237;258
seven;2;0.237;259
sorry;2;0.238;260
break;2;0.241;261
stick;2;0.243;262
bring;2;0.244;263
everybody;2;0.245;264
funny;2;0.246;265
lose;2;0.247;266
close;2;0.249;267
happy;2;0.249;268
toy;2;0.251;269
bathroom;2;0.252;270
bed;2;0.254;271
eye;2;0.254;272
inside;2;0.256;273
leg;2;0.256;274
milk;2;0.257;275
kitchen;2;0.257;276
ride;2;0.259;277
work;2;0.259;278
cold;2;0.261;279
walk;2;0.262;280
paint;2;0.263;281
blue;2;0.264;282
hair;2;0.265;283
yet;2;0.265;284
mommy;2;0.267;285
sure;2;0.268;286
thank;2;0.268;287
fish;2;0.269;288
real;2;0.27;289
top;2;0.27;290
bell;2;0.271;291
black;2;0.271;292
line;2;0.272;293
suppose;2;0.273;294
fire;2;0.274;295
hear;2;0.275;296
Huh;2;0.276;297
side;2;0.277;298
even;2;0.278;299
mean;2;0.279;300
face;2;0.28;301
hold;2;0.281;302
same;2;0.282;303
may;2;0.282;304
everything;2;0.283;305
somebody;2;0.283;306
someone;2;0.283;307
never;2;0.284;308
brown;1;0.285;309
best;1;0.286;310
miss;1;0.288;311
pool;1;0.288;312
bunny;1;0.289;313
rabbit;1;0.29;314
dear;1;0.292;315
live;1;0.294;316
shop;1;0.295;317
anymore;1;0.296;318
collect;1;0.296;319
full;1;0.297;320
holiday;1;0.297;321
football;1;0.298;322
soon;1;0.298;323
decide;1;0.299;324
picture;1;0.299;325
dry;1;0.3;326
