word;frequency;cobertura;word_order
Play;0.0020;0.002;1
eat;0.0020;0.004;2
put;0.0018;0.0058;3
go;0.0018;0.0076;4
i;0.0018;0.0094;5
call;0.0016;0.0109;6
yes;0.0016;0.0125;7
come;0.0016;0.0141;8
fall;0.0016;0.0156;9
get;0.0013;0.017;10
read;0.0013;0.0183;11
start;0.0013;0.0197;12
see;0.0013;0.021;13
dad;0.0013;0.0223;14
dog;0.0011;0.0235;15
make;0.0011;0.0246;16
roll;0.0011;0.0257;17
live;0.0011;0.0268;18
that;0.0011;0.0279;19
do;0.0011;0.029;20
know;0.0011;0.0302;21
like;0.0011;0.0313;22
dry;0.0009;0.0322;23
tell;0.0009;0.0331;24
watch;0.0009;0.034;25
dear;0.0009;0.0348;26
drive;0.0009;0.0357;27
love;0.0009;0.0366;28
sock;0.0009;0.0375;29
carry;0.0009;0.0384;30
outside;0.0009;0.0393;31
no;0.0009;0.0402;32
find;0.0009;0.0411;33
up;0.0009;0.042;34
out;0.0009;0.0429;35
well;0.0009;0.0438;36
want;0.0007;0.0444;37
over;0.0007;0.0451;38
ha;0.0007;0.0458;39
Big;0.0007;0.0465;40
christmas;0.0007;0.0471;41
My;0.0007;0.0478;42
change;0.0007;0.0485;43
write;0.0007;0.0491;44
grow;0.0007;0.0498;45
think;0.0007;0.0505;46
one;0.0007;0.0512;47
long;0.0007;0.0518;48
friend;0.0007;0.0525;49
lot;0.0007;0.0532;50
all;0.0007;0.0538;51
good;0.0007;0.0545;52
foot;0.0007;0.0552;53
sea;0.0007;0.0558;54
slip;0.0007;0.0565;55
there;0.0007;0.0572;56
have;0.0007;0.0579;57
Park;0.0007;0.0585;58
home;0.0007;0.0592;59
Book;0.0004;0.0596;60
wa;0.0004;0.0601;61
much;0.0004;0.0605;62
it;0.0004;0.061;63
just;0.0004;0.0614;64
together;0.0004;0.0619;65
shop;0.0004;0.0623;66
Day;0.0004;0.0628;67
teacher;0.0004;0.0632;68
maybe;0.0004;0.0637;69
so;0.0004;0.0641;70
rock;0.0004;0.0646;71
In;0.0004;0.065;72
favorite;0.0004;0.0654;73
her;0.0004;0.0659;74
what;0.0004;0.0663;75
a;0.0004;0.0668;76
The;0.0004;0.0672;77
fine;0.0004;0.0677;78
Old;0.0004;0.0681;79
anymore;0.0004;0.0686;80
pen;0.0004;0.069;81
meet;0.0004;0.0695;82
high;0.0004;0.0699;83
bye;0.0004;0.0704;84
stuff;0.0004;0.0708;85
because;0.0004;0.0713;86
about;0.0004;0.0717;87
pie;0.0004;0.0721;88
every;0.0002;0.0724;89
chew;0.0002;0.0726;90
men;0.0002;0.0728;91
here;0.0002;0.073;92
would;0.0002;0.0733;93
end;0.0002;0.0735;94
thing;0.0002;0.0737;95
how;0.0002;0.0739;96
if;0.0002;0.0742;97
after;0.0002;0.0744;98
then;0.0002;0.0746;99
them;0.0002;0.0748;100
school;0.0002;0.0751;101
they;0.0002;0.0753;102
too;0.0002;0.0755;103
coin;0.0002;0.0757;104
place;0.0002;0.0759;105
cant;0.0002;0.0762;106
mother;0.0002;0.0764;107
family;0.0002;0.0766;108
people;0.0002;0.0768;109
for;0.0002;0.0771;110
picture;0.0002;0.0773;111
potato;0.0002;0.0775;112
Indians;0.0002;0.0777;113
Grandpa;0.0002;0.078;114
level;0.0002;0.0782;115
be;0.0002;0.0784;116
usually;0.0002;0.0786;117
car;0.0002;0.0788;118
can;0.0002;0.0791;119
dinner;0.0002;0.0793;120
cute;0.0002;0.0795;121
not;0.0002;0.0797;122
now;0.0002;0.08;123
name;0.0002;0.0802;124
year;0.0002;0.0804;125
tomorrow;0.0002;0.0806;126
city;0.0002;0.0809;127
and;0.0002;0.0811;128
begin;0.0002;0.0813;129
corner;0.0002;0.0815;130
many;0.0002;0.0818;131
turkey;0.0002;0.082;132
middle;0.0002;0.0822;133
bowl;0.0002;0.0824;134
food;0.0002;0.0826;135
summer;0.0002;0.0829;136
money;0.0002;0.0831;137
on;0.0002;0.0833;138
of;0.0002;0.0835;139
or;0.0002;0.0838;140
your;0.0002;0.084;141
with;0.0002;0.0842;142
as;0.0002;0.0844;143
at;0.0002;0.0847;144
field;0.0002;0.0849;145
you;0.0002;0.0851;146
time;0.0002;0.0853;147
to;0.0002;0.0855;148
very;0.0002;0.0858;149
me;0.0002;0.086;150
full;0.0002;0.0862;151
flat;0.0002;0.0864;152
soon;0.0002;0.0867;153
always;0.0002;0.0869;154
house;0.0002;0.0871;155
hill;0.0002;0.0873;156
dentist;0.0002;0.0876;157
circle;0.0002;0.0878;158
his;0.0002;0.088;159
kind;0.0002;0.0882;160
arm;0.0002;0.0885;161
fun;0.0002;0.0887;162
some;0.0002;0.0889;163
by;0.0002;0.0891;164
ago;0.0002;0.0893;165
lane;0.0002;0.0896;166
this;0.0002;0.0898;167
race;0.0002;0.09;168
today;0.0002;0.0902;169
great;0.0002;0.0905;170
from;0.0002;0.0907;171
when;0.0002;0.0909;172
something;0.0002;0.0911;173
forest;0.0002;0.0914;174
Mrs;0.0002;0.0916;175
our;0.0002;0.0918;176
could;0.0002;0.092;177
their;0.0002;0.0922;178
afraid;0.0002;0.0925;179
mix;0.0002;0.0927;180
she;0.0002;0.0929;181
we;0.0002;0.0931;182
Thursday;0.0002;0.0934;183
holiday;0.0002;0.0936;184
will;0.0002;0.0938;185
but;0.0002;0.094;186
