word;frequency;cobertura;word_order
oh;0.0029;0.0029;1
okay;0.0022;0.0051;2
bite;0.0020;0.0071;3
Play;0.0020;0.0092;4
eat;0.0020;0.0112;5
Orange;0.0018;0.013;6
put;0.0018;0.0147;7
go;0.0018;0.0165;8
baby;0.0018;0.0183;9
i;0.0018;0.0201;10
wash;0.0016;0.0217;11
yes;0.0016;0.0232;12
Red;0.0016;0.0248;13
come;0.0016;0.0264;14
fall;0.0016;0.0279;15
yellow;0.0013;0.0293;16
hide;0.0013;0.0306;17
give;0.0013;0.0319;18
get;0.0013;0.0333;19
see;0.0013;0.0346;20
look;0.0013;0.036;21
let;0.0013;0.0373;22
sit;0.0013;0.0386;23
move;0.0013;0.04;24
dad;0.0013;0.0413;25
blue;0.0011;0.0424;26
dog;0.0011;0.0436;27
make;0.0011;0.0447;28
down;0.0011;0.0458;29
turn;0.0011;0.0469;30
that;0.0011;0.048;31
stand;0.0011;0.0491;32
help;0.0011;0.0503;33
paint;0.0011;0.0514;34
back;0.0011;0.0525;35
try;0.0011;0.0536;36
do;0.0011;0.0547;37
scissor;0.0011;0.0558;38
know;0.0011;0.057;39
like;0.0011;0.0581;40
girl;0.0011;0.0592;41
stay;0.0011;0.0603;42
tell;0.0009;0.0612;43
green;0.0009;0.0621;44
watch;0.0009;0.063;45
cow;0.0009;0.0639;46
right;0.0009;0.0648;47
sure;0.0009;0.0657;48
open;0.0009;0.0666;49
say;0.0009;0.0675;50
take;0.0009;0.0683;51
shoe;0.0009;0.0692;52
color;0.0009;0.0701;53
no;0.0009;0.071;54
fish;0.0009;0.0719;55
find;0.0009;0.0728;56
cut;0.0009;0.0737;57
use;0.0009;0.0746;58
up;0.0009;0.0755;59
train;0.0009;0.0764;60
stop;0.0009;0.0773;61
out;0.0009;0.0782;62
whoop;0.0009;0.0791;63
need;0.0009;0.08;64
off;0.0009;0.0809;65
tickle;0.0007;0.0815;66
want;0.0007;0.0822;67
over;0.0007;0.0829;68
ha;0.0007;0.0835;69
mine;0.0007;0.0842;70
Big;0.0007;0.0849;71
suppose;0.0007;0.0855;72
hat;0.0007;0.0862;73
My;0.0007;0.0869;74
cat;0.0007;0.0876;75
birthday;0.0007;0.0882;76
think;0.0007;0.0889;77
first;0.0007;0.0896;78
one;0.0007;0.0902;79
show;0.0007;0.0909;80
lot;0.0007;0.0916;81
all;0.0007;0.0922;82
good;0.0007;0.0929;83
foot;0.0007;0.0936;84
Mommy;0.0007;0.0943;85
clean;0.0007;0.0949;86
whoa;0.0007;0.0956;87
fire;0.0007;0.0963;88
ready;0.0007;0.0969;89
noodle;0.0007;0.0976;90
Little;0.0007;0.0983;91
leg;0.0007;0.099;92
light;0.0007;0.0996;93
there;0.0007;0.1003;94
have;0.0007;0.101;95
away;0.0007;0.1016;96
hair;0.0007;0.1023;97
home;0.0007;0.103;98
hi;0.0007;0.1036;99
top;0.0004;0.1041;100
wa;0.0004;0.1045;101
it;0.0004;0.105;102
just;0.0004;0.1054;103
yet;0.0004;0.1059;104
milk;0.0004;0.1063;105
maybe;0.0004;0.1068;106
so;0.0004;0.1072;107
white;0.0004;0.1077;108
egg;0.0004;0.1081;109
black;0.0004;0.1086;110
In;0.0004;0.109;111
her;0.0004;0.1094;112
hey;0.0004;0.1099;113
what;0.0004;0.1103;114
more;0.0004;0.1108;115
door;0.0004;0.1112;116
a;0.0004;0.1117;117
The;0.0004;0.1121;118
please;0.0004;0.1126;119
Way;0.0004;0.113;120
else;0.0004;0.1135;121
sister;0.0004;0.1139;122
tape;0.0004;0.1144;123
glue;0.0004;0.1148;124
because;0.0004;0.1153;125
four;0.0002;0.1155;126
new;0.0002;0.1157;127
here;0.0002;0.1159;128
room;0.0002;0.1161;129
wand;0.0002;0.1164;130
thing;0.0002;0.1166;131
how;0.0002;0.1168;132
then;0.0002;0.117;133
them;0.0002;0.1173;134
they;0.0002;0.1175;135
hand;0.0002;0.1177;136
already;0.0002;0.1179;137
another;0.0002;0.1182;138
he;0.0002;0.1184;139
fence;0.0002;0.1186;140
too;0.0002;0.1188;141
three;0.0002;0.1191;142
cracker;0.0002;0.1193;143
butter;0.0002;0.1195;144
Jamie;0.0002;0.1197;145
for;0.0002;0.1199;146
why;0.0002;0.1202;147
chair;0.0002;0.1204;148
be;0.0002;0.1206;149
water;0.0002;0.1208;150
boo;0.0002;0.1211;151
car;0.0002;0.1213;152
can;0.0002;0.1215;153
lunch;0.0002;0.1217;154
not;0.0002;0.122;155
now;0.0002;0.1222;156
name;0.0002;0.1224;157
and;0.0002;0.1226;158
any;0.0002;0.1229;159
where;0.0002;0.1231;160
many;0.0002;0.1233;161
boat;0.0002;0.1235;162
these;0.0002;0.1237;163
middle;0.0002;0.124;164
food;0.0002;0.1242;165
money;0.0002;0.1244;166
on;0.0002;0.1246;167
of;0.0002;0.1249;168
or;0.0002;0.1251;169
your;0.0002;0.1253;170
spider;0.0002;0.1255;171
with;0.0002;0.1258;172
an;0.0002;0.126;173
at;0.0002;0.1262;174
again;0.0002;0.1264;175
you;0.0002;0.1266;176
time;0.0002;0.1269;177
to;0.0002;0.1271;178
me;0.0002;0.1273;179
sand;0.0002;0.1275;180
two;0.0002;0.1278;181
house;0.0002;0.128;182
juice;0.0002;0.1282;183
his;0.0002;0.1284;184
him;0.0002;0.1287;185
bell;0.0002;0.1289;186
real;0.0002;0.1291;187
game;0.0002;0.1293;188
bit;0.0002;0.1296;189
some;0.0002;0.1298;190
by;0.0002;0.13;191
Katie;0.0002;0.1302;192
line;0.0002;0.1304;193
us;0.0002;0.1307;194
those;0.0002;0.1309;195
this;0.0002;0.1311;196
today;0.0002;0.1313;197
when;0.0002;0.1316;198
something;0.0002;0.1318;199
farm;0.0002;0.132;200
our;0.0002;0.1322;201
could;0.0002;0.1325;202
who;0.0002;0.1327;203
she;0.0002;0.1329;204
we;0.0002;0.1331;205
thank;0.0002;0.1333;206
table;0.0002;0.1336;207
will;0.0002;0.1338;208
party;0.0002;0.134;209
