word;frequency;cobertura;word_order
okay;0.0022;0.0022;1
Play;0.0020;0.0042;2
eat;0.0020;0.0063;3
toy;0.0018;0.008;4
put;0.0018;0.0098;5
go;0.0018;0.0116;6
baby;0.0018;0.0134;7
i;0.0018;0.0152;8
sleep;0.0016;0.0168;9
wash;0.0016;0.0183;10
yes;0.0016;0.0199;11
come;0.0016;0.0214;12
give;0.0013;0.0228;13
boy;0.0013;0.0241;14
get;0.0013;0.0255;15
read;0.0013;0.0268;16
see;0.0013;0.0281;17
close;0.0013;0.0295;18
look;0.0013;0.0308;19
let;0.0013;0.0322;20
sit;0.0013;0.0335;21
dad;0.0013;0.0348;22
dog;0.0011;0.036;23
make;0.0011;0.0371;24
down;0.0011;0.0382;25
turn;0.0011;0.0393;26
that;0.0011;0.0404;27
help;0.0011;0.0415;28
back;0.0011;0.0427;29
do;0.0011;0.0438;30
bed;0.0011;0.0449;31
drink;0.0011;0.046;32
know;0.0011;0.0471;33
like;0.0011;0.0482;34
girl;0.0011;0.0494;35
stay;0.0011;0.0505;36
hurt;0.0009;0.0514;37
work;0.0009;0.0523;38
watch;0.0009;0.0532;39
right;0.0009;0.0541;40
drive;0.0009;0.0549;41
love;0.0009;0.0558;42
cold;0.0009;0.0567;43
sock;0.0009;0.0576;44
open;0.0009;0.0585;45
say;0.0009;0.0594;46
take;0.0009;0.0603;47
shoe;0.0009;0.0612;48
outside;0.0009;0.0621;49
no;0.0009;0.063;50
up;0.0009;0.0639;51
stop;0.0009;0.0648;52
out;0.0009;0.0657;53
need;0.0009;0.0666;54
off;0.0009;0.0675;55
want;0.0007;0.0681;56
over;0.0007;0.0688;57
ha;0.0007;0.0695;58
mine;0.0007;0.0701;59
Big;0.0007;0.0708;60
bath;0.0007;0.0715;61
inside;0.0007;0.0721;62
My;0.0007;0.0728;63
cat;0.0007;0.0735;64
think;0.0007;0.0742;65
first;0.0007;0.0748;66
one;0.0007;0.0755;67
friend;0.0007;0.0762;68
doll;0.0007;0.0768;69
all;0.0007;0.0775;70
good;0.0007;0.0782;71
Little;0.0007;0.0788;72
leg;0.0007;0.0795;73
ride;0.0007;0.0802;74
there;0.0007;0.0809;75
have;0.0007;0.0815;76
away;0.0007;0.0822;77
walk;0.0007;0.0829;78
home;0.0007;0.0835;79
hi;0.0007;0.0842;80
sick;0.0007;0.0849;81
Book;0.0004;0.0853;82
wa;0.0004;0.0858;83
it;0.0004;0.0862;84
just;0.0004;0.0867;85
head;0.0004;0.0871;86
milk;0.0004;0.0876;87
hungry;0.0004;0.088;88
mad;0.0004;0.0885;89
so;0.0004;0.0889;90
happy;0.0004;0.0893;91
sad;0.0004;0.0898;92
In;0.0004;0.0902;93
Story;0.0004;0.0907;94
her;0.0004;0.0911;95
what;0.0004;0.0916;96
more;0.0004;0.092;97
door;0.0004;0.0925;98
a;0.0004;0.0929;99
The;0.0004;0.0934;100
please;0.0004;0.0938;101
sister;0.0004;0.0943;102
thirsty;0.0004;0.0947;103
tire;0.0004;0.0952;104
Hot;0.0004;0.0956;105
garage;0.0004;0.096;106
because;0.0004;0.0965;107
about;0.0004;0.0969;108
under;0.0002;0.0972;109
here;0.0002;0.0974;110
room;0.0002;0.0976;111
thing;0.0002;0.0978;112
how;0.0002;0.0981;113
if;0.0002;0.0983;114
then;0.0002;0.0985;115
them;0.0002;0.0987;116
school;0.0002;0.099;117
they;0.0002;0.0992;118
hand;0.0002;0.0994;119
he;0.0002;0.0996;120
too;0.0002;0.0998;121
bad;0.0002;0.1001;122
kitchen;0.0002;0.1003;123
three;0.0002;0.1005;124
people;0.0002;0.1007;125
for;0.0002;0.101;126
music;0.0002;0.1012;127
why;0.0002;0.1014;128
chair;0.0002;0.1016;129
Grandpa;0.0002;0.1019;130
brother;0.0002;0.1021;131
be;0.0002;0.1023;132
water;0.0002;0.1025;133
car;0.0002;0.1027;134
can;0.0002;0.103;135
dinner;0.0002;0.1032;136
lunch;0.0002;0.1034;137
not;0.0002;0.1036;138
now;0.0002;0.1039;139
and;0.0002;0.1041;140
breakfast;0.0002;0.1043;141
where;0.0002;0.1045;142
these;0.0002;0.1048;143
food;0.0002;0.105;144
around;0.0002;0.1052;145
Grandma;0.0002;0.1054;146
on;0.0002;0.1057;147
of;0.0002;0.1059;148
your;0.0002;0.1061;149
with;0.0002;0.1063;150
at;0.0002;0.1065;151
you;0.0002;0.1068;152
time;0.0002;0.107;153
tv;0.0002;0.1072;154
to;0.0002;0.1074;155
me;0.0002;0.1077;156
eye;0.0002;0.1079;157
two;0.0002;0.1081;158
coat;0.0002;0.1083;159
pant;0.0002;0.1086;160
house;0.0002;0.1088;161
cookie;0.0002;0.109;162
store;0.0002;0.1092;163
juice;0.0002;0.1094;164
his;0.0002;0.1097;165
him;0.0002;0.1099;166
shirt;0.0002;0.1101;167
some;0.0002;0.1103;168
by;0.0002;0.1106;169
us;0.0002;0.1108;170
those;0.0002;0.111;171
this;0.0002;0.1112;172
today;0.0002;0.1115;173
when;0.0002;0.1117;174
something;0.0002;0.1119;175
our;0.0002;0.1121;176
could;0.0002;0.1124;177
their;0.0002;0.1126;178
who;0.0002;0.1128;179
she;0.0002;0.113;180
we;0.0002;0.1132;181
table;0.0002;0.1135;182
will;0.0002;0.1137;183
ball;0.0002;0.1139;184
but;0.0002;0.1141;185
other;0.0002;0.1144;186
