word;frequency;cobertura;word_order
oh;0.0029;0.0029;1
um;0.0022;0.0051;2
bite;0.0020;0.0071;3
Play;0.0020;0.0092;4
eat;0.0020;0.0112;5
toy;0.0018;0.013;6
put;0.0018;0.0147;7
go;0.0018;0.0165;8
baby;0.0018;0.0183;9
i;0.0018;0.0201;10
call;0.0016;0.0217;11
yes;0.0016;0.0232;12
Red;0.0016;0.0248;13
fly;0.0016;0.0264;14
cannot;0.0016;0.0279;15
come;0.0016;0.0295;16
ah;0.0016;0.031;17
fall;0.0016;0.0326;18
run;0.0016;0.0342;19
cause;0.0016;0.0357;20
give;0.0013;0.0371;21
fix;0.0013;0.0384;22
yours;0.0013;0.0398;23
push;0.0013;0.0411;24
boy;0.0013;0.0424;25
get;0.0013;0.0438;26
see;0.0013;0.0451;27
look;0.0013;0.0465;28
jump;0.0013;0.0478;29
let;0.0013;0.0491;30
sit;0.0013;0.0505;31
move;0.0013;0.0518;32
blue;0.0011;0.0529;33
hold;0.0011;0.0541;34
better;0.0011;0.0552;35
tree;0.0011;0.0563;36
dog;0.0011;0.0574;37
lift;0.0011;0.0585;38
make;0.0011;0.0596;39
down;0.0011;0.0608;40
wait;0.0011;0.0619;41
turn;0.0011;0.063;42
that;0.0011;0.0641;43
throw;0.0011;0.0652;44
help;0.0011;0.0663;45
paint;0.0011;0.0675;46
back;0.0011;0.0686;47
try;0.0011;0.0697;48
do;0.0011;0.0708;49
bed;0.0011;0.0719;50
drink;0.0011;0.073;51
know;0.0011;0.0742;52
like;0.0011;0.0753;53
girl;0.0011;0.0764;54
tell;0.0009;0.0773;55
green;0.0009;0.0782;56
watch;0.0009;0.0791;57
right;0.0009;0.08;58
open;0.0009;0.0809;59
say;0.0009;0.0818;60
saw;0.0009;0.0826;61
no;0.0009;0.0835;62
pick;0.0009;0.0844;63
leave;0.0009;0.0853;64
find;0.0009;0.0862;65
cut;0.0009;0.0871;66
use;0.0009;0.088;67
up;0.0009;0.0889;68
hello;0.0009;0.0898;69
stop;0.0009;0.0907;70
out;0.0009;0.0916;71
need;0.0009;0.0925;72
off;0.0009;0.0934;73
well;0.0009;0.0943;74
want;0.0007;0.0949;75
over;0.0007;0.0956;76
mean;0.0007;0.0963;77
ha;0.0007;0.0969;78
mine;0.0007;0.0976;79
Big;0.0007;0.0983;80
catch;0.0007;0.099;81
hear;0.0007;0.0996;82
inside;0.0007;0.1003;83
My;0.0007;0.101;84
remember;0.0007;0.1016;85
ours;0.0007;0.1023;86
first;0.0007;0.103;87
one;0.0007;0.1036;88
long;0.0007;0.1043;89
huh;0.0007;0.105;90
show;0.0007;0.1057;91
lot;0.0007;0.1063;92
all;0.0007;0.107;93
good;0.0007;0.1077;94
foot;0.0007;0.1083;95
Mommy;0.0007;0.109;96
whole;0.0007;0.1097;97
fire;0.0007;0.1103;98
ready;0.0007;0.111;99
cup;0.0007;0.1117;100
Little;0.0007;0.1124;101
Man;0.0007;0.113;102
duck;0.0007;0.1137;103
ride;0.0007;0.1144;104
there;0.0007;0.115;105
have;0.0007;0.1157;106
away;0.0007;0.1164;107
hair;0.0007;0.117;108
home;0.0007;0.1177;109
buy;0.0007;0.1184;110
hi;0.0007;0.1191;111
piece;0.0007;0.1197;112
somewhere;0.0004;0.1202;113
top;0.0004;0.1206;114
wa;0.0004;0.1211;115
much;0.0004;0.1215;116
it;0.0004;0.122;117
just;0.0004;0.1224;118
yet;0.0004;0.1229;119
head;0.0004;0.1233;120
together;0.0004;0.1237;121
Day;0.0004;0.1242;122
box;0.0004;0.1246;123
maybe;0.0004;0.1251;124
so;0.0004;0.1255;125
swing;0.0004;0.126;126
black;0.0004;0.1264;127
doctor;0.0004;0.1269;128
In;0.0004;0.1273;129
her;0.0004;0.1278;130
what;0.0004;0.1282;131
more;0.0004;0.1287;132
door;0.0004;0.1291;133
ya;0.0004;0.1296;134
horse;0.0004;0.13;135
The;0.0004;0.1304;136
sometimes;0.0004;0.1309;137
please;0.0004;0.1313;138
both;0.0004;0.1318;139
Way;0.0004;0.1322;140
else;0.0004;0.1327;141
Old;0.0004;0.1331;142
while;0.0004;0.1336;143
pet;0.0004;0.134;144
high;0.0004;0.1345;145
Bird;0.0004;0.1349;146
bye;0.0004;0.1354;147
tape;0.0004;0.1358;148
stuff;0.0004;0.1363;149
Hot;0.0004;0.1367;150
because;0.0004;0.1371;151
about;0.0004;0.1376;152
messy;0.0002;0.1378;153
new;0.0002;0.138;154
here;0.0002;0.1383;155
would;0.0002;0.1385;156
must;0.0002;0.1387;157
room;0.0002;0.1389;158
thing;0.0002;0.1392;159
how;0.0002;0.1394;160
if;0.0002;0.1396;161
after;0.0002;0.1398;162
before;0.0002;0.14;163
then;0.0002;0.1403;164
them;0.0002;0.1405;165
they;0.0002;0.1407;166
side;0.0002;0.1409;167
hand;0.0002;0.1412;168
already;0.0002;0.1414;169
another;0.0002;0.1416;170
he;0.0002;0.1418;171
too;0.0002;0.1421;172
last;0.0002;0.1423;173
bad;0.0002;0.1425;174
finger;0.0002;0.1427;175
never;0.0002;0.143;176
three;0.0002;0.1432;177
people;0.0002;0.1434;178
for;0.0002;0.1436;179
everything;0.0002;0.1438;180
why;0.0002;0.1441;181
chair;0.0002;0.1443;182
be;0.0002;0.1445;183
water;0.0002;0.1447;184
car;0.0002;0.145;185
can;0.0002;0.1452;186
still;0.0002;0.1454;187
lunch;0.0002;0.1456;188
not;0.0002;0.1459;189
name;0.0002;0.1461;190
hum;0.0002;0.1463;191
than;0.0002;0.1465;192
