word;frequency;cobertura;word_order
yeah;0.0029;0.0029;1
go;0.0018;0.0047;2
i;0.0018;0.0065;3
yes;0.0016;0.008;4
that;0.0011;0.0092;5
help;0.0011;0.0103;6
finish;0.0009;0.0112;7
no;0.0009;0.0121;8
out;0.0009;0.013;9
off;0.0009;0.0138;10
want;0.0007;0.0145;11
mine;0.0007;0.0152;12
My;0.0007;0.0159;13
it;0.0004;0.0163;14
In;0.0004;0.0168;15
what;0.0004;0.0172;16
more;0.0004;0.0176;17
a;0.0004;0.0181;18
The;0.0004;0.0185;19
here;0.0002;0.0188;20
be;0.0002;0.019;21
on;0.0002;0.0192;22
you;0.0002;0.0194;23
some;0.0002;0.0197;24
