word;frequency;cobertura;word_order
Play;0.0020;0.002;1
eat;0.0020;0.004;2
put;0.0018;0.0058;3
go;0.0018;0.0076;4
i;0.0018;0.0094;5
come;0.0016;0.0109;6
give;0.0013;0.0123;7
get;0.0013;0.0136;8
miss;0.0013;0.015;9
see;0.0013;0.0163;10
jump;0.0013;0.0176;11
dad;0.0013;0.019;12
dog;0.0011;0.0201;13
make;0.0011;0.0212;14
that;0.0011;0.0223;15
back;0.0011;0.0235;16
do;0.0011;0.0246;17
know;0.0011;0.0257;18
like;0.0011;0.0268;19
love;0.0009;0.0277;20
say;0.0009;0.0286;21
saw;0.0009;0.0295;22
take;0.0009;0.0304;23
outside;0.0009;0.0313;24
up;0.0009;0.0322;25
out;0.0009;0.0331;26
Bear;0.0009;0.034;27
want;0.0007;0.0346;28
over;0.0007;0.0353;29
ha;0.0007;0.036;30
Big;0.0007;0.0366;31
bunny;0.0007;0.0373;32
First;0.0007;0.038;33
brown;0.0007;0.0386;34
cool;0.0007;0.0393;35
My;0.0007;0.04;36
cat;0.0007;0.0407;37
birthday;0.0007;0.0413;38
one;0.0007;0.042;39
friend;0.0007;0.0427;40
lot;0.0007;0.0433;41
all;0.0007;0.044;42
good;0.0007;0.0447;43
Little;0.0007;0.0453;44
rabbit;0.0007;0.046;45
there;0.0007;0.0467;46
have;0.0007;0.0474;47
home;0.0007;0.048;48
buy;0.0007;0.0487;49
Book;0.0004;0.0491;50
aunt;0.0004;0.0496;51
wa;0.0004;0.05;52
it;0.0004;0.0505;53
Day;0.0004;0.0509;54
teacher;0.0004;0.0514;55
so;0.0004;0.0518;56
egg;0.0004;0.0523;57
In;0.0004;0.0527;58
favorite;0.0004;0.0532;59
her;0.0004;0.0536;60
a;0.0004;0.0541;61
The;0.0004;0.0545;62
sometimes;0.0004;0.0549;63
sister;0.0004;0.0554;64
Bird;0.0004;0.0558;65
because;0.0004;0.0563;66
new;0.0002;0.0565;67
if;0.0002;0.0567;68
after;0.0002;0.057;69
then;0.0002;0.0572;70
them;0.0002;0.0574;71
school;0.0002;0.0576;72
they;0.0002;0.0579;73
he;0.0002;0.0581;74
too;0.0002;0.0583;75
last;0.0002;0.0585;76
best;0.0002;0.0587;77
cousin;0.0002;0.059;78
family;0.0002;0.0592;79
people;0.0002;0.0594;80
for;0.0002;0.0596;81
brother;0.0002;0.0599;82
be;0.0002;0.0601;83
water;0.0002;0.0603;84
can;0.0002;0.0605;85
not;0.0002;0.0608;86
and;0.0002;0.061;87
trip;0.0002;0.0612;88
nice;0.0002;0.0614;89
on;0.0002;0.0616;90
of;0.0002;0.0619;91
with;0.0002;0.0621;92
an;0.0002;0.0623;93
at;0.0002;0.0625;94
field;0.0002;0.0628;95
you;0.0002;0.063;96
time;0.0002;0.0632;97
pool;0.0002;0.0634;98
to;0.0002;0.0637;99
very;0.0002;0.0639;100
me;0.0002;0.0641;101
two;0.0002;0.0643;102
house;0.0002;0.0646;103
pretty;0.0002;0.0648;104
his;0.0002;0.065;105
fun;0.0002;0.0652;106
Easter;0.0002;0.0654;107
game;0.0002;0.0657;108
some;0.0002;0.0659;109
into;0.0002;0.0661;110
this;0.0002;0.0663;111
today;0.0002;0.0666;112
frog;0.0002;0.0668;113
next;0.0002;0.067;114
when;0.0002;0.0672;115
our;0.0002;0.0675;116
really;0.0002;0.0677;117
she;0.0002;0.0679;118
we;0.0002;0.0681;119
will;0.0002;0.0683;120
ball;0.0002;0.0686;121
but;0.0002;0.0688;122
