word;frequency;cobertura;word_order
yeah;0.0029;0.0029;1
oh;0.0029;0.0058;2
okay;0.0022;0.008;3
um;0.0022;0.0103;4
bite;0.0020;0.0123;5
Play;0.0020;0.0143;6
eat;0.0020;0.0163;7
break;0.0018;0.0181;8
put;0.0018;0.0199;9
go;0.0018;0.0217;10
baby;0.0018;0.0235;11
i;0.0018;0.0252;12
call;0.0016;0.0268;13
wash;0.0016;0.0284;14
yes;0.0016;0.0299;15
Red;0.0016;0.0315;16
come;0.0016;0.0331;17
ah;0.0016;0.0346;18
fall;0.0016;0.0362;19
ten;0.0016;0.0377;20
hit;0.0016;0.0393;21
run;0.0016;0.0409;22
draw;0.0016;0.0424;23
give;0.0013;0.0438;24
keep;0.0013;0.0451;25
yours;0.0013;0.0465;26
push;0.0013;0.0478;27
boy;0.0013;0.0491;28
get;0.0013;0.0505;29
read;0.0013;0.0518;30
start;0.0013;0.0532;31
miss;0.0013;0.0545;32
see;0.0013;0.0558;33
close;0.0013;0.0572;34
look;0.0013;0.0585;35
let;0.0013;0.0599;36
sit;0.0013;0.0612;37
animal;0.0013;0.0625;38
move;0.0013;0.0639;39
dad;0.0013;0.0652;40
hold;0.0011;0.0663;41
wear;0.0011;0.0675;42
make;0.0011;0.0686;43
down;0.0011;0.0697;44
wait;0.0011;0.0708;45
turn;0.0011;0.0719;46
that;0.0011;0.073;47
throw;0.0011;0.0742;48
forget;0.0011;0.0753;49
stick;0.0011;0.0764;50
help;0.0011;0.0775;51
feel;0.0011;0.0786;52
twenty;0.0011;0.0797;53
back;0.0011;0.0809;54
try;0.0011;0.082;55
do;0.0011;0.0831;56
cry;0.0011;0.0842;57
know;0.0011;0.0853;58
like;0.0011;0.0864;59
girl;0.0011;0.0876;60
stay;0.0011;0.0887;61
tell;0.0009;0.0896;62
work;0.0009;0.0905;63
watch;0.0009;0.0914;64
right;0.0009;0.0922;65
sure;0.0009;0.0931;66
cook;0.0009;0.094;67
love;0.0009;0.0949;68
cold;0.0009;0.0958;69
open;0.0009;0.0967;70
say;0.0009;0.0976;71
take;0.0009;0.0985;72
outside;0.0009;0.0994;73
finish;0.0009;0.1003;74
no;0.0009;0.1012;75
twelve;0.0009;0.1021;76
alright;0.0009;0.103;77
pick;0.0009;0.1039;78
kick;0.0009;0.1048;79
fish;0.0009;0.1057;80
hard;0.0009;0.1065;81
leave;0.0009;0.1074;82
ask;0.0009;0.1083;83
find;0.0009;0.1092;84
Punch;0.0009;0.1101;85
cut;0.0009;0.111;86
use;0.0009;0.1119;87
up;0.0009;0.1128;88
hello;0.0009;0.1137;89
sing;0.0009;0.1146;90
stop;0.0009;0.1155;91
out;0.0009;0.1164;92
need;0.0009;0.1173;93
bring;0.0009;0.1182;94
beat;0.0009;0.1191;95
laugh;0.0009;0.1199;96
Bear;0.0009;0.1208;97
off;0.0009;0.1217;98
well;0.0009;0.1226;99
lose;0.0009;0.1235;100
sorry;0.0007;0.1242;101
want;0.0007;0.1249;102
mess;0.0007;0.1255;103
over;0.0007;0.1262;104
mean;0.0007;0.1269;105
listen;0.0007;0.1275;106
mine;0.0007;0.1282;107
Big;0.0007;0.1289;108
catch;0.0007;0.1296;109
suppose;0.0007;0.1302;110
christmas;0.0007;0.1309;111
hear;0.0007;0.1316;112
cool;0.0007;0.1322;113
die;0.0007;0.1329;114
My;0.0007;0.1336;115
write;0.0007;0.1342;116
remember;0.0007;0.1349;117
talk;0.0007;0.1356;118
happen;0.0007;0.1363;119
Pocket;0.0007;0.1369;120
think;0.0007;0.1376;121
first;0.0007;0.1383;122
one;0.0007;0.1389;123
long;0.0007;0.1396;124
friend;0.0007;0.1403;125
huh;0.0007;0.1409;126
show;0.0007;0.1416;127
lot;0.0007;0.1423;128
