word;frequency;cobertura;word_order
fall;0.0059;0.0059;1
come;0.0044;0.0103;2
go;0.0037;0.014;3
put;0.0037;0.0177;4
find;0.0037;0.0214;5
get;0.0037;0.0251;6
like;0.0037;0.0288;7
eat;0.0037;0.0325;8
Lucky;0.0030;0.0354;9
dad;0.0030;0.0384;10
play;0.0030;0.0413;11
do;0.0030;0.0443;12
call;0.0022;0.0465;13
want;0.0022;0.0487;14
watch;0.0022;0.0509;15
make;0.0022;0.0531;16
long;0.0022;0.0554;17
that;0.0022;0.0576;18
have;0.0022;0.0598;19
see;0.0022;0.062;20
read;0.0022;0.0642;21
pen;0.0022;0.0664;22
there;0.0022;0.0686;23
up;0.0022;0.0708;24
tell;0.0022;0.0731;25
all;0.0015;0.0745;26
Grandpa;0.0015;0.076;27
dry;0.0015;0.0775;28
love;0.0015;0.079;29
over;0.0015;0.0804;30
write;0.0015;0.0819;31
out;0.0015;0.0834;32
think;0.0015;0.0849;33
one;0.0015;0.0863;34
park;0.0015;0.0878;35
shop;0.0015;0.0893;36
outside;0.0015;0.0908;37
bye;0.0015;0.0923;38
yes;0.0015;0.0937;39
know;0.0015;0.0952;40
dear;0.0015;0.0967;41
christmas;0.0015;0.0982;42
her;0.0015;0.0996;43
because;0.0015;0.1011;44
no;0.0015;0.1026;45
picture;0.0015;0.1041;46
people;0.0007;0.1048;47
to;0.0007;0.1055;48
me;0.0007;0.1063;49
every;0.0007;0.107;50
school;0.0007;0.1077;51
slip;0.0007;0.1085;52
here;0.0007;0.1092;53
teacher;0.0007;0.11;54
change;0.0007;0.1107;55
great;0.0007;0.1114;56
from;0.0007;0.1122;57
would;0.0007;0.1129;58
today;0.0007;0.1137;59
middle;0.0007;0.1144;60
this;0.0007;0.1151;61
car;0.0007;0.1159;62
can;0.0007;0.1166;63
my;0.0007;0.1173;64
something;0.0007;0.1181;65
high;0.0007;0.1188;66
after;0.0007;0.1196;67
them;0.0007;0.1203;68
a;0.0007;0.121;69
so;0.0007;0.1218;70
soon;0.0007;0.1225;71
how;0.0007;0.1232;72
holiday;0.0007;0.124;73
then;0.0007;0.1247;74
good;0.0007;0.1255;75
now;0.0007;0.1262;76
day;0.0007;0.1269;77
name;0.0007;0.1277;78
house;0.0007;0.1284;79
thing;0.0007;0.1292;80
by;0.0007;0.1299;81
begin;0.0007;0.1306;82
could;0.0007;0.1314;83
carry;0.0007;0.1321;84
tomorrow;0.0007;0.1328;85
too;0.0007;0.1336;86
lot;0.0007;0.1343;87
kind;0.0007;0.1351;88
and;0.0007;0.1358;89
foot;0.0007;0.1365;90
drive;0.0007;0.1373;91
corner;0.0007;0.138;92
money;0.0007;0.1387;93
hope;0.0007;0.1395;94
well;0.0007;0.1402;95
she;0.0007;0.141;96
full;0.0007;0.1417;97
we;0.0007;0.1424;98
many;0.0007;0.1432;99
will;0.0007;0.1439;100
it;0.0007;0.1446;101
in;0.0007;0.1454;102
if;0.0007;0.1461;103
bowl;0.0007;0.1469;104
I;0.0007;0.1476;105
very;0.0007;0.1483;106
the;0.0007;0.1491;107
they;0.0007;0.1498;108
just;0.0007;0.1506;109
not;0.0007;0.1513;110
big;0.0007;0.152;111
some;0.0007;0.1528;112
home;0.0007;0.1535;113
for;0.0007;0.1542;114
be;0.0007;0.155;115
on;0.0007;0.1557;116
about;0.0007;0.1565;117
of;0.0007;0.1572;118
dinner;0.0007;0.1579;119
your;0.0007;0.1587;120
sock;0.0007;0.1594;121
with;0.0007;0.1601;122
what;0.0007;0.1609;123
his;0.0007;0.1616;124
flat;0.0007;0.1624;125
pie;0.0007;0.1631;126
Thursday;0.0007;0.1638;127
as;0.0007;0.1646;128
at;0.0007;0.1653;129
when;0.0007;0.1661;130
book;0.0007;0.1668;131
you;0.0007;0.1675;132
football;0.0007;0.1683;133
potato;0.0007;0.169;134
dog;0.0007;0.1697;135
time;0.0007;0.1705;136
