word;frequency;cobertura;word_order
fall;0.0059;0.0059;1
sit;0.0044;0.0103;2
mine;0.0044;0.0148;3
come;0.0044;0.0192;4
go;0.0037;0.0229;5
put;0.0037;0.0266;6
open;0.0037;0.0303;7
find;0.0037;0.0339;8
get;0.0037;0.0376;9
like;0.0037;0.0413;10
eat;0.0037;0.045;11
dad;0.0030;0.048;12
turn;0.0030;0.0509;13
play;0.0030;0.0539;14
do;0.0030;0.0568;15
look;0.0030;0.0598;16
try;0.0022;0.062;17
want;0.0022;0.0642;18
give;0.0022;0.0664;19
watch;0.0022;0.0686;20
make;0.0022;0.0708;21
girl;0.0022;0.0731;22
bite;0.0022;0.0753;23
that;0.0022;0.0775;24
have;0.0022;0.0797;25
need;0.0022;0.0819;26
clean;0.0022;0.0841;27
show;0.0022;0.0863;28
shoe;0.0022;0.0886;29
see;0.0022;0.0908;30
off;0.0022;0.093;31
right;0.0022;0.0952;32
back;0.0022;0.0974;33
down;0.0022;0.0996;34
there;0.0022;0.1018;35
up;0.0022;0.1041;36
tell;0.0022;0.1063;37
stay;0.0022;0.1085;38
all;0.0015;0.11;39
yellow;0.0015;0.1114;40
tickle;0.0015;0.1129;41
blue;0.0015;0.1144;42
let;0.0015;0.1159;43
more;0.0015;0.1173;44
light;0.0015;0.1188;45
over;0.0015;0.1203;46
top;0.0015;0.1218;47
orange;0.0015;0.1232;48
out;0.0015;0.1247;49
fish;0.0015;0.1262;50
red;0.0015;0.1277;51
birthday;0.0015;0.1292;52
think;0.0015;0.1306;53
first;0.0015;0.1321;54
one;0.0015;0.1336;55
wash;0.0015;0.1351;56
say;0.0015;0.1365;57
take;0.0015;0.138;58
stop;0.0015;0.1395;59
away;0.0015;0.141;60
please;0.0015;0.1424;61
cut;0.0015;0.1439;62
table;0.0015;0.1454;63
ready;0.0015;0.1469;64
butter;0.0015;0.1483;65
no;0.0015;0.1498;66
yes;0.0015;0.1513;67
hat;0.0015;0.1528;68
know;0.0015;0.1542;69
hair;0.0015;0.1557;70
oh;0.0015;0.1572;71
her;0.0015;0.1587;72
because;0.0015;0.1601;73
cake;0.0015;0.1616;74
four;0.0007;0.1624;75
chair;0.0007;0.1631;76
milk;0.0007;0.1638;77
to;0.0007;0.1646;78
me;0.0007;0.1653;79
this;0.0007;0.1661;80
hide;0.0007;0.1668;81
here;0.0007;0.1675;82
water;0.0007;0.1683;83
two;0.0007;0.169;84
today;0.0007;0.1697;85
baby;0.0007;0.1705;86
room;0.0007;0.1712;87
middle;0.0007;0.172;88
car;0.0007;0.1727;89
cat;0.0007;0.1734;90
can;0.0007;0.1742;91
my;0.0007;0.1749;92
something;0.0007;0.1756;93
how;0.0007;0.1764;94
a;0.0007;0.1771;95
so;0.0007;0.1779;96
egg;0.0007;0.1786;97
help;0.0007;0.1793;98
then;0.0007;0.1801;99
good;0.0007;0.1808;100
now;0.0007;0.1815;101
name;0.0007;0.1823;102
house;0.0007;0.183;103
spider;0.0007;0.1838;104
thing;0.0007;0.1845;105
by;0.0007;0.1852;106
Susie;0.0007;0.186;107
not;0.0007;0.1867;108
could;0.0007;0.1875;109
already;0.0007;0.1882;110
another;0.0007;0.1889;111
little;0.0007;0.1897;112
paint;0.0007;0.1904;113
too;0.0007;0.1911;114
way;0.0007;0.1919;115
and;0.0007;0.1926;116
juice;0.0007;0.1934;117
any;0.0007;0.1941;118
sure;0.0007;0.1948;119
why;0.0007;0.1956;120
dog;0.0007;0.1963;121
with;0.0007;0.197;122
black;0.0007;0.1978;123
move;0.0007;0.1985;124
new;0.0007;0.1993;125
him;0.0007;0.2;126
she;0.0007;0.2007;127
where;0.0007;0.2015;128
leg;0.0007;0.2022;129
it;0.0007;0.203;130
we;0.0007;0.2037;131
cow;0.0007;0.2044;132
many;0.0007;0.2052;133
boat;0.0007;0.2059;134
three;0.0007;0.2066;135
fire;0.0007;0.2074;136
those;0.0007;0.2081;137
these;0.0007;0.2089;138
will;0.0007;0.2096;139
them;0.0007;0.2103;140
in;0.0007;0.2111;141
ball;0.0007;0.2118;142
I;0.0007;0.2125;143
hand;0.0007;0.2133;144
lunch;0.0007;0.214;145
scissor;0.0007;0.2148;146
the;0.0007;0.2155;147
they;0.0007;0.2162;148
just;0.0007;0.217;149
money;0.0007;0.2177;150
foot;0.0007;0.2185;151
yet;0.0007;0.2192;152
other;0.0007;0.2199;153
big;0.0007;0.2207;154
boo;0.0007;0.2214;155
bit;0.0007;0.2221;156
some;0.0007;0.2229;157
home;0.0007;0.2236;158
for;0.0007;0.2244;159
be;0.0007;0.2251;160
on;0.0007;0.2258;161
of;0.0007;0.2266;162
your;0.0007;0.2273;163
again;0.0007;0.228;164
lot;0.0007;0.2288;165
hi;0.0007;0.2295;166
he;0.0007;0.2303;167
what;0.0007;0.231;168
his;0.0007;0.2317;169
an;0.0007;0.2325;170
at;0.0007;0.2332;171
door;0.0007;0.2339;172
when;0.0007;0.2347;173
green;0.0007;0.2354;174
you;0.0007;0.2362;175
train;0.0007;0.2369;176
time;0.0007;0.2376;177
