word;frequency;cobertura;word_order
sit;0.0044;0.0044;1
mine;0.0044;0.0089;2
come;0.0044;0.0133;3
go;0.0037;0.017;4
put;0.0037;0.0207;5
open;0.0037;0.0244;6
get;0.0037;0.028;7
like;0.0037;0.0317;8
eat;0.0037;0.0354;9
sleep;0.0030;0.0384;10
dad;0.0030;0.0413;11
turn;0.0030;0.0443;12
bed;0.0030;0.0472;13
play;0.0030;0.0502;14
do;0.0030;0.0531;15
close;0.0030;0.0561;16
look;0.0030;0.059;17
give;0.0022;0.0613;18
want;0.0022;0.0635;19
watch;0.0022;0.0657;20
make;0.0022;0.0679;21
cold;0.0022;0.0701;22
girl;0.0022;0.0723;23
that;0.0022;0.0745;24
have;0.0022;0.0768;25
need;0.0022;0.079;26
shoe;0.0022;0.0812;27
tire;0.0022;0.0834;28
see;0.0022;0.0856;29
drink;0.0022;0.0878;30
off;0.0022;0.09;31
read;0.0022;0.0923;32
right;0.0022;0.0945;33
back;0.0022;0.0967;34
down;0.0022;0.0989;35
there;0.0022;0.1011;36
up;0.0022;0.1033;37
stay;0.0022;0.1055;38
all;0.0015;0.107;39
Grandpa;0.0015;0.1085;40
let;0.0015;0.11;41
boy;0.0015;0.1114;42
love;0.0015;0.1129;43
more;0.0015;0.1144;44
ride;0.0015;0.1159;45
work;0.0015;0.1173;46
over;0.0015;0.1188;47
out;0.0015;0.1203;48
think;0.0015;0.1218;49
first;0.0015;0.1232;50
one;0.0015;0.1247;51
wash;0.0015;0.1262;52
toy;0.0015;0.1277;53
happy;0.0015;0.1292;54
say;0.0015;0.1306;55
take;0.0015;0.1321;56
outside;0.0015;0.1336;57
stop;0.0015;0.1351;58
away;0.0015;0.1365;59
please;0.0015;0.138;60
walk;0.0015;0.1395;61
table;0.0015;0.141;62
yes;0.0015;0.1424;63
know;0.0015;0.1439;64
her;0.0015;0.1454;65
bath;0.0015;0.1469;66
because;0.0015;0.1483;67
inside;0.0015;0.1498;68
no;0.0015;0.1513;69
sick;0.0015;0.1528;70
people;0.0007;0.1535;71
chair;0.0007;0.1542;72
milk;0.0007;0.155;73
tv;0.0007;0.1557;74
to;0.0007;0.1565;75
under;0.0007;0.1572;76
me;0.0007;0.1579;77
school;0.0007;0.1587;78
hungry;0.0007;0.1594;79
here;0.0007;0.1601;80
water;0.0007;0.1609;81
two;0.0007;0.1616;82
today;0.0007;0.1624;83
baby;0.0007;0.1631;84
room;0.0007;0.1638;85
this;0.0007;0.1646;86
car;0.0007;0.1653;87
cat;0.0007;0.1661;88
can;0.0007;0.1668;89
my;0.0007;0.1675;90
something;0.0007;0.1683;91
hot;0.0007;0.169;92
them;0.0007;0.1697;93
a;0.0007;0.1705;94
help;0.0007;0.1712;95
how;0.0007;0.172;96
then;0.0007;0.1727;97
good;0.0007;0.1734;98
lunch;0.0007;0.1742;99
now;0.0007;0.1749;100
house;0.0007;0.1756;101
thing;0.0007;0.1764;102
by;0.0007;0.1771;103
could;0.0007;0.1779;104
so;0.0007;0.1786;105
little;0.0007;0.1793;106
too;0.0007;0.1801;107
hurt;0.0007;0.1808;108
and;0.0007;0.1815;109
juice;0.0007;0.1823;110
why;0.0007;0.183;111
drive;0.0007;0.1838;112
him;0.0007;0.1845;113
she;0.0007;0.1852;114
where;0.0007;0.186;115
leg;0.0007;0.1867;116
we;0.0007;0.1875;117
eye;0.0007;0.1882;118
kitchen;0.0007;0.1889;119
three;0.0007;0.1897;120
those;0.0007;0.1904;121
these;0.0007;0.1911;122
will;0.0007;0.1919;123
it;0.0007;0.1926;124
in;0.0007;0.1934;125
if;0.0007;0.1941;126
shirt;0.0007;0.1948;127
ball;0.0007;0.1956;128
I;0.0007;0.1963;129
hand;0.0007;0.197;130
the;0.0007;0.1978;131
they;0.0007;0.1985;132
just;0.0007;0.1993;133
not;0.0007;0.2;134
other;0.0007;0.2007;135
around;0.0007;0.2015;136
big;0.0007;0.2022;137
doll;0.0007;0.203;138
some;0.0007;0.2037;139
home;0.0007;0.2044;140
for;0.0007;0.2052;141
be;0.0007;0.2059;142
on;0.0007;0.2066;143
about;0.0007;0.2074;144
of;0.0007;0.2081;145
dinner;0.0007;0.2089;146
your;0.0007;0.2096;147
story;0.0007;0.2103;148
sock;0.0007;0.2111;149
head;0.0007;0.2118;150
hi;0.0007;0.2125;151
with;0.0007;0.2133;152
he;0.0007;0.214;153
what;0.0007;0.2148;154
his;0.0007;0.2155;155
at;0.0007;0.2162;156
door;0.0007;0.217;157
when;0.0007;0.2177;158
book;0.0007;0.2185;159
Grandma;0.0007;0.2192;160
you;0.0007;0.2199;161
dog;0.0007;0.2207;162
time;0.0007;0.2214;163
