word;frequency;cobertura;word_order
mine;0.0044;0.0044;1
go;0.0037;0.0081;2
finish;0.0030;0.0111;3
want;0.0022;0.0133;4
that;0.0022;0.0155;5
off;0.0022;0.0177;6
more;0.0015;0.0192;7
out;0.0015;0.0207;8
yes;0.0015;0.0221;9
no;0.0015;0.0236;10
here;0.0007;0.0244;11
my;0.0007;0.0251;12
a;0.0007;0.0258;13
help;0.0007;0.0266;14
it;0.0007;0.0273;15
in;0.0007;0.028;16
I;0.0007;0.0288;17
the;0.0007;0.0295;18
some;0.0007;0.0303;19
be;0.0007;0.031;20
on;0.0007;0.0317;21
what;0.0007;0.0325;22
you;0.0007;0.0332;23
