word;frequency;cobertura;word_order
cannot;0.0052;0.0052;1
sit;0.0044;0.0096;2
mine;0.0044;0.014;3
come;0.0044;0.0185;4
go;0.0037;0.0221;5
put;0.0037;0.0258;6
open;0.0037;0.0295;7
find;0.0037;0.0332;8
get;0.0037;0.0369;9
like;0.0037;0.0406;10
eat;0.0037;0.0443;11
dad;0.0030;0.0472;12
finish;0.0030;0.0502;13
turn;0.0030;0.0531;14
play;0.0030;0.0561;15
do;0.0030;0.059;16
look;0.0030;0.062;17
Mummy;0.0030;0.0649;18
show;0.0022;0.0672;19
leave;0.0022;0.0694;20
give;0.0022;0.0716;21
want;0.0022;0.0738;22
watch;0.0022;0.076;23
make;0.0022;0.0782;24
better;0.0022;0.0804;25
keep;0.0022;0.0827;26
bite;0.0022;0.0849;27
that;0.0022;0.0871;28
jump;0.0022;0.0893;29
have;0.0022;0.0915;30
need;0.0022;0.0937;31
shoe;0.0022;0.0959;32
see;0.0022;0.0982;33
catch;0.0022;0.1004;34
funny;0.0022;0.1026;35
drink;0.0022;0.1048;36
off;0.0022;0.107;37
right;0.0022;0.1092;38
back;0.0022;0.1114;39
down;0.0022;0.1137;40
there;0.0022;0.1159;41
up;0.0022;0.1181;42
tell;0.0022;0.1203;43
stay;0.0022;0.1225;44
push;0.0022;0.1247;45
all;0.0015;0.1262;46
let;0.0015;0.1277;47
wait;0.0015;0.1292;48
boy;0.0015;0.1306;49
everybody;0.0015;0.1321;50
next;0.0015;0.1336;51
more;0.0015;0.1351;52
over;0.0015;0.1365;53
naughty;0.0015;0.138;54
break;0.0015;0.1395;55
out;0.0015;0.141;56
Mum;0.0015;0.1424;57
think;0.0015;0.1439;58
first;0.0015;0.1454;59
one;0.0015;0.1469;60
wash;0.0015;0.1483;61
say;0.0015;0.1498;62
saw;0.0015;0.1513;63
take;0.0015;0.1528;64
bring;0.0015;0.1542;65
stop;0.0015;0.1557;66
away;0.0015;0.1572;67
please;0.0015;0.1587;68
bye;0.0015;0.1601;69
yes;0.0015;0.1616;70
hat;0.0015;0.1631;71
know;0.0015;0.1646;72
bottom;0.0015;0.1661;73
throw;0.0015;0.1675;74
oh;0.0015;0.169;75
her;0.0015;0.1705;76
because;0.0015;0.172;77
ah;0.0015;0.1734;78
no;0.0015;0.1749;79
people;0.0007;0.1756;80
four;0.0007;0.1764;81
to;0.0007;0.1771;82
sorry;0.0007;0.1779;83
me;0.0007;0.1786;84
here;0.0007;0.1793;85
teacher;0.0007;0.1801;86
pick;0.0007;0.1808;87
apple;0.0007;0.1815;88
two;0.0007;0.1823;89
today;0.0007;0.183;90
stick;0.0007;0.1838;91
baby;0.0007;0.1845;92
hole;0.0007;0.1852;93
this;0.0007;0.186;94
car;0.0007;0.1867;95
can;0.0007;0.1875;96
my;0.0007;0.1882;97
something;0.0007;0.1889;98
beautiful;0.0007;0.1897;99
thing;0.0007;0.1904;100
high;0.0007;0.1911;101
them;0.0007;0.1919;102
man;0.0007;0.1926;103
a;0.0007;0.1934;104
help;0.0007;0.1941;105
for;0.0007;0.1948;106
still;0.0007;0.1956;107
how;0.0007;0.1963;108
then;0.0007;0.197;109
good;0.0007;0.1978;110
lunch;0.0007;0.1985;111
now;0.0007;0.1993;112
house;0.0007;0.2;113
spider;0.0007;0.2007;114
ball;0.0007;0.2015;115
quick;0.0007;0.2022;116
could;0.0007;0.203;117
so;0.0007;0.2037;118
little;0.0007;0.2044;119
name;0.0007;0.2052;120
too;0.0007;0.2059;121
and;0.0007;0.2066;122
why;0.0007;0.2074;123
only;0.0007;0.2081;124
move;0.0007;0.2089;125
new;0.0007;0.2096;126
him;0.0007;0.2103;127
well;0.0007;0.2111;128
she;0.0007;0.2118;129
where;0.0007;0.2125;130
seat;0.0007;0.2133;131
we;0.0007;0.214;132
three;0.0007;0.2148;133
those;0.0007;0.2155;134
these;0.0007;0.2162;135
will;0.0007;0.217;136
it;0.0007;0.2177;137
in;0.0007;0.2185;138
if;0.0007;0.2192;139
I;0.0007;0.2199;140
hand;0.0007;0.2207;141
very;0.0007;0.2214;142
the;0.0007;0.2221;143
yours;0.0007;0.2229;144
they;0.0007;0.2236;145
just;0.0007;0.2244;146
not;0.0007;0.2251;147
other;0.0007;0.2258;148
kick;0.0007;0.2266;149
around;0.0007;0.2273;150
big;0.0007;0.228;151
bit;0.0007;0.2288;152
should;0.0007;0.2295;153
some;0.0007;0.2303;154
home;0.0007;0.231;155
be;0.0007;0.2317;156
run;0.0007;0.2325;157
step;0.0007;0.2332;158
on;0.0007;0.2339;159
about;0.0007;0.2347;160
of;0.0007;0.2354;161
your;0.0007;0.2362;162
way;0.0007;0.2369;163
head;0.0007;0.2376;164
bum;0.0007;0.2384;165
with;0.0007;0.2391;166
he;0.0007;0.2399;167
again;0.0007;0.2406;168
what;0.0007;0.2413;169
his;0.0007;0.2421;170
as;0.0007;0.2428;171
at;0.0007;0.2435;172
when;0.0007;0.2443;173
green;0.0007;0.245;174
book;0.0007;0.2458;175
you;0.0007;0.2465;176
time;0.0007;0.2472;177
hello;0.0007;0.248;178
