word;frequency;cobertura;word_order
fall;0.0059;0.0059;1
sit;0.0044;0.0103;2
mine;0.0044;0.0148;3
come;0.0044;0.0192;4
go;0.0037;0.0229;5
put;0.0037;0.0266;6
open;0.0037;0.0303;7
find;0.0037;0.0339;8
get;0.0037;0.0376;9
like;0.0037;0.0413;10
eat;0.0037;0.045;11
dad;0.0030;0.048;12
finish;0.0030;0.0509;13
turn;0.0030;0.0539;14
play;0.0030;0.0568;15
do;0.0030;0.0598;16
beat;0.0030;0.0627;17
close;0.0030;0.0657;18
look;0.0030;0.0686;19
lose;0.0030;0.0716;20
try;0.0022;0.0738;21
give;0.0022;0.076;22
call;0.0022;0.0782;23
hold;0.0022;0.0804;24
want;0.0022;0.0827;25
make;0.0022;0.0849;26
cold;0.0022;0.0871;27
girl;0.0022;0.0893;28
leave;0.0022;0.0915;29
keep;0.0022;0.0937;30
long;0.0022;0.0959;31
bite;0.0022;0.0982;32
that;0.0022;0.1004;33
have;0.0022;0.1026;34
need;0.0022;0.1048;35
show;0.0022;0.107;36
watch;0.0022;0.1092;37
cry;0.0022;0.1114;38
see;0.0022;0.1137;39
catch;0.0022;0.1159;40
funny;0.0022;0.1181;41
off;0.0022;0.1203;42
read;0.0022;0.1225;43
right;0.0022;0.1247;44
back;0.0022;0.1269;45
down;0.0022;0.1292;46
there;0.0022;0.1314;47
fast;0.0022;0.1336;48
up;0.0022;0.1358;49
tell;0.0022;0.138;50
stay;0.0022;0.1402;51
push;0.0022;0.1424;52
all;0.0015;0.1439;53
forget;0.0015;0.1454;54
outside;0.0015;0.1469;55
cook;0.0015;0.1483;56
let;0.0015;0.1498;57
wait;0.0015;0.1513;58
boy;0.0015;0.1528;59
love;0.0015;0.1542;60
next;0.0015;0.1557;61
more;0.0015;0.1572;62
work;0.0015;0.1587;63
talk;0.0015;0.1601;64
over;0.0015;0.1616;65
write;0.0015;0.1631;66
break;0.0015;0.1646;67
out;0.0015;0.1661;68
fish;0.0015;0.1675;69
red;0.0015;0.169;70
think;0.0015;0.1705;71
first;0.0015;0.172;72
feel;0.0015;0.1734;73
one;0.0015;0.1749;74
wash;0.0015;0.1764;75
say;0.0015;0.1779;76
take;0.0015;0.1793;77
bring;0.0015;0.1808;78
pretty;0.0015;0.1823;79
bear;0.0015;0.1838;80
stop;0.0015;0.1852;81
away;0.0015;0.1867;82
please;0.0015;0.1882;83
cut;0.0015;0.1897;84
walk;0.0015;0.1911;85
table;0.0015;0.1926;86
bye;0.0015;0.1941;87
ready;0.0015;0.1956;88
no;0.0015;0.197;89
touch;0.0015;0.1985;90
yes;0.0015;0.2;91
know;0.0015;0.2015;92
press;0.0015;0.203;93
christmas;0.0015;0.2044;94
throw;0.0015;0.2059;95
oh;0.0015;0.2074;96
because;0.0015;0.2089;97
her;0.0015;0.2103;98
happy;0.0015;0.2118;99
hear;0.0015;0.2133;100
ah;0.0015;0.2148;101
draw;0.0015;0.2162;102
people;0.0007;0.217;103
four;0.0007;0.2177;104
to;0.0007;0.2185;105
sorry;0.0007;0.2192;106
me;0.0007;0.2199;107
very;0.0007;0.2207;108
minute;0.0007;0.2214;109
school;0.0007;0.2221;110
gum;0.0007;0.2229;111
this;0.0007;0.2236;112
small;0.0007;0.2244;113
never;0.0007;0.2251;114
here;0.0007;0.2258;115
water;0.0007;0.2266;116
teacher;0.0007;0.2273;117
pick;0.0007;0.228;118
apple;0.0007;0.2288;119
from;0.0007;0.2295;120
two;0.0007;0.2303;121
today;0.0007;0.231;122
stick;0.0007;0.2317;123
baby;0.0007;0.2325;124
can;0.0007;0.2332;125
my;0.0007;0.2339;126
