word;frequency;cobertura;word_order
watch;0.0014;0.0014;1
eat;0.0012;0.0026;2
play;0.0011;0.0037;3
do;0.0010;0.0048;4
Grandpa;0.0010;0.0058;5
go;0.0010;0.0068;6
fall;0.0009;0.0077;7
Christmas;0.0009;0.0086;8
over;0.0008;0.0094;9
make;0.0008;0.0102;10
drive;0.0008;0.011;11
roll;0.0008;0.0118;12
get;0.0008;0.0126;13
come;0.0008;0.0134;14
start;0.0008;0.0142;15
shop;0.0008;0.015;16
put;0.0008;0.0158;17
find;0.0008;0.0166;18
sock;0.0008;0.0174;19
chew;0.0007;0.0181;20
dry;0.0007;0.0187;21
call;0.0007;0.0194;22
want;0.0007;0.0201;23
dog;0.0007;0.0208;24
yes;0.0007;0.0215;25
dear;0.0007;0.0222;26
dinner;0.0007;0.0228;27
live;0.0007;0.0235;28
think;0.0007;0.0242;29
that;0.0007;0.0249;30
outside;0.0007;0.0256;31
see;0.0007;0.0262;32
read;0.0007;0.0269;33
foot;0.0007;0.0276;34
meet;0.0007;0.0283;35
write;0.0007;0.029;36
mix;0.0007;0.0297;37
lucky;0.0007;0.0303;38
dust;0.0007;0.031;39
change;0.0006;0.0316;40
love;0.0006;0.0322;41
grow;0.0006;0.0327;42
carry;0.0006;0.0333;43
lot;0.0006;0.0339;44
park;0.0006;0.0344;45
anymore;0.0006;0.035;46
like;0.0006;0.0356;47
dad;0.0006;0.0361;48
holiday;0.0006;0.0367;49
know;0.0006;0.0373;50
tell;0.0005;0.0377;51
end;0.0005;0.0382;52
friend;0.0005;0.0386;53
mother;0.0005;0.0391;54
rock;0.0005;0.0395;55
no;0.0005;0.04;56
arm;0.0005;0.0404;57
fun;0.0005;0.0409;58
pen;0.0005;0.0414;59
up;0.0005;0.0418;60
slip;0.0005;0.0423;61
bye;0.0005;0.0427;62
out;0.0005;0.0432;63
there;0.0005;0.0436;64
have;0.0005;0.0441;65
because;0.0005;0.0445;66
home;0.0005;0.045;67
Forest;0.0003;0.0453;68
potato;0.0003;0.0457;69
together;0.0003;0.046;70
square;0.0003;0.0464;71
long;0.0003;0.0467;72
good;0.0003;0.047;73
favorite;0.0003;0.0474;74
her;0.0003;0.0477;75
all;0.0003;0.0481;76
decide;0.0003;0.0484;77
fine;0.0003;0.0487;78
about;0.0003;0.0491;79
high;0.0003;0.0494;80
bowl;0.0003;0.0498;81
china;0.0002;0.05;82
ha;0.0002;0.0502;83
glad;0.0002;0.0504;84
teacher;0.0002;0.0507;85
cant;0.0002;0.0509;86
car;0.0002;0.0511;87
maybe;0.0002;0.0514;88
so;0.0002;0.0516;89
begin;0.0002;0.0518;90
corner;0.0002;0.052;91
pumpkin;0.0002;0.0523;92
middle;0.0002;0.0525;93
It;0.0002;0.0527;94
Lancaster;0.0002;0.0529;95
as;0.0002;0.0532;96
what;0.0002;0.0534;97
flat;0.0002;0.0536;98
I;0.0002;0.0539;99
circle;0.0002;0.0541;100
sea;0.0002;0.0543;101
big;0.0002;0.0545;102
collect;0.0002;0.0548;103
ago;0.0002;0.055;104
Can;0.0002;0.0552;105
afraid;0.0002;0.0554;106
one;0.0002;0.0557;107
stuff;0.0002;0.0559;108
well;0.0002;0.0561;109
much;0.0002;0.0564;110
pie;0.0002;0.0566;111
every;0.0001;0.0567;112
here;0.0001;0.0568;113
would;0.0001;0.0569;114
my;0.0001;0.057;115
how;0.0001;0.0572;116
if;0.0001;0.0573;117
after;0.0001;0.0574;118
then;0.0001;0.0575;119
