word;frequency;cobertura;word_order
oh;0.0015;0.0015;1
watch;0.0014;0.0028;2
bite;0.0014;0.0042;3
baby;0.0014;0.0056;4
hat;0.0012;0.0068;5
eat;0.0012;0.0081;6
tickle;0.0011;0.0092;7
blue;0.0011;0.0103;8
play;0.0011;0.0115;9
do;0.0010;0.0125;10
go;0.0010;0.0135;11
sit;0.0010;0.0145;12
stay;0.0010;0.0156;13
yellow;0.0009;0.0165;14
mine;0.0009;0.0174;15
cow;0.0009;0.0183;16
shoe;0.0009;0.0192;17
fall;0.0009;0.0201;18
okay;0.0009;0.021;19
wash;0.0009;0.0219;20
look;0.0009;0.0228;21
cat;0.0009;0.0237;22
stop;0.0009;0.0247;23
need;0.0009;0.0256;24
hide;0.0008;0.0264;25
over;0.0008;0.0272;26
make;0.0008;0.028;27
birthday;0.0008;0.0287;28
get;0.0008;0.0295;29
come;0.0008;0.0303;30
color;0.0008;0.0311;31
egg;0.0008;0.0319;32
put;0.0008;0.0327;33
find;0.0008;0.0335;34
please;0.0008;0.0343;35
leg;0.0008;0.0351;36
train;0.0008;0.0359;37
move;0.0008;0.0367;38
orange;0.0008;0.0375;39
ball;0.0008;0.0383;40
want;0.0007;0.039;41
top;0.0007;0.0397;42
dog;0.0007;0.0403;43
suppose;0.0007;0.041;44
yes;0.0007;0.0417;45
right;0.0007;0.0424;46
sister;0.0007;0.0431;47
down;0.0007;0.0437;48
think;0.0007;0.0444;49
open;0.0007;0.0451;50
little;0.0007;0.0458;51
that;0.0007;0.0465;52
say;0.0007;0.0472;53
see;0.0007;0.0478;54
foot;0.0007;0.0485;55
clean;0.0007;0.0492;56
fire;0.0007;0.0499;57
Girl;0.0007;0.0506;58
cut;0.0007;0.0512;59
back;0.0007;0.0519;60
let;0.0007;0.0526;61
cake;0.0007;0.0533;62
give;0.0006;0.0539;63
spider;0.0006;0.0544;64
away;0.0006;0.055;65
butter;0.0006;0.0556;66
chair;0.0006;0.0561;67
Dad;0.0006;0.0567;68
turn;0.0006;0.0573;69
show;0.0006;0.0578;70
stand;0.0006;0.0584;71
lot;0.0006;0.059;72
help;0.0006;0.0595;73
fish;0.0006;0.0601;74
know;0.0006;0.0607;75
bit;0.0006;0.0612;76
like;0.0006;0.0618;77
try;0.0006;0.0624;78
red;0.0006;0.0629;79
hair;0.0006;0.0635;80
green;0.0005;0.064;81
Bobby;0.0005;0.0644;82
sure;0.0005;0.0649;83
tell;0.0005;0.0653;84
boo;0.0005;0.0658;85
take;0.0005;0.0662;86
sand;0.0005;0.0667;87
no;0.0005;0.0672;88
door;0.0005;0.0676;89
paint;0.0005;0.0681;90
juice;0.0005;0.0685;91
ready;0.0005;0.069;92
up;0.0005;0.0694;93
use;0.0005;0.0699;94
out;0.0005;0.0703;95
there;0.0005;0.0708;96
have;0.0005;0.0712;97
off;0.0005;0.0717;98
glue;0.0005;0.0722;99
because;0.0005;0.0726;100
home;0.0005;0.0731;101
first;0.0003;0.0734;102
whoop;0.0003;0.0737;103
milk;0.0003;0.0741;104
boat;0.0003;0.0744;105
her;0.0003;0.0748;106
all;0.0003;0.0751;107
good;0.0003;0.0754;108
else;0.0003;0.0758;109
light;0.0003;0.0761;110
thank;0.0003;0.0765;111
ha;0.0002;0.0767;112
Jamie;0.0002;0.0769;113
car;0.0002;0.0772;114
maybe;0.0002;0.0774;115
so;0.0002;0.0776;116
lunch;0.0002;0.0778;117
middle;0.0002;0.0781;118
It;0.0002;0.0783;119
fence;0.0002;0.0785;120
what;0.0002;0.0787;121
more;0.0002;0.079;122
I;0.0002;0.0792;123
big;0.0002;0.0794;124
Can;0.0002;0.0797;125
farm;0.0002;0.0799;126
one;0.0002;0.0801;127
table;0.0002;0.0803;128
scissor;0.0002;0.0806;129
new;0.0001;0.0807;130
here;0.0001;0.0808;131
room;0.0001;0.0809;132
my;0.0001;0.081;133
wand;0.0001;0.0811;134
thing;0.0001;0.0812;135
how;0.0001;0.0814;136
then;0.0001;0.0815;137
them;0.0001;0.0816;138
they;0.0001;0.0817;139
by;0.0001;0.0818;140
hand;0.0001;0.0819;141
too;0.0001;0.082;142
we;0.0001;0.0821;143
and;0.0001;0.0823;144
three;0.0001;0.0824;145
cracker;0.0001;0.0825;146
in;0.0001;0.0826;147
any;0.0001;0.0827;148
the;0.0001;0.0828;149
just;0.0001;0.0829;150
for;0.0001;0.0831;151
way;0.0001;0.0832;152
now;0.0001;0.0833;153
water;0.0001;0.0834;154
today;0.0001;0.0835;155
yet;0.0001;0.0836;156
four;0.0001;0.0837;157
name;0.0001;0.0839;158
white;0.0001;0.084;159
black;0.0001;0.0841;160
where;0.0001;0.0842;161
us;0.0001;0.0843;162
many;0.0001;0.0844;163
these;0.0001;0.0845;164
when;0.0001;0.0846;165
on;0.0001;0.0848;166
or;0.0001;0.0849;167
your;0.0001;0.085;168
an;0.0001;0.0851;169
at;0.0001;0.0852;170
again;0.0001;0.0853;171
you;0.0001;0.0854;172
time;0.0001;0.0856;173
to;0.0001;0.0857;174
me;0.0001;0.0858;175
will;0.0001;0.0859;176
two;0.0001;0.086;177
a;0.0001;0.0861;178
already;0.0001;0.0862;179
food;0.0001;0.0864;180
house;0.0001;0.0865;181
something;0.0001;0.0866;182
money;0.0001;0.0867;183
his;0.0001;0.0868;184
him;0.0001;0.0869;185
bell;0.0001;0.087;186
whoa;0.0001;0.0871;187
real;0.0001;0.0873;188
game;0.0001;0.0874;189
another;0.0001;0.0875;190
some;0.0001;0.0876;191
be;0.0001;0.0877;192
line;0.0001;0.0878;193
peanut;0.0001;0.0879;194
this;0.0001;0.0881;195
of;0.0001;0.0882;196
those;0.0001;0.0883;197
our;0.0001;0.0884;198
could;0.0001;0.0885;199
hey;0.0001;0.0886;200
who;0.0001;0.0887;201
why;0.0001;0.0889;202
with;0.0001;0.089;203
tape;0.0001;0.0891;204
he;0.0001;0.0892;205
she;0.0001;0.0893;206
almost;0.0001;0.0894;207
party;0.0001;0.0895;208
not;0.0001;0.0896;209
five;0.0001;0.0898;210
but;0.0001;0.0899;211
hi;0.0001;0.09;212
other;0.0001;0.0901;213
