word;frequency;cobertura;word_order
toy;0.0014;0.0014;1
watch;0.0014;0.0027;2
baby;0.0014;0.0041;3
eat;0.0012;0.0053;4
boy;0.0011;0.0065;5
play;0.0011;0.0076;6
Grandma;0.0011;0.0087;7
sleep;0.0010;0.0098;8
do;0.0010;0.0108;9
Grandpa;0.0010;0.0118;10
go;0.0010;0.0128;11
sit;0.0010;0.0139;12
stay;0.0010;0.0149;13
hot;0.0009;0.0158;14
mine;0.0009;0.0167;15
cat;0.0009;0.0176;16
shoe;0.0009;0.0185;17
okay;0.0009;0.0194;18
wash;0.0009;0.0203;19
look;0.0009;0.0212;20
stop;0.0009;0.0222;21
need;0.0009;0.0231;22
drink;0.0009;0.024;23
hurt;0.0008;0.0248;24
over;0.0008;0.0256;25
make;0.0008;0.0264;26
drive;0.0008;0.0272;27
cold;0.0008;0.028;28
get;0.0008;0.0287;29
come;0.0008;0.0295;30
doll;0.0008;0.0303;31
put;0.0008;0.0311;32
please;0.0008;0.0319;33
sock;0.0008;0.0327;34
leg;0.0008;0.0335;35
bed;0.0008;0.0343;36
tire;0.0008;0.0351;37
ball;0.0008;0.0359;38
sick;0.0008;0.0367;39
work;0.0007;0.0374;40
want;0.0007;0.0381;41
dog;0.0007;0.0387;42
yes;0.0007;0.0394;43
right;0.0007;0.0401;44
sister;0.0007;0.0408;45
dinner;0.0007;0.0415;46
down;0.0007;0.0422;47
think;0.0007;0.0428;48
open;0.0007;0.0435;49
little;0.0007;0.0442;50
that;0.0007;0.0449;51
say;0.0007;0.0456;52
outside;0.0007;0.0462;53
see;0.0007;0.0469;54
read;0.0007;0.0476;55
close;0.0007;0.0483;56
Girl;0.0007;0.049;57
back;0.0007;0.0497;58
let;0.0007;0.0503;59
walk;0.0007;0.051;60
give;0.0006;0.0516;61
away;0.0006;0.0522;62
inside;0.0006;0.0527;63
chair;0.0006;0.0533;64
love;0.0006;0.0539;65
turn;0.0006;0.0544;66
sad;0.0006;0.055;67
help;0.0006;0.0556;68
like;0.0006;0.0561;69
hug;0.0006;0.0567;70
ride;0.0006;0.0573;71
dad;0.0006;0.0578;72
know;0.0006;0.0584;73
friend;0.0005;0.0589;74
bath;0.0005;0.0593;75
breakfast;0.0005;0.0598;76
take;0.0005;0.0602;77
hungry;0.0005;0.0607;78
no;0.0005;0.0611;79
door;0.0005;0.0616;80
juice;0.0005;0.062;81
up;0.0005;0.0625;82
thirsty;0.0005;0.0629;83
out;0.0005;0.0634;84
there;0.0005;0.0639;85
have;0.0005;0.0643;86
off;0.0005;0.0648;87
because;0.0005;0.0652;88
home;0.0005;0.0657;89
happy;0.0003;0.066;90
head;0.0003;0.0664;91
milk;0.0003;0.0667;92
mad;0.0003;0.067;93
first;0.0003;0.0674;94
good;0.0003;0.0677;95
around;0.0003;0.0681;96
her;0.0003;0.0684;97
all;0.0003;0.0687;98
about;0.0003;0.0691;99
ha;0.0002;0.0693;100
car;0.0002;0.0695;101
so;0.0002;0.0698;102
lunch;0.0002;0.07;103
It;0.0002;0.0702;104
what;0.0002;0.0704;105
more;0.0002;0.0707;106
coat;0.0002;0.0709;107
pant;0.0002;0.0711;108
I;0.0002;0.0714;109
shirt;0.0002;0.0716;110
big;0.0002;0.0718;111
Can;0.0002;0.072;112
one;0.0002;0.0723;113
table;0.0002;0.0725;114
kitchen;0.0002;0.0727;115
here;0.0001;0.0728;116
story;0.0001;0.0729;117
under;0.0001;0.0731;118
room;0.0001;0.0732;119
those;0.0001;0.0733;120
my;0.0001;0.0734;121
how;0.0001;0.0735;122
if;0.0001;0.0736;123
then;0.0001;0.0737;124
they;0.0001;0.0739;125
by;0.0001;0.074;126
hand;0.0001;0.0741;127
too;0.0001;0.0742;128
bad;0.0001;0.0743;129
we;0.0001;0.0744;130
and;0.0001;0.0745;131
three;0.0001;0.0747;132
in;0.0001;0.0748;133
the;0.0001;0.0749;134
just;0.0001;0.075;135
people;0.0001;0.0751;136
for;0.0001;0.0752;137
music;0.0001;0.0753;138
now;0.0001;0.0754;139
water;0.0001;0.0756;140
today;0.0001;0.0757;141
thing;0.0001;0.0758;142
where;0.0001;0.0759;143
us;0.0001;0.076;144
these;0.0001;0.0761;145
when;0.0001;0.0762;146
on;0.0001;0.0764;147
your;0.0001;0.0765;148
at;0.0001;0.0766;149
you;0.0001;0.0767;150
time;0.0001;0.0768;151
to;0.0001;0.0769;152
me;0.0001;0.077;153
will;0.0001;0.0772;154
eye;0.0001;0.0773;155
two;0.0001;0.0774;156
a;0.0001;0.0775;157
food;0.0001;0.0776;158
house;0.0001;0.0777;159
store;0.0001;0.0778;160
something;0.0001;0.0779;161
his;0.0001;0.0781;162
him;0.0001;0.0782;163
some;0.0001;0.0783;164
be;0.0001;0.0784;165
this;0.0001;0.0785;166
tv;0.0001;0.0786;167
of;0.0001;0.0787;168
them;0.0001;0.0789;169
our;0.0001;0.079;170
could;0.0001;0.0791;171
their;0.0001;0.0792;172
who;0.0001;0.0793;173
why;0.0001;0.0794;174
brother;0.0001;0.0795;175
with;0.0001;0.0797;176
he;0.0001;0.0798;177
she;0.0001;0.0799;178
not;0.0001;0.08;179
book;0.0001;0.0801;180
garage;0.0001;0.0802;181
school;0.0001;0.0803;182
but;0.0001;0.0804;183
hi;0.0001;0.0806;184
other;0.0001;0.0807;185
