word;frequency;cobertura;word_order
oh;0.0015;0.0015;1
toy;0.0014;0.0028;2
watch;0.0014;0.0042;3
bite;0.0014;0.0056;4
baby;0.0014;0.0069;5
yours;0.0012;0.0082;6
eat;0.0012;0.0094;7
blue;0.0011;0.0106;8
fix;0.0011;0.0117;9
boy;0.0011;0.0128;10
cannot;0.0011;0.014;11
throw;0.0011;0.0151;12
play;0.0011;0.0162;13
um;0.0011;0.0174;14
jump;0.0011;0.0185;15
Duck;0.0011;0.0197;16
do;0.0010;0.0207;17
go;0.0010;0.0217;18
sit;0.0010;0.0227;19
hot;0.0009;0.0236;20
mine;0.0009;0.0245;21
push;0.0009;0.0255;22
fly;0.0009;0.0264;23
fall;0.0009;0.0273;24
look;0.0009;0.0282;25
stop;0.0009;0.0291;26
need;0.0009;0.03;27
drink;0.0009;0.0309;28
over;0.0008;0.0317;29
make;0.0008;0.0325;30
leave;0.0008;0.0333;31
wait;0.0008;0.0341;32
get;0.0008;0.0349;33
come;0.0008;0.0357;34
put;0.0008;0.0365;35
find;0.0008;0.0373;36
please;0.0008;0.0381;37
hello;0.0008;0.0389;38
move;0.0008;0.0397;39
bed;0.0008;0.0404;40
ball;0.0008;0.0412;41
call;0.0007;0.0419;42
want;0.0007;0.0426;43
better;0.0007;0.0433;44
mean;0.0007;0.044;45
top;0.0007;0.0447;46
dog;0.0007;0.0453;47
lift;0.0007;0.046;48
yes;0.0007;0.0467;49
right;0.0007;0.0474;50
down;0.0007;0.0481;51
box;0.0007;0.0487;52
open;0.0007;0.0494;53
little;0.0007;0.0501;54
that;0.0007;0.0508;55
say;0.0007;0.0515;56
see;0.0007;0.0522;57
pick;0.0007;0.0528;58
foot;0.0007;0.0535;59
fire;0.0007;0.0542;60
Girl;0.0007;0.0549;61
cut;0.0007;0.0556;62
cup;0.0007;0.0562;63
back;0.0007;0.0569;64
nice;0.0007;0.0576;65
let;0.0007;0.0583;66
shut;0.0007;0.059;67
piece;0.0007;0.0597;68
hold;0.0006;0.0602;69
give;0.0006;0.0608;70
away;0.0006;0.0614;71
hear;0.0006;0.0619;72
inside;0.0006;0.0625;73
chair;0.0006;0.0631;74
turn;0.0006;0.0636;75
saw;0.0006;0.0642;76
show;0.0006;0.0648;77
help;0.0006;0.0653;78
doctor;0.0006;0.0659;79
lot;0.0006;0.0665;80
like;0.0006;0.067;81
run;0.0006;0.0676;82
try;0.0006;0.0682;83
ride;0.0006;0.0687;84
red;0.0006;0.0693;85
know;0.0006;0.0699;86
hair;0.0006;0.0704;87
buy;0.0006;0.071;88
tell;0.0005;0.0715;89
green;0.0005;0.0719;90
tree;0.0005;0.0724;91
finger;0.0005;0.0728;92
no;0.0005;0.0733;93
door;0.0005;0.0737;94
paint;0.0005;0.0742;95
juice;0.0005;0.0747;96
ready;0.0005;0.0751;97
ah;0.0005;0.0756;98
up;0.0005;0.076;99
use;0.0005;0.0765;100
bye;0.0005;0.0769;101
out;0.0005;0.0774;102
there;0.0005;0.0778;103
have;0.0005;0.0783;104
bean;0.0005;0.0787;105
off;0.0005;0.0792;106
because;0.0005;0.0797;107
home;0.0005;0.0801;108
side;0.0003;0.0804;109
next;0.0003;0.0808;110
catch;0.0003;0.0811;111
head;0.0003;0.0815;112
together;0.0003;0.0818;113
ours;0.0003;0.0821;114
first;0.0003;0.0825;115
long;0.0003;0.0828;116
ant;0.0003;0.0832;117
sometimes;0.0003;0.0835;118
myself;0.0003;0.0839;119
good;0.0003;0.0842;120
around;0.0003;0.0845;121
her;0.0003;0.0849;122
all;0.0003;0.0852;123
else;0.0003;0.0856;124
about;0.0003;0.0859;125
high;0.0003;0.0862;126
face;0.0003;0.0866;127
messy;0.0002;0.0868;128
before;0.0002;0.087;129
ha;0.0002;0.0873;130
bet;0.0002;0.0875;131
car;0.0002;0.0877;132
may;0.0002;0.0879;133
remember;0.0002;0.0882;134
maybe;0.0002;0.0884;135
so;0.0002;0.0886;136
lunch;0.0002;0.0889;137
turtle;0.0002;0.0891;138
swing;0.0002;0.0893;139
only;0.0002;0.0895;140
middle;0.0002;0.0898;141
It;0.0002;0.09;142
