word;frequency;cobertura;word_order
mum;0.0015;0.0015;1
oh;0.0015;0.003;2
watch;0.0014;0.0043;3
bite;0.0014;0.0057;4
Mummy;0.0014;0.007;5
baby;0.0014;0.0084;6
naughty;0.0012;0.0097;7
yours;0.0012;0.0109;8
hat;0.0012;0.0122;9
eat;0.0012;0.0134;10
boy;0.0011;0.0145;11
cannot;0.0011;0.0157;12
throw;0.0011;0.0168;13
play;0.0011;0.018;14
um;0.0011;0.0191;15
jump;0.0011;0.0202;16
break;0.0010;0.0212;17
do;0.0010;0.0223;18
gotta;0.0010;0.0233;19
go;0.0010;0.0243;20
sit;0.0010;0.0253;21
stay;0.0010;0.0264;22
mine;0.0009;0.0273;23
push;0.0009;0.0282;24
shoe;0.0009;0.0291;25
stick;0.0009;0.03;26
okay;0.0009;0.0309;27
wash;0.0009;0.0318;28
look;0.0009;0.0327;29
stop;0.0009;0.0336;30
keep;0.0009;0.0345;31
need;0.0009;0.0355;32
drink;0.0009;0.0364;33
over;0.0008;0.0372;34
make;0.0008;0.038;35
roll;0.0008;0.0387;36
cool;0.0008;0.0395;37
leave;0.0008;0.0403;38
wait;0.0008;0.0411;39
get;0.0008;0.0419;40
come;0.0008;0.0427;41
finish;0.0008;0.0435;42
put;0.0008;0.0443;43
find;0.0008;0.0451;44
please;0.0008;0.0459;45
hello;0.0008;0.0467;46
move;0.0008;0.0475;47
ball;0.0008;0.0483;48
want;0.0007;0.049;49
better;0.0007;0.0497;50
yes;0.0007;0.0503;51
right;0.0007;0.051;52
down;0.0007;0.0517;53
think;0.0007;0.0524;54
open;0.0007;0.0531;55
little;0.0007;0.0537;56
that;0.0007;0.0544;57
say;0.0007;0.0551;58
see;0.0007;0.0558;59
pick;0.0007;0.0565;60
funny;0.0007;0.0572;61
back;0.0007;0.0578;62
let;0.0007;0.0585;63
sorry;0.0006;0.0591;64
give;0.0006;0.0597;65
spider;0.0006;0.0602;66
away;0.0006;0.0608;67
bottom;0.0006;0.0614;68
dig;0.0006;0.0619;69
yeah;0.0006;0.0625;70
turn;0.0006;0.0631;71
saw;0.0006;0.0636;72
show;0.0006;0.0642;73
help;0.0006;0.0648;74
bin;0.0006;0.0653;75
bit;0.0006;0.0659;76
like;0.0006;0.0665;77
run;0.0006;0.067;78
dad;0.0006;0.0676;79
kick;0.0006;0.0682;80
know;0.0006;0.0687;81
tell;0.0005;0.0692;82
hole;0.0005;0.0697;83
green;0.0005;0.0701;84
friend;0.0005;0.0706;85
quick;0.0005;0.071;86
take;0.0005;0.0715;87
sand;0.0005;0.0719;88
no;0.0005;0.0724;89
ah;0.0005;0.0728;90
step;0.0005;0.0733;91
up;0.0005;0.0737;92
bye;0.0005;0.0742;93
out;0.0005;0.0747;94
there;0.0005;0.0751;95
have;0.0005;0.0756;96
bring;0.0005;0.076;97
off;0.0005;0.0765;98
because;0.0005;0.0769;99
home;0.0005;0.0774;100
next;0.0003;0.0777;101
catch;0.0003;0.0781;102
head;0.0003;0.0784;103
first;0.0003;0.0787;104
good;0.0003;0.0791;105
around;0.0003;0.0794;106
her;0.0003;0.0798;107
all;0.0003;0.0801;108
yummy;0.0003;0.0804;109
beautiful;0.0003;0.0808;110
else;0.0003;0.0811;111
about;0.0003;0.0815;112
high;0.0003;0.0818;113
ha;0.0002;0.082;114
Spiderman;0.0002;0.0823;115
yep;0.0002;0.0825;116
teacher;0.0002;0.0827;117
car;0.0002;0.0829;118
remember;0.0002;0.0832;119
so;0.0002;0.0834;120
lunch;0.0002;0.0836;121
only;0.0002;0.0839;122
It;0.0002;0.0841;123
as;0.0002;0.0843;124
what;0.0002;0.0845;125
more;0.0002;0.0848;126
I;0.0002;0.085;127
big;0.0002;0.0852;128
Can;0.0002;0.0854;129
one;0.0002;0.0857;130
well;0.0002;0.0859;131
new;0.0001;0.086;132
here;0.0001;0.0861;133
those;0.0001;0.0862;134
my;0.0001;0.0864;135
how;0.0001;0.0865;136
if;0.0001;0.0866;137
then;0.0001;0.0867;138
they;0.0001;0.0868;139
hand;0.0001;0.0869;140
too;0.0001;0.087;141
we;0.0001;0.0871;142
and;0.0001;0.0873;143
three;0.0001;0.0874;144
seven;0.0001;0.0875;145
in;0.0001;0.0876;146
the;0.0001;0.0877;147
just;0.0001;0.0878;148
people;0.0001;0.0879;149
for;0.0001;0.0881;150
way;0.0001;0.0882;151
fell;0.0001;0.0883;152
now;0.0001;0.0884;153
everybody;0.0001;0.0885;154
today;0.0001;0.0886;155
thing;0.0001;0.0887;156
man;0.0001;0.0889;157
four;0.0001;0.089;158
still;0.0001;0.0891;159
name;0.0001;0.0892;160
yum;0.0001;0.0893;161
than;0.0001;0.0894;162
where;0.0001;0.0895;163
seat;0.0001;0.0896;164
us;0.0001;0.0898;165
these;0.0001;0.0899;166
very;0.0001;0.09;167
when;0.0001;0.0901;168
on;0.0001;0.0902;169
your;0.0001;0.0903;170
at;0.0001;0.0904;171
again;0.0001;0.0906;172
you;0.0001;0.0907;173
time;0.0001;0.0908;174
to;0.0001;0.0909;175
me;0.0001;0.091;176
will;0.0001;0.0911;177
two;0.0001;0.0912;178
a;0.0001;0.0914;179
house;0.0001;0.0915;180
something;0.0001;0.0916;181
his;0.0001;0.0917;182
him;0.0001;0.0918;183
some;0.0001;0.0919;184
be;0.0001;0.092;185
into;0.0001;0.0921;186
this;0.0001;0.0923;187
apple;0.0001;0.0924;188
of;0.0001;0.0925;189
them;0.0001;0.0926;190
our;0.0001;0.0927;191
could;0.0001;0.0928;192
hey;0.0001;0.0929;193
which;0.0001;0.0931;194
who;0.0001;0.0932;195
why;0.0001;0.0933;196
brother;0.0001;0.0934;197
with;0.0001;0.0935;198
should;0.0001;0.0936;199
he;0.0001;0.0937;200
she;0.0001;0.0939;201
not;0.0001;0.094;202
book;0.0001;0.0941;203
five;0.0001;0.0942;204
but;0.0001;0.0943;205
bum;0.0001;0.0944;206
other;0.0001;0.0945;207
