word;frequency;cobertura;word_order
eat;0.0037;0.0037;1
oh;0.0037;0.0074;2
okay;0.0033;0.0107;3
go;0.0033;0.0139;4
girl;0.0025;0.0164;5
get;0.0025;0.0188;6
fall;0.0025;0.0213;7
look;0.0025;0.0238;8
let;0.0025;0.0262;9
sit;0.0025;0.0287;10
hide;0.0020;0.0307;11
dog;0.0020;0.0328;12
yes;0.0020;0.0348;13
bite;0.0020;0.0369;14
come;0.0020;0.0389;15
mom;0.0020;0.041;16
put;0.0020;0.043;17
find;0.0020;0.0451;18
need;0.0020;0.0471;19
like;0.0020;0.0492;20
cake;0.0020;0.0512;21
yellow;0.0016;0.0528;22
tell;0.0016;0.0545;23
want;0.0016;0.0561;24
mine;0.0016;0.0578;25
cow;0.0016;0.0594;26
right;0.0016;0.061;27
down;0.0016;0.0627;28
mommy;0.0016;0.0643;29
open;0.0016;0.066;30
take;0.0016;0.0676;31
there;0.0016;0.0692;32
play;0.0016;0.0709;33
cut;0.0016;0.0725;34
back;0.0016;0.0741;35
try;0.0016;0.0758;36
do;0.0016;0.0774;37
move;0.0016;0.0791;38
have;0.0016;0.0807;39
off;0.0016;0.0823;40
tickle;0.0012;0.0836;41
blue;0.0012;0.0848;42
give;0.0012;0.086;43
wash;0.0012;0.0873;44
away;0.0012;0.0885;45
suppose;0.0012;0.0897;46
make;0.0012;0.0909;47
cat;0.0012;0.0922;48
birthday;0.0012;0.0934;49
so;0.0012;0.0946;50
turn;0.0012;0.0959;51
think;0.0012;0.0971;52
little;0.0012;0.0983;53
that;0.0012;0.0995;54
say;0.0012;0.1008;55
show;0.0012;0.102;56
stand;0.0012;0.1032;57
her;0.0012;0.1045;58
hey;0.0012;0.1057;59
What;0.0012;0.1069;60
help;0.0012;0.1082;61
foot;0.0012;0.1094;62
fish;0.0012;0.1106;63
paint;0.0012;0.1118;64
please;0.0012;0.1131;65
up;0.0012;0.1143;66
baby;0.0012;0.1155;67
out;0.0012;0.1168;68
red;0.0012;0.118;69
see;0.0012;0.1192;70
i;0.0012;0.1204;71
green;0.0008;0.1213;72
over;0.0008;0.1221;73
one;0.0008;0.1229;74
top;0.0008;0.1237;75
Big;0.0008;0.1245;76
stop;0.0008;0.1254;77
it;0.0008;0.1262;78
milk;0.0008;0.127;79
guy;0.0008;0.1278;80
first;0.0008;0.1286;81
sure;0.0008;0.1295;82
shoe;0.0008;0.1303;83
color;0.0008;0.1311;84
lot;0.0008;0.1319;85
all;0.0008;0.1327;86
more;0.0008;0.1336;87
egg;0.0008;0.1344;88
clean;0.0008;0.1352;89
fire;0.0008;0.136;90
bit;0.0008;0.1368;91
train;0.0008;0.1376;92
watch;0.0008;0.1385;93
orange;0.0008;0.1393;94
dad;0.0008;0.1401;95
whoop;0.0008;0.1409;96
ha;0.0008;0.1417;97
Because;0.0008;0.1426;98
no;0.0008;0.1434;99
ball;0.0008;0.1442;100
know;0.0008;0.145;101
home;0.0008;0.1458;102
stay;0.0008;0.1467;103
four;0.0004;0.1471;104
new;0.0004;0.1475;105
here;0.0004;0.1479;106
me;0.0004;0.1483;107
room;0.0004;0.1487;108
my;0.0004;0.1491;109
thing;0.0004;0.1495;110
how;0.0004;0.1499;111
then;0.0004;0.1503;112
