word;frequency;cobertura;word_order
eat;0.0037;0.0037;1
okay;0.0033;0.007;2
go;0.0033;0.0102;3
sleep;0.0029;0.0131;4
girl;0.0025;0.0156;5
get;0.0025;0.018;6
look;0.0025;0.0205;7
let;0.0025;0.0229;8
sit;0.0025;0.0254;9
dog;0.0020;0.0274;10
yes;0.0020;0.0295;11
drive;0.0020;0.0315;12
come;0.0020;0.0336;13
mom;0.0020;0.0356;14
put;0.0020;0.0377;15
bed;0.0020;0.0397;16
need;0.0020;0.0418;17
drink;0.0020;0.0438;18
like;0.0020;0.0459;19
hurt;0.0016;0.0475;20
want;0.0016;0.0492;21
toy;0.0016;0.0508;22
mine;0.0016;0.0524;23
right;0.0016;0.0541;24
down;0.0016;0.0557;25
inside;0.0016;0.0574;26
open;0.0016;0.059;27
friend;0.0016;0.0606;28
take;0.0016;0.0623;29
there;0.0016;0.0639;30
play;0.0016;0.0655;31
close;0.0016;0.0672;32
back;0.0016;0.0688;33
do;0.0016;0.0705;34
have;0.0016;0.0721;35
off;0.0016;0.0737;36
give;0.0012;0.075;37
wash;0.0012;0.0762;38
away;0.0012;0.0774;39
make;0.0012;0.0787;40
dinner;0.0012;0.0799;41
boy;0.0012;0.0811;42
cat;0.0012;0.0823;43
so;0.0012;0.0836;44
cold;0.0012;0.0848;45
turn;0.0012;0.086;46
think;0.0012;0.0873;47
little;0.0012;0.0885;48
that;0.0012;0.0897;49
say;0.0012;0.0909;50
her;0.0012;0.0922;51
What;0.0012;0.0934;52
help;0.0012;0.0946;53
please;0.0012;0.0959;54
up;0.0012;0.0971;55
baby;0.0012;0.0983;56
ride;0.0012;0.0995;57
out;0.0012;0.1008;58
see;0.0012;0.102;59
tire;0.0012;0.1032;60
walk;0.0012;0.1045;61
i;0.0012;0.1057;62
work;0.0008;0.1065;63
over;0.0008;0.1073;64
one;0.0008;0.1082;65
Big;0.0008;0.109;66
stop;0.0008;0.1098;67
bad;0.0008;0.1106;68
bath;0.0008;0.1114;69
head;0.0008;0.1122;70
milk;0.0008;0.1131;71
guy;0.0008;0.1139;72
love;0.0008;0.1147;73
grandma;0.0008;0.1155;74
first;0.0008;0.1163;75
breakfast;0.0008;0.1172;76
hungry;0.0008;0.118;77
shoe;0.0008;0.1188;78
outside;0.0008;0.1196;79
It;0.0008;0.1204;80
around;0.0008;0.1213;81
all;0.0008;0.1221;82
more;0.0008;0.1229;83
watch;0.0008;0.1237;84
dad;0.0008;0.1245;85
ha;0.0008;0.1254;86
Because;0.0008;0.1262;87
no;0.0008;0.127;88
ball;0.0008;0.1278;89
know;0.0008;0.1286;90
home;0.0008;0.1295;91
sick;0.0008;0.1303;92
stay;0.0008;0.1311;93
under;0.0004;0.1315;94
here;0.0004;0.1319;95
me;0.0004;0.1323;96
room;0.0004;0.1327;97
my;0.0004;0.1331;98
story;0.0004;0.1336;99
thing;0.0004;0.134;100
how;0.0004;0.1344;101
hot;0.0004;0.1348;102
then;0.0004;0.1352;103
them;0.0004;0.1356;104
school;0.0004;0.136;105
they;0.0004;0.1364;106
too;0.0004;0.1368;107
cereal;0.0004;0.1372;108
potty;0.0004;0.1376;109
we;0.0004;0.1381;110
wa;0.0004;0.1385;111
kitchen;0.0004;0.1389;112
bathroom;0.0004;0.1393;113
three;0.0004;0.1397;114
in;0.0004;0.1401;115
if;0.0004;0.1405;116
hand;0.0004;0.1409;117
the;0.0004;0.1413;118
just;0.0004;0.1417;119
people;0.0004;0.1422;120
for;0.0004;0.1426;121
happy;0.0004;0.143;122
door;0.0004;0.1434;123
chair;0.0004;0.1438;124
brother;0.0004;0.1442;125
water;0.0004;0.1446;126
today;0.0004;0.145;127
car;0.0004;0.1454;128
can;0.0004;0.1458;129
lunch;0.0004;0.1463;130
not;0.0004;0.1467;131
now;0.0004;0.1471;132
and;0.0004;0.1475;133
their;0.0004;0.1479;134
where;0.0004;0.1483;135
those;0.0004;0.1487;136
these;0.0004;0.1491;137
good;0.0004;0.1495;138
food;0.0004;0.1499;139
two;0.0004;0.1503;140
when;0.0004;0.1508;141
read;0.0004;0.1512;142
doll;0.0004;0.1516;143
on;0.0004;0.152;144
your;0.0004;0.1524;145
with;0.0004;0.1528;146
at;0.0004;0.1532;147
you;0.0004;0.1536;148
time;0.0004;0.154;149
to;0.0004;0.1544;150
eye;0.0004;0.1549;151
a;0.0004;0.1553;152
pant;0.0004;0.1557;153
house;0.0004;0.1561;154
store;0.0004;0.1565;155
juice;0.0004;0.1569;156
his;0.0004;0.1573;157
him;0.0004;0.1577;158
some;0.0004;0.1581;159
be;0.0004;0.1585;160
by;0.0004;0.159;161
sock;0.0004;0.1594;162
us;0.0004;0.1598;163
this;0.0004;0.1602;164
leg;0.0004;0.1606;165
about;0.0004;0.161;166
of;0.0004;0.1614;167
thirsty;0.0004;0.1618;168
something;0.0004;0.1622;169
our;0.0004;0.1626;170
could;0.0004;0.163;171
who;0.0004;0.1635;172
why;0.0004;0.1639;173
she;0.0004;0.1643;174
table;0.0004;0.1647;175
will;0.0004;0.1651;176
other;0.0004;0.1655;177
garage;0.0004;0.1659;178
sister;0.0004;0.1663;179
but;0.0004;0.1667;180
hi;0.0004;0.1671;181
he;0.0004;0.1676;182
book;0.0004;0.168;183
